cross,volatility
NZD_JPY,0.0197492234560878
NZD_USD,0.019061391791351
NZD_CHF,0.0189721514266764
AUD_JPY,0.0177569728175263
NZD_CAD,0.0175479842538216
EUR_AUD,0.0172787373333679
GBP_NZD,0.0169774643802698
EUR_NZD,0.0166476050219681
CAD_JPY,0.0164879850697387
USD_JPY,0.0154074655720615
AUD_CAD,0.0149998771535561
AUD_CHF,0.0146492387555811
EUR_JPY,0.0145652489977889
AUD_USD,0.0144779035660478
CHF_JPY,0.0143549210703814
GBP_AUD,0.0141619312922728
GBP_JPY,0.0140572290522766
AUD_NZD,0.0114209422383091
CAD_CHF,0.0110567285898518
