cross,percentage
AUDCHF,0.184704
NZDUSD,0.167476
GBPNZD,0.165832
EURGBP,0.140237
CHFEUR,0.13925
CADCHF,0.122675
EURNZD,0.112405
CADEUR,0.087218
CHFGBP,0.075713
CHFNZD,0.07313
CHFJPY,0.054182
GBPJPY,0.048516
AUDCAD,0.039992
EURJPY,0.031774
AUDEUR,0.017639
JPYNZD,0.006839
CADGBP,0.003193
GBPUSD,0.001778
JPYUSD,0.00103
AUDGBP,-0.001845
CHFUSD,-0.031222
AUDUSD,-0.034831
CADJPY,-0.04247
EURUSD,-0.044438
CADUSD,-0.046885
CADNZD,-0.07259
AUDJPY,-0.089422
AUDNZD,-0.10988
