cross,percentage
JNJ,0.256915
PG,0.232046
AAPL,0.120202
TEVA,0.115936
AMZN,0.063344
GM,0.061896
BRK-A,0.034914
GSK,0.02778
DOX,0.02727
VZ,0.024181
XOM,0.017458
TSLA,0.012875
GOOG,0.005183
AXP,0
CSCO,0
CAT,0
INTC,0
PFE,0
BP,0
SAP,0
SIE.DE,0
GS,0
