Date,Time,Time Zone,Currency,Event,Importance,Actual,Forecast,Previous
Sun Oct 13,21:30,GMT,nzd,NZD Performance Services Index,Medium,55.6,,53.3
Sun Oct 13,23:00,GMT,nzd,NZD REINZ Housing Price Index,Low,3778.1,,3746.6
Sun Oct 13,23:00,GMT,nzd,NZD REINZ House Price Index (MoM),Low,0.8%,,2.1%
Sun Oct 13,23:00,GMT,nzd,NZD REINZ House Sales (YoY),Medium,19.0%,,8.5%
Mon Oct 14,,,usd,USD President Obama Meets with Congressional Leaders ,High,,,
Mon Oct 14,00:30,GMT,aud,AUD Credit Card Balances,Low,A$48.9B,,A$49.2B
Mon Oct 14,00:30,GMT,aud,AUD Credit Card Purchases,Low,A$21.8B,,A$23.0B
Mon Oct 14,00:30,GMT,aud,AUD Home Loans,Medium,-3.9%,-2.5%,2.1%
Mon Oct 14,00:30,GMT,aud,AUD Investment Lending,Low,0.0%,,2.9%
Mon Oct 14,00:30,GMT,aud,AUD Value of Loans (MoM),Medium,-1.9%,,0.0%
Mon Oct 14,01:30,GMT,cny,CNY Consumer Price Index (YoY),High,3.1%,2.8%,2.6%
Mon Oct 14,01:30,GMT,cny,CNY Producer Price Index (YoY),Medium,-1.3%,-1.4%,-1.6%
Mon Oct 14,07:15,GMT,chf,CHF Producer & Import Prices (MoM),Low,0.1%,0.2%,0.2%
Mon Oct 14,07:15,GMT,chf,CHF Producer & Import Prices (YoY),Low,0.0%,0.0%,0.2%
Mon Oct 14,08:00,GMT,cny,CNY New Yuan Loans (SEP),Medium,787.0B,675.0B,711.0B
Mon Oct 14,08:00,GMT,cny,CNY Foreign Reserves (SEP),Low,$3660.0B,$3520.0B,$3496.7B
Mon Oct 14,08:00,GMT,cny,CNY Money Supply M2 (YoY),Medium,14.2%,14.2%,14.7%
Mon Oct 14,08:00,GMT,cny,CNY Aggregate RMB Financing (SEP),Low,1400.0B,1350.0B,1570.0B
Mon Oct 14,09:00,GMT,eur,EUR Euro-Zone Industrial Production s.a. (MoM),Low,1.0%,0.8%,-1.0%
Mon Oct 14,09:00,GMT,eur,EUR Euro-Zone Industrial Production w.d.a. (YoY),Medium,-2.1%,-2.5%,-1.9%
Mon Oct 14,13:00,GMT,eur,EUR Euro-Area Finance Ministers Meet in Luxembourg,Medium,,,
Tue Oct 15,00:30,GMT,AUD,AUD RBA Policy Meeting - October Minutes,Medium,,,
Tue Oct 15,00:30,GMT,aud,AUD New Motor Vehicle Sales (MoM),Low,-0.1%,,0.7%
Tue Oct 15,00:30,GMT,aud,AUD New Motor Vehicle Sales (YoY),Low,-3.5%,,0.2%
Tue Oct 15,04:30,GMT,jpy,JPY Industrial Production (MoM),Low,-0.9%,,-0.7%
Tue Oct 15,04:30,GMT,jpy,JPY Capacity Utilization (MoM),Low,-2.1%,,3.7%
Tue Oct 15,04:30,GMT,jpy,JPY Industrial Production (YoY),Medium,-0.4%,,-0.2%
Tue Oct 15,06:00,GMT,eur,EUR German Import Price Index (MoM),Low,0.1%,0.0%,0.1%
Tue Oct 15,06:00,GMT,eur,EUR German Import Price Index (YoY),Low,-3.4%,-3.9%,-2.6%
Tue Oct 15,07:00,GMT,eur,EUR EU Finance Ministers Meet in Luxembourg,Medium,,,
Tue Oct 15,08:30,GMT,gbp,GBP Producer Price Index Input n.s.a. (YoY),Low,1.1%,2.2%,2.4%
Tue Oct 15,08:30,GMT,gbp,GBP Producer Price Index Output n.s.a. (MoM),Low,-0.1,0.1%,0.2%
Tue Oct 15,08:30,GMT,gbp,GBP Producer Price Index Output Core n.s.a. (MoM),Low,-0.1%,0.1%,0.0%
Tue Oct 15,08:30,GMT,gbp,GBP Producer Price Index Output Core n.s.a. (YoY),Medium,0.7%,0.9%,1.0%
Tue Oct 15,08:30,GMT,eur,EUR Italian General Government Debt,Low,2060B,,2073.9B
Tue Oct 15,08:30,GMT,gbp,GBP DCLG UK House Prices (YoY),Low,3.8%,3.4%,3.3%
Tue Oct 15,08:30,GMT,gbp,GBP Consumer Price Index (MoM),Medium,0.4%,0.3%,0.4%
Tue Oct 15,08:30,GMT,gbp,GBP Consumer Price Index (YoY),High,2.7%,2.6%,2.7%
Tue Oct 15,08:30,GMT,gbp,GBP Core Consumer Price Index (YoY),High,2.2%,2.0%,2.0%
Tue Oct 15,08:30,GMT,gbp,GBP Retail Price Index,Low,251.9,251.9,251.0
Tue Oct 15,08:30,GMT,gbp,GBP Retail Price Index (MoM),Low,0.4%,0.4%,0.5%
Tue Oct 15,08:30,GMT,gbp,GBP Retail Price Index (YoY),Low,3.2%,3.2%,3.3%
Tue Oct 15,08:30,GMT,gbp,GBP Retail Price Index Ex Mort Int.Payments (YoY),Low,3.2%,3.2%,3.3%
Tue Oct 15,08:30,GMT,gbp,GBP Producer Price Index Output n.s.a. (YoY),Medium,1.2%,1.3%,1.7%
Tue Oct 15,08:30,GMT,gbp,GBP Producer Price Index Input n.s.a. (MoM),Low,-1.2%,-0.6%,-0.7%
Tue Oct 15,09:00,GMT,eur,EUR Euro-Zone ZEW Survey (Economic Sentiment),Medium,59.1,,58.6
Tue Oct 15,09:00,GMT,eur,EUR German ZEW Survey (Current Situation),Medium,29.7,31.3,30.6
Tue Oct 15,09:00,GMT,eur,EUR German ZEW Survey (Economic Sentiment),High,52.8,49.6,49.6
Tue Oct 15,12:30,GMT,usd,USD Empire Manufacturing,Low,1.52,7.00,6.29
Tue Oct 15,13:00,GMT,cad,CAD Existing Home Sales (MoM),Medium,0.8%,,2.8%
Tue Oct 15,13:00,GMT,cad,CAD Teranet/National Bank HPI (MoM),Low,0.0%,,0.6%
Tue Oct 15,13:00,GMT,cad,CAD Teranet/National Bank HPI (YoY),Low,2.7%,,2.3%
Tue Oct 15,13:00,GMT,cad,CAD Teranet/National Bank HP Index,Low,159.12,,159.12
Tue Oct 15,14:00,GMT,USD,USD Fed's Dudley Speaks on Monetary Policy in Mexico,Low,,,
Tue Oct 15,15:10,GMT,usd,USD Fed's Williams Speaks on Economy,Medium,,,
Tue Oct 15,15:30,GMT,usd,USD US Sells 3-Month and 6-Month Bills,Medium,,,
