AUD,CAD,CHF,EUR,GBP,JPY,NZD,USD,period
-0.000011,-0.000009,-0.000038,0.000204,0.000147,-0.000228,-0.000004,-0.000061,M15
 0.000300,-0.000149,-0.000207,0.000334,0.000078,-0.000377, 0.000110,-0.000089,H1
 0.002992, 0.000603,-0.000552,0.002882,0.003805,-0.010717, 0.001297,-0.000310,D
 0.014013,-0.002921,-0.010458,0.004465,0.012785,-0.029295, 0.011449,-0.000038,W
 0.009541,-0.004789,-0.011108,0.016052,0.008000,-0.011963,-0.000892,-0.004841,M
