Date,Time,Time Zone,Currency,Event,Importance,Actual,Forecast,Previous
Sun Jun 8,02:27,GMT,cny,CNY Trade Balance,Medium,$35.9B,$22.60B,$18.46B
Sun Jun 8,02:27,GMT,cny,CNY Exports (YoY),Medium,7.0%,6.7%,0.9%
Sun Jun 8,02:27,GMT,cny,CNY Imports (YoY),Medium,-1.6%,6.0%,0.8%
Sun Jun 8,23:50,GMT,jpy,JPY Current Account Total (Yen),Low,¥187.4B,¥287.7B,¥116.4B
Sun Jun 8,23:50,GMT,JPY,JPY Gross Domestic Product Annualized,High,6.7%,5.6%,5.9%
Sun Jun 8,23:50,GMT,jpy,JPY Gross Domestic Product Deflator (YoY),Medium,-0.1%,0.0%,0.0%
Sun Jun 8,23:50,GMT,jpy,JPY GDP Business Spending (QoQ),Medium,7.6%,4.6%,4.9%
Sun Jun 8,23:50,GMT,JPY,JPY Bank Lending incl Trusts (YoY),Low,2.3%,,2.1%
Sun Jun 8,23:50,GMT,jpy,JPY Bank Lending Banks ex-Trust,Low,2.4%,2.1%,2.2%
Sun Jun 8,23:50,GMT,jpy,JPY Adjusted Current Account Total (Yen),Low,¥130.5B,¥232.8B,-¥782.9B
Sun Jun 8,23:50,GMT,jpy,JPY Trade Balance - BOP Basis (Yen),Medium,-¥780.4B,-¥640.0B,-¥1133.6B
Sun Jun 8,23:50,GMT,JPY,JPY Gross Domestic Product (QoQ),High,1.6%,1.4%,1.5%
Sun Jun 8,23:50,GMT,jpy,JPY Nominal Gross Domestic Product (QoQ),High,1.4%,1.2%,1.2%
Sun Jun 8,23:50,GMT,jpy,JPY GDP Consumer Spending (QoQ),Medium,2.2%,2.1%,2.1%
Mon Jun 9,04:30,GMT,jpy,JPY Bankruptcies (YoY),Low,-20.19%,,1.66%
Mon Jun 9,05:00,GMT,jpy,JPY Consumer Confidence Index,Low,39.3,37.6,37.0
Mon Jun 9,06:00,GMT,jpy,JPY Eco Watchers Survey: Outlook,Medium,53.8,52.0,50.3
Mon Jun 9,06:00,GMT,jpy,JPY Eco Watchers Survey: Current,Medium,45.1,45.0,41.6
Mon Jun 9,07:00,GMT,aud,AUD RBA's Stevens Speech Text Released,Medium,,,
Mon Jun 9,08:30,GMT,eur,EUR Euro-Zone Sentix Investor Confidence,Low,8.5,13.3,12.8
Mon Jun 9,08:30,GMT,gbp,GBP Lloyds Employment Confidence,Low,4,,1
Mon Jun 9,12:15,GMT,cad,CAD Housing Starts,Low,198.3K,185.0K,196.7K
Mon Jun 9,13:10,GMT,usd,USD Fed's Bullard Speaks on US Economic Outlook,Low,,,
Mon Jun 9,17:30,GMT,USD,Fed's Rosengren Speaks in Guatemala,Low,,,
Mon Jun 9,20:00,GMT,nzd,NZD New Zealand Manpower Survey,Low,26%,,29%
Mon Jun 9,22:00,GMT,nzd,NZD ANZ Truckometer Heavy (MoM),Low,-2.1%,,1.2%
Mon Jun 9,22:00,GMT,nzd,AUD Australia Manpower Survey,Low,8%,,11%
Mon Jun 9,22:45,GMT,nzd,NZD Manufacturing Activity,Medium,0.6%,,6.0%
Mon Jun 9,22:45,GMT,nzd,NZD Manufacturing Activity Volume (QoQ),Low,0.5%,,5.4%
Mon Jun 9,23:01,GMT,EUR,EUR German Third Quarter Manpower Employment Outlook,Low,,,
Mon Jun 9,23:01,GMT,gbp,GBP BRC Sales Like-For-Like (YoY),Low,0.5%,1.6%,4.2%
Mon Jun 9,23:50,GMT,jpy,JPY Japan Money Stock M2 (YoY),Low,3.3%,3.2%,3.5%
Mon Jun 9,23:50,GMT,jpy,JPY Tertiary Industry Index (MoM),Low,-5.4%,-3.5%,2.4%
Mon Jun 9,23:50,GMT,jpy,JPY Japan Money Stock M3 (YoY),Low,2.6%,2.7%,2.8%
Tue Jun 10,00:01,GMT,cny,CNY Manpower Survey,Low,13%,,16%
Tue Jun 10,00:01,GMT,jpy,JPY Japan Manpower Survey,Low,16.0,,17.0
Tue Jun 10,01:30,GMT,aud,AUD NAB Business Conditions,Low,-1,,0
Tue Jun 10,01:30,GMT,aud,AUD Home Loans,Medium,0.0%,0.2%,-0.8%
Tue Jun 10,01:30,GMT,cny,CNY PPI (YoY),Low,-1.4%,-1.5%,-2.0%
Tue Jun 10,01:30,GMT,aud,AUD NAB Business Confidence,Medium,7,,7
Tue Jun 10,01:30,GMT,aud,AUD Investment Lending,Medium,2.3%,,-0.6%
Tue Jun 10,01:30,GMT,aud,AUD Value of Loans (MoM),Low,1.4%,,-1.0%
Tue Jun 10,01:30,GMT,aud,AUD ANZ Job Advertisements (MoM),Low,-5.6%,,1.9%
Tue Jun 10,01:30,GMT,cny,CNY CPI (YoY),Low,2.5%,2.4%,1.8%
Tue Jun 10,05:45,GMT,chf,CHF Unemployment Rate,Medium,3.0%,3.1%,3.2%
Tue Jun 10,05:45,GMT,chf,CHF Unemployment Rate s.a.,Medium,3.2%,3.1%,3.2%
Tue Jun 10,06:00,GMT,jpy,JPY Machine Tool Orders (YoY),Low,24.1%,,48.7%
Tue Jun 10,07:15,GMT,chf,CHF Retail Sales (Real) (YoY),Low,0.4%,,3.4%
Tue Jun 10,08:30,GMT,gbp,GBP Industrial Production (MoM),Medium,0.4%,0.4%,0.1%
Tue Jun 10,08:30,GMT,gbp,GBP Industrial Production (YoY),Medium,3.0% ,2.8%,2.5%
Tue Jun 10,08:30,GMT,gbp,GBP Manufacturing Production (MoM),Medium,0.4%,0.4%,0.5%
Tue Jun 10,08:30,GMT,gbp,GBP Manufacturing Production (YoY),Medium,4.4%,4.0%,3.5%
Tue Jun 10,09:00,GMT,eur,EUR Italian Gross Domestic Product s.a. and w.d.a. (YoY),Medium,-0.5%,-0.5%,-0.5%
Tue Jun 10,09:00,GMT,eur,EUR Italian Gross Domestic Product s.a. and w.d.a. (QoQ),Medium,-0.1%,-0.1%,-0.1%
Tue Jun 10,11:30,GMT,usd,USD NFIB Small Business Optimism,Low,96.6,96.2,95.2
Tue Jun 10,14:00,GMT,usd,USD Wholesale Trade Sales (MoM),Low,1.3%,0.9%,1.6%
Tue Jun 10,14:00,GMT,gbp,GBP NIESR Gross Domestic Product Estimate,Medium,0.9%,,1.1%
Tue Jun 10,14:00,GMT,usd,USD JOLTs Job Openings,Medium,4455,4050,4166
Tue Jun 10,14:00,GMT,usd,USD Wholesale Inventories,Low,1.1%,0.6%,1.1%
Tue Jun 10,22:45,GMT,nzd,NZD NZ Card Spending (MoM),Low,1.7%,,-0.2%
Tue Jun 10,22:45,GMT,nzd,NZD Card Spending Retail (MoM),Low,1.3%,0.5%,0.4%
Tue Jun 10,23:30,GMT,aud,AUD ANZ Roy Morgan Weekly Consumer Confidence Index,Low,102.2,,102.2
Tue Jun 10,23:50,GMT,jpy,JPY BSI Large All Industry (QoQ) (2Q),Low,-14.6,,12.7
Tue Jun 10,23:50,GMT,jpy,JPY Domestic Corporate Goods Price Index (YoY),Low,4.4%,4.1%,4.2%
Tue Jun 10,23:50,GMT,jpy,JPY BSI Large Manufacturing (QoQ) (2Q),Low,-13.9,,12.5
Tue Jun 10,23:50,GMT,jpy,JPY Domestic Corporate Goods Price Index (MoM),Low,0.3%,0.1%,2.9%
Wed Jun 11,00:30,GMT,aud,AUD Westpac Consumer Confidence,Medium,0.2%,,-6.8%
Wed Jun 11,00:30,GMT,aud,AUD Westpac Consumer Conf Index,Low,93.2,,92.9
Wed Jun 11,08:30,GMT,gbp,GBP Jobless Claims Change,High,-27.4K,-25.0K,-28.4K
Wed Jun 11,08:30,GMT,gbp,GBP Average Weekly Earnings (3M/Y),Medium,0.7%,1.2%,1.7%
Wed Jun 11,08:30,GMT,gbp,GBP Weekly Earnings ex Bonus (3M/Y),Medium,0.9%,1.2%,1.3%
Wed Jun 11,08:30,GMT,gbp,GBP Employment Change (3M/3M),High,345K,270K,283K
Wed Jun 11,08:30,GMT,gbp,GBP Claimant Count Rate,Medium,3.2%,3.2%,3.3%
Wed Jun 11,08:30,GMT,gbp,GBP ILO Unemployment Rate (3M/3M),High,6.6%,6.7%,6.8%
