Date,Time,Time Zone,Currency,Event,Importance,Actual,Forecast,Previous
Sun Sep 2,22:45,GMT,nzd,NZD Terms of Trade Index (QoQ),Medium,-2.6%,-2.0%,-2.3%
Sun Sep 2,23:01,GMT,gbp,GBP Lloyds Business Barometer,Low,10,,-8
Sun Sep 2,23:30,GMT,aud,AUD AiG Performance of Manufacturing Index,Medium,45.3,,40.3
Sun Sep 2,23:50,GMT,jpy,JPY Capital Spending,Medium,7.7%,8.9%,3.3%
Sun Sep 2,23:50,GMT,jpy,JPY Capital Spending excl Software,Medium,6.6%,7.8%,3.5%
Mon Sep 3,00:00,GMT,aud,AUD RPData-Rismark House PX Actual,Low,0.0%,,0.6%
Mon Sep 3,00:30,GMT,aud,AUD TD Securities Inflation (MoM),Medium,0.6%,,0.2%
Mon Sep 3,00:30,GMT,aud,AUD TD Securities Inflation (YoY),Medium,2.2%,,1.5%
Mon Sep 3,01:00,GMT,cny,CNY Non-manufacturing PMI,Medium,56.3,,55.6
Mon Sep 3,01:30,GMT,aud,AUD Company Operating Profit (QoQ),Low,-0.7%,1.0%,-3.7%
Mon Sep 3,01:30,GMT,aud,AUD Inventories,Low,0.6%,0.2%,1.3%
Mon Sep 3,01:30,GMT,aud,AUD Retail Sales s.a. (MoM),Medium,-0.8%,0.2%,1.2%
Mon Sep 3,01:30,GMT,aud,AUD ANZ Job Advertisements (MoM),Low,-2.3%,,-0.8%
Mon Sep 3,02:30,GMT,cny,CNY HSBC Manufacturing PMI,Medium,47.6,,49.3
Mon Sep 3,05:00,GMT,jpy,JPY Vehicle Sales (YoY),Low,7.3%,,36.1%
Mon Sep 3,06:30,GMT,aud,AUD RBA Commodity Price Index,Low,90.3,,94.4
Mon Sep 3,06:30,GMT,aud,AUD RBA Commodity Index SDR (YoY),Low,-13.7%,,-11.1%
Mon Sep 3,07:15,GMT,chf,CHF Retail Sales (Real) (YoY),Medium,3.2%,,3.3%
Mon Sep 3,07:30,GMT,chf,CHF SVME-Purchasing Managers Index,Medium,46.7,49.1,48.6
Mon Sep 3,07:45,GMT,eur,EUR Italian Purchasing Manager Index Manufacturing,Low,43.6,45,44.3
