,cross1,cross2,rel
111,YAHOO.INDEX_AORD,AUDJPY,0.795973820181037
112,NIKKEI.INDEX,AUDJPY,0.835938382857439
113,YAHOO.INDEX_GSPTSE,AUDJPY,0.53259223587664
114,OFDP.SILVER_5,AUDJPY,-0.402137344420817
115,WGC.GOLD_DAILY_USD,AUDJPY,-0.362471821349308
116,WSJ.COPPER,AUDJPY,-0.36940290290466
117,WSJ.CORN_2,AUDJPY,-0.163658823036077
118,WSJ.PL_MKT,AUDJPY,-0.343981481110515
119,OFDP.FUTURE_B1,AUDJPY,0.295453110753961
120,FED.JRXWTFB_N_B,AUDJPY,-0.0300938981115449
121,AUDUSD,AUDGBP,0.911462127784697
122,AUDNZD,AUDGBP,0.794484458638716
123,AUDJPY,AUDGBP,-0.266956620762491
125,AUDEUR,AUDGBP,0.886787506131624
126,AUDCHF,AUDGBP,0.802013931272716
127,AUDCAD,AUDGBP,0.706565452791922
128,CADUSD,AUDGBP,0.804702261952229
129,CADNZD,AUDGBP,0.384712592537357
130,CADJPY,AUDGBP,-0.472504611048542
131,CADGBP,AUDGBP,0.865432971130736
132,CADEUR,AUDGBP,0.739098210512378
133,CADCHF,AUDGBP,0.420766393110234
134,CHFUSD,AUDGBP,-0.0246411501445014
135,CHFNZD,AUDGBP,0.00978976237641043
136,CHFJPY,AUDGBP,-0.580544178508483
137,CHFGBP,AUDGBP,0.327999572874989
138,CHFEUR,AUDGBP,0.198287587716338
139,EURUSD,AUDGBP,-0.211545410891939
140,EURNZD,AUDGBP,-0.0910709684921858
141,EURJPY,AUDGBP,-0.722626631982385
142,EURGBP,AUDGBP,0.222715337826017
143,GBPUSD,AUDGBP,-0.540409105157622
144,GBPNZD,AUDGBP,-0.281501643153169
145,GBPJPY,AUDGBP,-0.779470668107029
146,JPYUSD,AUDGBP,0.688764993517853
147,JPYNZD,AUDGBP,0.476355569331405
148,NZDUSD,AUDGBP,-0.0766541513983488
149,YAHOO.INDEX_GDAXI,AUDGBP,-0.652068368704236
150,YAHOO.INDEX_FTSE,AUDGBP,-0.51757204569207
151,YAHOO.INDEX_AORD,AUDGBP,-0.658088050763211
152,NIKKEI.INDEX,AUDGBP,-0.690016909822309
153,YAHOO.INDEX_GSPTSE,AUDGBP,-0.539516120053613
154,OFDP.SILVER_5,AUDGBP,0.737979253147788
155,WGC.GOLD_DAILY_USD,AUDGBP,0.775466233911261
156,WSJ.COPPER,AUDGBP,0.509490712736976
157,WSJ.CORN_2,AUDGBP,0.818690674181383
158,WSJ.PL_MKT,AUDGBP,0.485749996165638
159,OFDP.FUTURE_B1,AUDGBP,0.242372650932649
160,FED.JRXWTFB_N_B,AUDGBP,-0.704022103971882
161,AUDUSD,AUDEUR,0.818052693677304
162,AUDNZD,AUDEUR,0.665976066705915
163,AUDJPY,AUDEUR,-0.27692447531572
164,AUDGBP,AUDEUR,0.886787506131624
166,AUDCHF,AUDEUR,0.85889879413403
167,AUDCAD,AUDEUR,0.70957573504974
168,CADUSD,AUDEUR,0.653865589525902
169,CADNZD,AUDEUR,0.340363514993833
170,CADJPY,AUDEUR,-0.543572956183348
171,CADGBP,AUDEUR,0.720988795495894
172,CADEUR,AUDEUR,0.886511714748591
173,CADCHF,AUDEUR,0.561899743062296
174,CHFUSD,AUDEUR,-0.200660423729462
175,CHFNZD,AUDEUR,-0.241912933810906
176,CHFJPY,AUDEUR,-0.671401809113764
177,CHFGBP,AUDEUR,0.058446107046525
178,CHFEUR,AUDEUR,0.296683891092528
179,EURUSD,AUDEUR,-0.535901757349236
180,EURNZD,AUDEUR,-0.383005969926886
181,EURJPY,AUDEUR,-0.773161613139194
182,EURGBP,AUDEUR,-0.252309074509799
183,GBPUSD,AUDEUR,-0.450581396056461
184,GBPNZD,AUDEUR,-0.310401223227607
185,GBPJPY,AUDEUR,-0.709758065543247
186,JPYUSD,AUDEUR,0.647426374605131
187,JPYNZD,AUDEUR,0.498756189766164
188,NZDUSD,AUDEUR,0.00146398579054544
189,YAHOO.INDEX_GDAXI,AUDEUR,-0.544241045928686
190,YAHOO.INDEX_FTSE,AUDEUR,-0.472909688330018
191,YAHOO.INDEX_AORD,AUDEUR,-0.671327117709039
192,NIKKEI.INDEX,AUDEUR,-0.660767397262604
193,YAHOO.INDEX_GSPTSE,AUDEUR,-0.576869425108698
194,OFDP.SILVER_5,AUDEUR,0.576021901776948
195,WGC.GOLD_DAILY_USD,AUDEUR,0.78100219860117
196,WSJ.COPPER,AUDEUR,0.300424297159679
197,WSJ.CORN_2,AUDEUR,0.764119283332706
198,WSJ.PL_MKT,AUDEUR,0.238386581594273
199,OFDP.FUTURE_B1,AUDEUR,0.220395102302515
200,FED.JRXWTFB_N_B,AUDEUR,-0.703336416101373
201,AUDUSD,AUDCHF,0.679133938955529
202,AUDNZD,AUDCHF,0.794469782096846
203,AUDJPY,AUDCHF,-0.369813619136614
204,AUDGBP,AUDCHF,0.802013931272716
205,AUDEUR,AUDCHF,0.85889879413403
207,AUDCAD,AUDCHF,0.476799637482759
