Date,Time,Time Zone,Currency,Event,Importance,Actual,Forecast,Previous
Sun Sep 15,21:45,GMT,nzd,REINZ Housing Price Index,Low,3746.6,,3669.1
Sun Sep 15,21:45,GMT,nzd,REINZ House Sales (YoY),Low,8.5%,,14.7%
Sun Sep 15,21:45,GMT,nzd,REINZ House Price Index (MoM),Low,2.1%,,-0.5%
Sun Sep 15,22:00,GMT,nzd,NZD Westpac NZ Consumer Confidence,Medium,115.4,,116.6
Sun Sep 15,22:30,GMT,nzd,NZD Performance Services Index,Medium,53.2,,58.2
Sun Sep 15,23:01,GMT,gbp,GBP Rightmove House Prices (YoY),Low,4.5%,,5.5%
Sun Sep 15,23:01,GMT,gbp,GBP Rightmove House Prices (MoM),Low,-1.5%,,-1.8%
Mon Sep 16,,,eur,Troika Officials Start 8th and 9th Review of Portugal's Aid Plan ,Low,,,
Mon Sep 16,09:00,GMT,eur,EUR Euro-Zone Consumer Price Index (MoM),Medium,0.1%,0.1%,-0.5%
Mon Sep 16,09:00,GMT,eur,EUR Euro-Zone Consumer Price Index (YoY),High,1.3%,1.3%,1.3%
Mon Sep 16,09:00,GMT,eur,EUR Euro-Zone Consumer Price Index - Core (YoY),High,1.1%,1.1%,1.1%
Mon Sep 16,09:00,GMT,eur,EUR Euro-Zone Labor Costs (YoY),Low,0.9%,,1.7%
Mon Sep 16,12:30,GMT,cad,CAD International Securities Transactions (Canadian dollar),Low,6.09B,8.00B,-15.43B
Mon Sep 16,12:30,GMT,usd,USD Empire Manufacturing,Low,6.29,9.1,8.24
Mon Sep 16,13:00,GMT,cad,CAD Existing Home Sales (MoM),Low,2.8%,,0.2%
Mon Sep 16,13:15,GMT,usd,USD Industrial Production,Medium,0.4%,0.5%,0.0%
Mon Sep 16,13:15,GMT,usd,USD Capacity Utilization,Low,77.8%,77.9%,77.6%
Mon Sep 16,13:15,GMT,usd,USD Manufacturing (SIC) Production,Medium,0.7%,0.5%,-0.4%
Mon Sep 16,21:00,GMT,USD,USD EIA Gasoline and Diesel Fuel Update,Low,,,
Tue Sep 17,01:30,GMT,AUD,AUD RBA Policy Meeting - September Minutes,Medium,,,
Tue Sep 17,01:30,GMT,aud,AUD New Motor Vehicle Sales (MoM),Low,0.8%,,-3.6%
Tue Sep 17,01:30,GMT,aud,AUD New Motor Vehicle Sales (YoY),Low,0.2%,,3.0%
Tue Sep 17,02:00,GMT,cny,CNY Conference Board China August Leading Economic Index,Low,269.3,,267.4
Tue Sep 17,02:00,GMT,cny,CNY Foreign Direct Investment (YoY),Medium,0.6%,12.5%,24.1%
Tue Sep 17,04:00,GMT,jpy,JPY Tokyo Condominium Sales (YoY),Low,53.3%,,31.6%
Tue Sep 17,06:00,GMT,eur,EUR EU 27 New Car Registrations,Low,-5.0%,,5.0%
Tue Sep 17,08:00,GMT,eur,EUR Euro-Zone Current Account s.a. (euros),Low,16.9B,,19.8B
Tue Sep 17,08:00,GMT,eur,EUR Euro-Zone Current Account n.s.a. (euros),Low,26.6B,,27.8B
Tue Sep 17,08:30,GMT,gbp,GBP Producer Price Index Input n.s.a. (MoM),Low,-0.2%,0.2%,1.2%
Tue Sep 17,08:30,GMT,gbp,GBP Producer Price Index Output n.s.a. (MoM),Low,0.1%,0.2%,0.2%
Tue Sep 17,08:30,GMT,gbp,GBP Retail Price Index,Low,251.0,250.8,249.7
Tue Sep 17,08:30,GMT,gbp,GBP Retail Price Index (MoM),Low,0.5%,0.40%,0.0%
Tue Sep 17,08:30,GMT,gbp,GBP Retail Price Index (YoY),Low,3.3%,3.20%,3.1%
Tue Sep 17,08:30,GMT,gbp,GBP Retail Price Index Ex Mort Int.Payments (YoY),Low,3.3%,3.20%,3.2%
Tue Sep 17,08:30,GMT,gbp,GBP Producer Price Index Input n.s.a. (YoY),Low,2.8%,3.0%,5.1%
Tue Sep 17,08:30,GMT,gbp,GBP Producer Price Index Output n.s.a. (YoY),Medium,1.6%,1.8%,2.1%
Tue Sep 17,08:30,GMT,gbp,GBP Producer Price Index Output Core n.s.a. (MoM),Low,0.0%,0.1%,0.1%
Tue Sep 17,08:30,GMT,gbp,GBP Producer Price Index Output Core n.s.a. (YoY),Medium,1.0%,1.1%,1.1%
Tue Sep 17,08:30,GMT,gbp,GBP ONS House Prices (YoY),Low,3.3%,3.4%,3.1%
Tue Sep 17,08:30,GMT,gbp,GBP Consumer Price Index (MoM),Medium,0.4%,0.5%,0.0%
Tue Sep 17,08:30,GMT,gbp,GBP Consumer Price Index (YoY),High,2.7%,2.7%,2.8%
Tue Sep 17,08:30,GMT,gbp,GBP Core Consumer Price Index (YoY),High,2.0%,2.1%,2.0%
Tue Sep 17,09:00,GMT,eur,EUR Euro-Zone ZEW Survey (Economic Sentiment),Medium,58.6,,44
Tue Sep 17,09:00,GMT,eur,EUR German ZEW Survey (Current Situation),Medium,30.6,20.0,18.3
Tue Sep 17,09:00,GMT,eur,EUR German ZEW Survey (Economic Sentiment),High,49.6,45.0,42
Tue Sep 17,09:00,GMT,eur,EUR Euro-Zone Trade Balance (euros),Low,18.2B,,16.5B
Tue Sep 17,09:00,GMT,eur,EUR Euro-Zone Trade Balance s.a. (euros),Low,11.1B,15.0B,13.5B
Tue Sep 17,12:30,GMT,cad,CAD Manufacturing Shipments (MoM),Low,1.7%,0.5%,-0.1%
Tue Sep 17,12:30,GMT,usd,USD Consumer Price Index (MoM),Medium,0.1%,0.2%,0.2%
Tue Sep 17,12:30,GMT,usd,USD Consumer Price Index Ex Food & Energy (MoM),Medium,0.1%,0.2%,0.2%
Tue Sep 17,12:30,GMT,usd,USD Consumer Price Index (YoY),High,1.5%,1.6%,2.0%
Tue Sep 17,12:30,GMT,usd,USD Consumer Price Index n.s.a.,Low,233.877,233.963,233.596
Tue Sep 17,12:30,GMT,usd,USD Consumer Price Index Ex Food & Energy (YoY),High,1.8%,1.8%,1.7%
