Date,Time,Time Zone,Currency,Description,Importance,Actual,Forecast,Previous
Sun Jun 03,01:00,GMT,cny,CNY China Non-manufacturing PMI,Medium,55.2,,56.1
Sun Jun 03,18:00,GMT,USD,USD Fed's Kocherlakota Speaks on Economic Theory in Minneapolis,LOW,,,
Sun Jun 03,23:50,GMT,jpy,JPY Monetary Base (YoY),Low,2.4%,,-0.3%
Mon Jun 04,00:30,GMT,aud,AUD TD Securities Inflation (MoM),Low,0.0%,,0.3%
Mon Jun 04,00:30,GMT,aud,AUD TD Securities Inflation (YoY),Medium,1.8%,,1.9%
Mon Jun 04,01:30,GMT,aud,AUD Company Operating Profit (QoQ),Low,-4.0%,-2.5%,-6.4%
Mon Jun 04,01:30,GMT,aud,AUD Inventories,Low,0.9%,0.7%,1.4%
Mon Jun 04,01:30,GMT,aud,AUD ANZ Job Advertisements (MoM),Low,-2.4%,,-3.1%
Mon Jun 04,08:30,GMT,eur,EUR Euro-Zone Sentix Investor Confidence,Medium,-28.9,-30,-24.5
Mon Jun 04,09:00,GMT,eur,EUR Euro-Zone Producer Price Index (MoM),Medium,0.0%,0.2%,0.5%
Mon Jun 04,09:00,GMT,eur,EUR Euro-Zone Producer Price Index (YoY),High,2.6%,2.7%,3.5%
Mon Jun 04,13:45,GMT,usd,USD ISM New York,Low,49.9,,61.2
Mon Jun 04,14:00,GMT,usd,USD Factory Orders,Medium,-0.6%,0.2%,-2.1%
Mon Jun 04,23:30,GMT,aud,AUD AiG Performance of Service Index,Medium,43.5,,39.6
Tue Jun 05,01:30,GMT,aud,AUD Australia Net Exports of GDP,Low,-0.5,-0.7,0.3
Tue Jun 05,01:30,GMT,aud,AUD Current Account Balance (Australian Dollar),Medium,-14892M,-14850M,-9639M
Tue Jun 05,02:30,GMT,cny,CNY China HSBC Services PMI,Low,54.7,,54.1
Tue Jun 05,04:30,GMT,aud,AUD Reserve Bank of Australia Rate Decision,High,3.50%,3.50%,3.75%
Tue Jun 05,07:45,GMT,eur,EUR Italian Purchasing Manager Index Services,Low,42.8,42,42.3
Tue Jun 05,07:50,GMT,eur,EUR French Purchasing Manager Index Services,Low,45.1,45.2,45.2
Tue Jun 05,07:55,GMT,eur,EUR German Purchasing Manager Index Services,Medium,51.8,52.2,52.2
Tue Jun 05,08:00,GMT,eur,EUR Euro-Zone Purchasing Manager Index Composite,Medium,46.0,45.9,45.9
Tue Jun 05,08:00,GMT,eur,EUR Euro-Zone Purchasing Manager Index Services,Medium,46.7,46.5,46.5
Tue Jun 05,09:00,GMT,eur,EUR Euro-Zone Retail Sales (MoM),Medium,-1.0%,-0.1%,0.3%
Tue Jun 05,09:00,GMT,eur,EUR Euro-Zone Retail Sales (YoY),High,-2.5%,-1.1%,-0.2%
Tue Jun 05,10:00,GMT,eur,EUR German Factory Orders s.a. (MoM),Medium,-1.9%,-1.1%,3.2%
Tue Jun 05,10:00,GMT,eur,EUR German Factory Orders n.s.a. (YoY),Medium,-3.8%,-3.8%,-0.2%
Tue Jun 05,12:30,GMT,cad,CAD Building Permits (MoM),Low,-5.2%,-1.5%,4.9%
Tue Jun 05,13:00,GMT,cad,CAD Bank of Canada Rate Decision,High,1.00%,1.00%,1.00%
Tue Jun 05,14:00,GMT,usd,USD ISM Non-Manufacutring Composite,Medium,53.7,53.5,53.5
Tue Jun 05,22:45,GMT,nzd,NZD Value of All Buildings s.a.,Low,-0.4,2.5%,2.8%
Tue Jun 05,23:01,GMT,gbp,GBP BRC Shop Price Index (YoY),Low,1.5%,1.5%,1.3%
Tue Jun 05,23:01,GMT,gbp,GBP Lloyds Business Barometer,Low,-21,,26
Tue Jun 05,23:15,GMT,USD,USD Chicago Fed's Evans to Speak to Money Marketeers in New York,LOW,,,
Wed Jun 06,01:30,GMT,aud,AUD Gross Domestic Product (QoQ),High,1.3%,0.6%,0.6%
Wed Jun 06,01:30,GMT,aud,AUD Gross Domestic Product (YoY),High,4.3%,3.3%,2.5%
Wed Jun 06,08:30,GMT,gbp,GBP Purchasing Manager Index Construction,Medium,54.4,54.5,55.8
Wed Jun 06,09:00,GMT,eur,EUR Euro-Zone Gross Domestic Product s.a. (QoQ),High,0.0%,0.0%,0.0%
Wed Jun 06,09:00,GMT,eur,EUR Euro-Zone Gross Domestic Product s.a. (YoY),High,-0.1%,0.0%,0.0%
Wed Jun 06,09:00,GMT,eur,EUR Euro-Zone Household Consumption (QoQ),Medium,0.0%,0.1%,-0.5%
