cross,volatility
USD_JPY,0.0110848801386884
USD_CHF,0.015535619266003
USD_CAD,0.00955819577666521
NZD_USD,0.0127969296144499
NZD_JPY,0.0130772967732971
NZD_CHF,0.0132427574617469
NZD_CAD,0.012492283438564
GBP_NZD,0.0102545688610459
GBP_JPY,0.0094108811549425
GBP_CHF,0.0120178735824414
GBP_AUD,0.00838302692076212
EUR_USD,0.0155040983921686
EUR_NZD,0.0125149686525049
EUR_JPY,0.0117941936209835
EUR_GBP,0.0112222977371871
EUR_CAD,0.0129778159772663
EUR_AUD,0.0137351779100413
CHF_JPY,0.011056253782359
CAD_JPY,0.00897733399908596
CAD_CHF,0.0121136956103486
AUD_USD,0.00983407342278844
AUD_NZD,0.00856933268682632
AUD_JPY,0.00865805955069351
AUD_CHF,0.0128649006555166
