Date,Time,Time Zone,Currency,Description,Importance,Actual,Forecast,Previous
Sun Jan 29,21:30,GMT,nzd,NZD Performance Services Index,Low,50.6,,56.2
Mon Jan 30,,,eur,EUR German Consumer Price Index EU Harmonized (MoM),Medium,,-0.4%,0.7%
Mon Jan 30,,,eur,EUR German Consumer Price Index EU Harmonized (YoY),High,,2.4%,2.3%
Mon Jan 30,00:01,GMT,gbp,GBP Hometrack Housing Survey (MoM),Low,0.0%,,-0.2%
Mon Jan 30,00:01,GMT,gbp,GBP Hometrack Housing Survey (YoY),Low,-1.6%,,-2.1%
Mon Jan 30,09:00,GMT,eur,EUR Italian Business Confidence,Low,92.1,92.3,92.5
Mon Jan 30,10:00,GMT,eur,EUR Euro-Zone Economic Confidence,Low,93.4,93.8,92.8
Mon Jan 30,10:00,GMT,eur,EUR Euro-Zone Services Confidence,Low,-0.6,-1.6,-2.6
Mon Jan 30,10:00,GMT,eur,EUR Euro-Zone Business Climate Indicator,Medium,-0.21,-0.25,-0.32
Mon Jan 30,10:00,GMT,eur,EUR Euro-Zone Consumer Confidence,Medium,-20.7,-20.6,-20.6
Mon Jan 30,10:00,GMT,eur,EUR Euro-Zone Industrial Confidence,Low,-7.2,-6.8,-7.2
Mon Jan 30,13:00,GMT,eur,EUR German Consumer Price Index (MoM),Medium,-0.4%,-0.4%,0.7%
Mon Jan 30,13:00,GMT,eur,EUR German Consumer Price Index (YoY),High,2.0%,2.0%,2.1%
Mon Jan 30,13:30,GMT,usd,USD Personal Spending,Medium,0.0%,0.1%,0.1%
Mon Jan 30,13:30,GMT,usd,USD Personal Income,Medium,0.5%,0.4%,0.1%
Mon Jan 30,13:30,GMT,usd,USD Personal Consumption Expenditure Deflator (YoY),Low,2.4%,2.3%,2.5%
Mon Jan 30,13:30,GMT,usd,USD Personal Consumption Expenditure Core (MoM),Medium,0.2%,0.1%,0.1%
Mon Jan 30,13:30,GMT,usd,USD Personal Consumption Expenditure Core (YoY),High,1.8%,1.8%,1.7%
Mon Jan 30,15:30,GMT,usd,USD Dallas Fed Manufacturing Activity,Low,15.3,1.5,-0.3
Mon Jan 30,21:45,GMT,nzd,NZD Building Permits (MoM),Low,2.1%,8.0%,-6.2%
Mon Jan 30,23:15,GMT,jpy,JPY Nomura/JMMA Manufacturing Purchasing Manager Index,Medium,50.7,,50.2
Mon Jan 30,23:30,GMT,aud,AUD RPData-Rismark House Px s.a.,Low,,,0.1%
Mon Jan 30,23:30,GMT,jpy,JPY Job-To-Applicant Ratio,Low,,0.7,0.69
Mon Jan 30,23:30,GMT,jpy,JPY Household Spending (YoY),Medium,0.5%,-0.1%,-3.2%
Mon Jan 30,23:30,GMT,aud,AUD RPData-Rismark House Px Raw,Low,-1.2%,,0.0%
Mon Jan 30,23:30,GMT,jpy,JPY Jobless Rate,Medium,4.6%,4.5%,4.5%
Mon Jan 30,23:50,GMT,jpy,JPY Loans & Discounts Corp (YoY),Low,0.0%,,-0.4%
Mon Jan 30,23:50,GMT,jpy,JPY Industrial Production (YoY),Medium,-4.1%,-5.0%,-4.2%
Mon Jan 30,23:50,GMT,jpy,JPY Industrial Production (MoM),Low,4.0%,3.0%,-2.7%
Tue Jan 31,00:01,GMT,gbp,GBP GfK Consumer Confidence Survey,Medium,-29,-32,-33
Tue Jan 31,00:30,GMT,aud,AUD NAB Business Conditions,Low,1,,1
Tue Jan 31,00:30,GMT,aud,AUD NAB Business Confidence,Medium,3,,2
Tue Jan 31,00:30,GMT,aud,AUD Private Sector Credit (MoM),Medium,0.3%,0.3%,0.3%
Tue Jan 31,00:30,GMT,aud,AUD Private Sector Credit (YoY),Medium,3.5%,3.6%,3.5%
Tue Jan 31,02:00,GMT,nzd,NZD Money Supply M3 (YoY),Low,6.0%,,6.5%
Tue Jan 31,04:00,GMT,jpy,JPY Vehicle Production (YoY),Low,13.4%,,4.5%
Tue Jan 31,05:00,GMT,jpy,JPY Construction Orders (YoY),Low,1.5%,,21.0%
Tue Jan 31,05:00,GMT,jpy,JPY Annualized Housing Starts,Medium,0.783M,0.848M,0.824M
Tue Jan 31,05:00,GMT,jpy,JPY Housing Starts (YoY),Medium,-7.3%,-1.5%,-0.3%
Tue Jan 31,05:00,GMT,jpy,JPY Small Business Confidence,Low,45.7,,45.6
Tue Jan 31,07:00,GMT,eur,EUR German Retail Sales (MoM),Low,-1.4%,0.8%,-1.0%
Tue Jan 31,07:00,GMT,eur,EUR German Retail Sales (YoY),Medium,-0.9%,0.9%,0.9%
Tue Jan 31,07:00,GMT,chf,CHF UBS Consumption Indicator,Medium,0.92,,0.78
Tue Jan 31,07:45,GMT,eur,French Producer Prices DEC YoY,Low,4.7%,4.7%,5.6%
Tue Jan 31,07:45,GMT,eur,French Producer Prices DEC MoM,Low,-0.1%,-0.1%,0.4%
Tue Jan 31,08:55,GMT,eur,EUR German Unemployment Change,High,-34K,-10K,-25K
