Date,Time,Time Zone,Currency,Event,Importance,Actual,Forecast,Previous
Sun Jul 29,22:45,GMT,nzd,NZD Building Permits (MoM),Low,5.7%,7.3%,-7.2%
Sun Jul 29,23:01,GMT,gbp,GBP Lloyds Business Barometer,Low,-8,,-12
Sun Jul 29,23:01,GMT,gbp,GBP Hometrack Housing Survey (MoM),Low,-0.1%,,0.0%
Sun Jul 29,23:01,GMT,gbp,GBP Hometrack Housing Survey (YoY),Low,-0.5%,,-0.5%
Sun Jul 29,23:50,GMT,jpy,JPY Industrial Production (MoM),Low,-0.1%,1.5%,-3.4%
Sun Jul 29,23:50,GMT,jpy,JPY Industrial Production (YoY),Medium,-2.0%,-0.1%,6.0%
Mon Jul 30,01:00,GMT,aud,AUD HIA New Home Sales (MoM),Medium,2.8%,,0.7%
Mon Jul 30,04:00,GMT,jpy,JPY Vehicle Production (YoY),Low,20.3%,,59.5%
Mon Jul 30,07:36,GMT,cny,CNY Leading Index,Medium,99.28,,99.58
Mon Jul 30,08:30,GMT,gbp,GBP Net Consumer Credit,Medium,0.6B,0.4B,0.8B
Mon Jul 30,08:30,GMT,gbp,GBP Net Lending Sec. on Dwellings,Medium,-0.4B,0.4B,0.3B
Mon Jul 30,08:30,GMT,gbp,GBP Mortgage Approvals,Medium,44.2K,48.0K,50.5K
Mon Jul 30,08:30,GMT,gbp,GBP M4 Money Supply (MoM),Low,-1.6%,,-0.1%
Mon Jul 30,08:30,GMT,gbp,GBP M4 Money Supply (YoY),Low,-5.2%,,-4.1%
Mon Jul 30,08:30,GMT,gbp,GBP M4 Ex IOFCs 3M Annualised,Low,2.9%,,3.4%
Mon Jul 30,09:30,GMT,eur,EUR Euro-Zone Business Climate Indicator,Medium,-1.27,-1.09,-0.95
Mon Jul 30,09:30,GMT,eur,EUR Euro-Zone Consumer Confidence,Medium,-21.5,-21.6,-21.6
Mon Jul 30,09:30,GMT,eur,EUR Euro-Zone Economic Confidence,Low,87.9,88.9,89.9
Mon Jul 30,09:30,GMT,eur,EUR Euro-Zone Industrial Confidence,Low,-15.0,-14,-12.8
Mon Jul 30,09:30,GMT,eur,EUR Euro-Zone Services Confidence,Low,-8.5,-8,-7.4
Mon Jul 30,10:00,GMT,gbp,GBP CBI Reported Sales,Low,11,20,42
Mon Jul 30,14:30,GMT,usd,USD Dallas Fed Manufacturing Activity,Low,-13.2,2.0,5.8
Mon Jul 30,15:00,GMT,JPY,JPY BOJ to Release Record of Meetings for 1st Half of 2002,Medium,,,
Mon Jul 30,23:01,GMT,gbp,GBP GfK Consumer Confidence Survey,Medium,-29,-29,-29
Mon Jul 30,23:15,GMT,jpy,JPY Nomura/JMMA Manufacturing Purchasing Manager Index,Medium,47.9,,49.9
Mon Jul 30,23:30,GMT,jpy,JPY Jobless Rate,Medium,4.3%,4.4%,4.4%
Mon Jul 30,23:30,GMT,jpy,JPY Job-To-Applicant Ratio,Low,0.82,0.82,0.81
Mon Jul 30,23:30,GMT,jpy,JPY Household Spending (YoY),Medium,1.6%,2.9%,4.0%
Mon Jul 30,23:50,GMT,jpy,JPY Loans & Discounts Corp (YoY),Low,0.12%,,-0.53%
Tue Jul 31,01:00,GMT,nzd,NZD NBNZ Activity Outlook,Medium,24.0,,20.8
Tue Jul 31,01:00,GMT,nzd,NZD NBNZ Business Confidence,Medium,15.1,,12.6
Tue Jul 31,01:30,GMT,jpy,JPY Labor Cash Earnings (YoY),Medium,-0.6%,0.0%,-1.1%
Tue Jul 31,01:30,GMT,aud,AUD Private Sector Credit (MoM),Medium,0.3%,0.4%,0.5%
Tue Jul 31,01:30,GMT,aud,AUD Private Sector Credit (YoY),Medium,4.4%,4.4%,4.0%
Tue Jul 31,01:30,GMT,aud,AUD Building Approvals (MoM),Low,-2.5%,-15.0%,27.0%
Tue Jul 31,01:30,GMT,aud,AUD Building Approvals (YoY),Low,10.2%,-5.5%,9.1%
Tue Jul 31,03:00,GMT,nzd,NZD Money Supply M3 (YoY),Low,5.7%,,6.3%
Tue Jul 31,05:00,GMT,jpy,JPY Annualized Housing Starts,Medium,0.837M,0.916M,0.903M
Tue Jul 31,05:00,GMT,jpy,JPY Construction Orders (YoY),Low,4.6%,,-0.9%
Tue Jul 31,05:00,GMT,jpy,JPY Housing Starts (YoY),Medium,-0.2%,9.4%,9.3%
Tue Jul 31,06:00,GMT,eur,EUR German Retail Sales (MoM),Low,-0.1%,0.5%,-0.3%
Tue Jul 31,06:00,GMT,chf,CHF UBS Consumption Indicator,Medium,1.60,,1.02
Tue Jul 31,06:00,GMT,eur,EUR German Retail Sales (YoY),Medium,2.9%,0.4%,-1.1%
Tue Jul 31,06:45,GMT,eur,EUR French Consumer Spending (YoY),Low,0.2%,0.4%,0.5%
Tue Jul 31,06:45,GMT,eur,EUR French Consumer Spending (MoM),Low,0.1%,0.2%,0.5%
Tue Jul 31,06:45,GMT,eur,EUR French Producer Prices (YoY),Low,1.3%,2.1%,2.1%
Tue Jul 31,06:45,GMT,eur,EUR French Producer Prices (MoM),Low,-0.9%,-0.3%,-1.0%
Tue Jul 31,07:55,GMT,EUR,EUR German July Unemployment Data Released by Federal Labor Agency,High,,,
Tue Jul 31,07:55,GMT,eur,EUR German Unemployment Change,High,7K,7K,7K
Tue Jul 31,07:55,GMT,eur,EUR German Unemployment Rate s.a.,Medium,6.8%,6.8%,6.8%
Tue Jul 31,08:00,GMT,eur,EUR Italian Unemployment Rate s.a.,Low,10.8%,10.3%,10.6%
Tue Jul 31,09:00,GMT,eur,EUR Italian CPI - EU Harmonized (YoY),Low,3.7%,3.6%,3.6%
Tue Jul 31,09:00,GMT,eur,EUR Euro-Zone Unemployment Rate,Medium,11.2%,11.2%,11.2%
Tue Jul 31,09:00,GMT,eur,EUR Italian CPI - EU Harmonized (MoM),Low,-1.6%,-1.7%,0.2%
Tue Jul 31,09:00,GMT,eur,EUR Euro-Zone CPI Estimate (YoY),High,2.4%,2.4%,2.4%
Tue Jul 31,09:00,GMT,eur,EUR Italian CPI (NIC incl. tobacco) (YoY),Low,3.0%,3.2%,3.3%
Tue Jul 31,09:00,GMT,eur,EUR Italian CPI (NIC incl. tobacco) (MoM),Low,0.0%,0.2%,0.2%
Tue Jul 31,09:00,GMT,eur,EUR Euro-Zone Consumer Price Index Estimate (YoY),Medium,2.4%,2.4%,2.4%
Tue Jul 31,10:00,GMT,eur,EUR Italian PPI (YoY),Low,2.2%,2.0%,2.3%
Tue Jul 31,10:00,GMT,eur,EUR Italian PPI (MoM),Low,-0.1%,-0.2%,-0.3%
Tue Jul 31,12:00,GMT,usd,USD NAPM-Milwaukee,Low,46.7,,60.2
Tue Jul 31,12:30,GMT,cad,CAD Gross Domestic Product (MoM),Medium,0.1%,0.2%,0.3%
Tue Jul 31,12:30,GMT,cad,CAD Industrial Product Price (MoM),Low,-0.3%,-0.1%,-0.1%
Tue Jul 31,12:30,GMT,usd,USD Employment Cost Index,Low,0.5%,0.5%,0.4%
Tue Jul 31,12:30,GMT,usd,USD Personal Consumption Expenditure Deflator (MoM),Low,0.1%,0.0%,-0.2%
Tue Jul 31,12:30,GMT,usd,USD Personal Consumption Expenditure Core (YoY),High,1.8%,1.8%,1.8%
Tue Jul 31,12:30,GMT,USD,USD Annual Revisions: Personal Income and Spending,Low,,,
Tue Jul 31,12:30,GMT,cad,CAD Gross Domestic Product (YoY),High,2.4%,2.6%,2.0%
Tue Jul 31,12:30,GMT,cad,CAD Raw Materials Price Index (MoM),Low,-4.0%,-3.0%,-1.1%
Tue Jul 31,12:30,GMT,usd,USD Personal Income,Medium,0.5%,0.4%,0.3%
Tue Jul 31,12:30,GMT,usd,USD Personal Spending,Medium,0.0%,0.1%,-0.1%
Tue Jul 31,12:30,GMT,usd,USD Personal Consumption Expenditure Deflator (YoY),Low,1.5%,1.7%,1.5%
Tue Jul 31,12:30,GMT,usd,USD Personal Consumption Expenditure Core (MoM),Medium,0.2%,0.2%,0.1%
Tue Jul 31,13:00,GMT,usd,USD S&P/CS 20 City s.a. (MoM),Low,0.9%,0.4%,0.7%
Tue Jul 31,13:00,GMT,usd,USD S&P/Case-Shiller Composite-20 (YoY),Low,-0.7%,-1.4%,-1.8%
Tue Jul 31,13:00,GMT,usd,USD S&P/Case-Shiller Home Price Index,Low,139.0,137.6,135.9
Tue Jul 31,13:45,GMT,usd,USD Chicago Purchasing Manager,Low,53.7,52.5,52.9
Tue Jul 31,14:00,GMT,usd,USD Consumer Confidence,High,65.9,61.5,62.7
Tue Jul 31,23:01,GMT,gbp,GBP BRC Shop Price Index (YoY),Low,1.0%,,1.1%
Tue Jul 31,23:15,GMT,aud,AUD RPData - Rismark House PX Actual,Low,0.6%,,1.0%
