Date,Time,Time Zone,Currency,Event,Importance,Actual,Forecast,Previous
Mon Jan 13,00:30,GMT,aud,AUD Value of Loans (MoM),Low,1.9%,,1.8%
Mon Jan 13,00:30,GMT,aud,AUD Home Loans,Medium,1.1%,1.0%,1.1%
Mon Jan 13,00:30,GMT,aud,AUD Investment Lending,Low,1.5%,,6.8%
Mon Jan 13,00:30,GMT,aud,AUD ANZ Job Advertisements (MoM),Low,-0.7%,,-0.9%
Mon Jan 13,09:30,GMT,gbp,GBP Lloyds Employment Confidence,Low,-12,,-14
Mon Jan 13,15:30,GMT,cad,CAD Band of Canda Senior Loan Officer Survey,Low,-10.8,,-7.3
Mon Jan 13,15:30,GMT,cad,CAD Business Outlook Future Sales,Low,29,,31
Mon Jan 13,19:00,GMT,usd,USD Monthly Budget Statement,Medium,$53.2B,$44.0B,-$1.2B
Mon Jan 13,21:00,GMT,nzd,New Zealand NZIER Business Opinion Survey (4Q),Medium,52,,38
Mon Jan 13,21:45,GMT,nzd,NZD NZ Card Spending - Retail (MoM),Medium,0.6%,1.0%,0.6%
Mon Jan 13,21:45,GMT,nzd,NZD NZ Card Spending (MoM),Medium,1.0%,,0.2%
Mon Jan 13,21:45,GMT,nzd,NZD QV House Prices (YoY),Low,10.0%,,9.2%
Mon Jan 13,23:50,GMT,jpy,JPY Bank Lending Banks ex-Trust,Medium,2.6%,,2.4%
Mon Jan 13,23:50,GMT,jpy,JPY Current Account Total (Yen),Low,-¥592.8B,-¥368.9B,-¥127.9B
Mon Jan 13,23:50,GMT,jpy,JPY Adjusted Current Account Total (Yen),Low,-¥46.6B,¥27.9B,-¥59.3B
Mon Jan 13,23:50,GMT,jpy,JPY Bank Lending incl Trusts (YoY),Medium,2.3%,,2.2%
Mon Jan 13,23:50,GMT,jpy,JPY BoP Current Account Balance (YoY),Low,230.1%,74.2%,-130.4%
Mon Jan 13,23:50,GMT,jpy,JPY Trade Balance - BOP Basis (Yen),Medium,-¥1254.3B,-¥1236.4B,-¥1091.9B
Tue Jan 14,04:30,GMT,jpy,JPY Bankruptcies (YoY),Low,-15.73%,,-10.58%
Tue Jan 14,05:00,GMT,jpy,JPY Eco Watchers Survey: Current,Medium,55.7,54.0,53.5
Tue Jan 14,05:00,GMT,jpy,JPY Eco Watchers Survey: Outlook,Medium,54.7,,54.8
Tue Jan 14,07:00,GMT,eur,EUR German Wholesale Price Index (YoY),Low,-1.8%,,-2.2%
Tue Jan 14,07:00,GMT,eur,EUR German Wholesale Price Index (MoM),Low,0.4%,,-0.2%
Tue Jan 14,09:30,GMT,gbp,GBP Producer Price Index Input n.s.a. (YoY),Low,-1.2%,-1.5%,-1.0%
Tue Jan 14,09:30,GMT,gbp,GBP Producer Price Index Output n.s.a. (MoM),Low,0.0%,0.0%,-0.2%
Tue Jan 14,09:30,GMT,gbp,GBP Producer Price Index Output Core n.s.a. (YoY),Medium,1.0%,0.9%,0.7%
Tue Jan 14,09:30,GMT,gbp,GBP Core Consumer Price Index (YoY),High,1.7%,1.8%,1.8%
Tue Jan 14,09:30,GMT,gbp,GBP Retail Price Index,Low,253.4,253.6,252.1
Tue Jan 14,09:30,GMT,gbp,GBP Retail Price Index (MoM),Low,0.5%,0.5%,0.1%
Tue Jan 14,09:30,GMT,gbp,GBP Retail Price Index (YoY),Medium,2.7%,2.7%,2.6%
Tue Jan 14,09:30,GMT,gbp,GBP Retail Price Index Ex Mort Int.Payments (YoY),Low,2.8%,2.8%,2.7%
Tue Jan 14,09:30,GMT,gbp,GBP Producer Price Index Input n.s.a. (MoM),Low,0.1%,-0.2%,-0.7%
Tue Jan 14,09:30,GMT,gbp,GBP Producer Price Index Output n.s.a. (YoY),Low,1.0%,1.0%,0.8%
Tue Jan 14,09:30,GMT,gbp,GBP Producer Price Index Output Core n.s.a. (MoM),Low,0.1%,0.0%,-0.1%
Tue Jan 14,09:30,GMT,gbp,GBP DCLG UK House Prices (YoY),Low,5.4%,5.9%,5.5%
Tue Jan 14,09:30,GMT,gbp,GBP Consumer Price Index (MoM),Medium,0.4%,0.5%,0.1%
Tue Jan 14,09:30,GMT,gbp,GBP Consumer Price Index (YoY),High,2.0%,2.1%,2.1%
Tue Jan 14,10:00,GMT,eur,EUR Euro-Zone Industrial Production w.d.a. (YoY),Medium,3.0%,1.8%,0.5%
Tue Jan 14,10:00,GMT,eur,EUR Euro-Zone Industrial Production s.a. (MoM),Low,1.8%,1.4%,-0.8%
Tue Jan 14,12:30,GMT,usd,USD NFIB Small Business Optimism,Low,93.9,93.1,92.5
Tue Jan 14,13:30,GMT,usd,USD Advance Retail Sales,High,0.2%,0.1%,0.4%
Tue Jan 14,13:30,GMT,usd,USD Retail Sales Less Autos,Medium,0.7%,0.4%,0.1%
Tue Jan 14,13:30,GMT,usd,USD Retail Sales Control Group,Low,0.7%,0.3%,0.2%
Tue Jan 14,13:30,GMT,usd,USD Import Price Index (MoM),Low,0.0%,0.4%,-0.9%
Tue Jan 14,13:30,GMT,usd,USD Retail Sales Ex Auto and Gas,Low,0.6%,0.3%,0.3%
Tue Jan 14,13:30,GMT,usd,USD Import Price Index (YoY),Low,-1.3%,-0.6%,-1.9%
Tue Jan 14,14:00,GMT,cad,CAD Teranet/National Bank HPI (MoM),Low,0.1%,,-0.1%
Tue Jan 14,14:00,GMT,cad,CAD Teranet/National Bank HPI (YoY),Low,3.8%,,3.4%
Tue Jan 14,14:00,GMT,cad,CAD Teranet/National Bank HP Index,Low,159.29,,159.21
Tue Jan 14,15:00,GMT,usd,USD Business Inventories,Low,0.4%,0.3%,0.8%
Tue Jan 14,17:45,GMT,USD,USD Fed's Plosser Speaks on the Economic Outlook in Philadelphia,Low,,,
Tue Jan 14,18:20,GMT,USD,USD Fed's Fisher Speaks on U.S. and Regional Economy in Dallas,Low,,,
Tue Jan 14,21:30,GMT,USD,USD API Weekly Statistical Bulletin,Low,,,
Tue Jan 14,21:45,GMT,nzd,NZD Food Prices (MoM),Low,-0.1%,,-0.2%
Tue Jan 14,23:50,GMT,jpy,JPY Japan Money Stock M2+CD (YoY),Low,4.2%,4.3%,4.4%
Tue Jan 14,23:50,GMT,jpy,JPY Japan Money Stock M3 (YoY),Low,3.4%,3.4%,3.5%
Wed Jan 15,00:30,GMT,aud,AUD New Motor Vehicle Sales (MoM),Low,1.7%,,2.1%
Wed Jan 15,00:30,GMT,aud,AUD New Motor Vehicle Sales (YoY),Low,0.1%,,-0.2%
