Date,Time,Time Zone,Currency,Event,Importance,Actual,Forecast,Previous
Sun Feb 16,21:30,GMT,nzd,NZD Performance of Services Index,Low,58.1,,57.6
Sun Feb 16,21:45,GMT,nzd,NZD Retail Sales Ex Inflation (QoQ),Medium,1.2%,1.7%,0.2%
Sun Feb 16,23:50,GMT,jpy,JPY Gross Domestic Product (QoQ),High,0.3%,0.7%,0.3%
Sun Feb 16,23:50,GMT,jpy,JPY Gross Domestic Product Annualized,High,1.0%,2.8%,1.1%
Sun Feb 16,23:50,GMT,jpy,JPY Nominal Gross Domestic Product (QoQ),Medium,0.4%,0.8%,0.2%
Sun Feb 16,23:50,GMT,jpy,JPY Gross Domestic Product Deflator (YoY),Low,-0.4%,-0.2%,-0.4%
Sun Feb 16,23:50,GMT,jpy,JPY GDP Consumer Spending (QoQ),Low,0.5%,0.8%,0.2%
Sun Feb 16,23:50,GMT,jpy,JPY GDP Business Spending (QoQ),Low,1.3%,1.8%,0.2%
Mon Feb 17,00:01,GMT,gbp,GBP Rightmove House Prices (YoY),Low,6.9%,,6.3%
Mon Feb 17,00:01,GMT,gbp,GBP Rightmove House Prices (MoM),Low,3.3%,,1.0%
Mon Feb 17,00:30,GMT,aud,AUD New Motor Vehicle Sales (MoM),Low,-3.5%,,1.4%
Mon Feb 17,00:30,GMT,aud,AUD New Motor Vehicle Sales (YoY),Low,-3.0%,,-0.1%
Mon Feb 17,04:30,GMT,jpy,JPY Industrial Production (MoM),Low,0.9%,,1.1%
Mon Feb 17,04:30,GMT,jpy,JPY Industrial Production (YoY),Medium,7.1%,,7.3%
Mon Feb 17,04:30,GMT,jpy,JPY Capacity Utilization (MoM),Low,2.2%,,-0.5%
Tue Feb 18,00:30,GMT,aud,AUD RBA releases February meeting minutes,Medium,,,
Tue Feb 18,01:16,GMT,cny,CNY Foreign Direct Investment YoY,Low,16.1%,2.5%,3.3%
Tue Feb 18,02:28,GMT,jpy,JPY BOJ 2014 Monetary Base Target,Medium,¥270T,¥270T,¥270T
Tue Feb 18,02:28,GMT,jpy,JPY Bank of Japan Monetary Policy Statement,Medium,,,
