Date,Time,Time Zone,Currency,Description,Importance,Actual,Forecast,Previous
Sun Mar 18,01:30,GMT,cny,CNY China Property Prices (New Residential YoY),Low,37,,53
Sun Mar 18,21:00,GMT,nzd,NZD Westpac NZ Consumer Confidence,Medium,102.4,,101.3
Sun Mar 18,21:30,GMT,nzd,NZD Performance Services Index,Low,55.5,,53.8
Mon Mar 19,04:00,GMT,USD,USD New York Fed's Dudley to Speak on Long Island,LOW,,,
Mon Mar 19,09:00,GMT,eur,EUR Euro-Zone Current Account s.a. (euros),Low,4.5B,,3.4B
Mon Mar 19,09:00,GMT,eur,EUR Italian Industrial Orders (MoM) ,Low,-7.4%,-3.2%,5.2%
Mon Mar 19,09:00,GMT,eur,EUR Italian Industrial Orders (YoY) ,Low,-5.6%,-2.9%,-4.3%
Mon Mar 19,09:00,GMT,eur,EUR Italian Industrial Sales (YoY) ,Low,-4.4%,,5.4%
Mon Mar 19,09:00,GMT,eur,EUR Italian Industrial Sales (MoM) ,Low,-4.9%,,3.2%
Mon Mar 19,09:00,GMT,eur,EUR Euro-Zone Current Account n.s.a. (euros),Low,-12.3B,,18.3B
Mon Mar 19,10:00,GMT,eur,EUR Euro-Zone Construction Output w.d.a. (YoY),Low,-1.4%,,9.8%
Mon Mar 19,10:00,GMT,eur,EUR Euro-Zone Construction Output s.a. (MoM),Low,-0.8%,,-1.9%
Mon Mar 19,12:30,GMT,cad,CAD Wholesale Sales (MoM),Low,-1.0%,0.3%,1.0%
Mon Mar 19,14:00,GMT,usd,USD NAHB Housing Market Index,Low,28,30,28
Mon Mar 19,23:00,GMT,aud,AUD Conference Board Leading Index,Medium,1.1%,,-0.3%
Tue Mar 20,00:30,GMT,AUD,AUD Reserve Bank Board March Minutes,HIGH,,,
Tue Mar 20,07:00,GMT,eur,EUR German Producer Prices (MoM),Medium,0.4%,0.5%,0.6%
Tue Mar 20,07:00,GMT,eur,EUR German Producer Prices (YoY),High,3.2%,3.2%,3.4%
Tue Mar 20,08:15,GMT,chf,CHF Industrial Production (QoQ),Medium,7.9%,2.6%,-2.0%
Tue Mar 20,08:15,GMT,chf,CHF Industrial Production (YoY),Medium,-1.4%,-2.0%,-1.9%
Tue Mar 20,09:30,GMT,gbp,GBP Consumer Price Index (MoM),Low,0.6%,0.4%,-0.5%
Tue Mar 20,09:30,GMT,gbp,GBP Consumer Price Index (YoY),High,3.4%,3.3%,3.6%
Tue Mar 20,09:30,GMT,gbp,GBP Core Consumer Price Index (YoY),Medium,2.4%,2.3%,2.6%
Tue Mar 20,09:30,GMT,gbp,GBP Retail Price Index,Low,239.9,239.4,238
Tue Mar 20,09:30,GMT,gbp,GBP Retail Price Index (MoM),Low,0.8%,0.6%,-0.6%
Tue Mar 20,09:30,GMT,gbp,GBP Retail Price Index (YoY),Medium,3.7%,3.5%,3.9%
Tue Mar 20,09:30,GMT,gbp,GBP Retail Price Index Ex Mort Int.Payments (YoY),Low,3.8%,3.6%,4.0%
Tue Mar 20,11:00,GMT,gbp,GBP CBI Trends Total Orders,Low,-8,-5,-3
Tue Mar 20,11:00,GMT,gbp,GBP CBI Trends Selling Prices,Low,24,13,10
Tue Mar 20,12:30,GMT,usd,USD Housing Starts (MoM),Low,-1.1%,0.1%,3.7%
Tue Mar 20,12:30,GMT,usd,USD Building Permits,Medium,717K,686K,682K
Tue Mar 20,12:30,GMT,usd,USD Building Permits (MoM),Low,5.1%,0.6%,1.6%
Tue Mar 20,12:30,GMT,usd,USD Housing Starts,Medium,698K,700K,706K
Tue Mar 20,16:45,GMT,USD,USD Fed's Bernanke Gives Lecture at George Washington University,LOW,,,
Tue Mar 20,21:30,GMT,USD,USD Fed's Kocherlakota Speaks in St. Louis, Missouri,LOW,,,
Tue Mar 20,21:45,GMT,nzd,NZD Current Account Balance,Medium,-2.763B,-2.825B,-4.599B
Tue Mar 20,21:45,GMT,nzd,NZD Current Account Deficit-GDP Ratio,Low,-4.0%,-4.0%,-4.3%
Tue Mar 20,21:45,GMT,nzd,NZD Net Migration s.a.,Low,-440,,-650
Tue Mar 20,23:30,GMT,aud,AUD Westpac Leading Index (MoM),Low,0.6%,,0.7%
Wed Mar 21,00:00,GMT,aud,AUD DEWR Internet Skilled Vacancies MoM,Low,-0.2%,,-0.1%
Wed Mar 21,02:00,GMT,nzd,NZD Credit Card Spending s.a. (MoM),Low,0.5%,,0.6%
Wed Mar 21,02:00,GMT,nzd,NZD Credit Card Spending (YoY),Medium,4.0%,,3.1%
Wed Mar 21,04:30,GMT,jpy,JPY All Industry Activity Index (MoM),Medium,-1.0%,-0.7%,1.6%
Wed Mar 21,07:00,GMT,jpy,JPY Convenience Store Sales (YoY),Low,4.8%,,1.7%
Wed Mar 21,08:00,GMT,chf,CHF Money Supply M3 (YoY),Low,6.4%,,7.3%
Wed Mar 21,09:30,GMT,gbp,GBP Bank of England Minutes,High,,,
Wed Mar 21,09:30,GMT,gbp,GBP Public Finances (PSNCR) (Pounds),Medium,-7.8B,-1.0B,-32.0B
Wed Mar 21,09:30,GMT,gbp,GBP PSNB ex Interventions,Medium,15.2B,8.0B,-7.9B
Wed Mar 21,09:30,GMT,gbp,GBP Public Sector Net Borrowing (Pounds),Medium,12.9B,5.0B,-10.2B
Wed Mar 21,11:00,GMT,usd,USD MBA Mortgage Applications,Low,-7.4%,,-2.4%
Wed Mar 21,12:30,GMT,cad,CAD Leading Indicators (MoM),Medium,0.6%,0.6%,0.4%
Wed Mar 21,12:30,GMT,gbp,GBP UK Budget Presented to Parliament,High,,,
Wed Mar 21,14:00,GMT,usd,USD Existing Home Sales,Medium,4.59M,4.61M,4.63M
Wed Mar 21,14:00,GMT,usd,USD Existing Home Sales (MoM),Low,-0.9%,0.9%,5.7%
Wed Mar 21,14:30,GMT,usd,USD DOE U.S. Crude Oil Inventories,Low,-1162K,2200K,1750K
Wed Mar 21,14:30,GMT,usd,USD DOE Cushing OK Crude Inventory,Low,-176K,,2519K
Wed Mar 21,14:30,GMT,usd,USD DOE U.S. Distillate Inventory,Low,1763K,-1500K,-4682K
Wed Mar 21,14:30,GMT,usd,USD DOE U.S. Gasoline Inventories,Low,-1214K,-2000K,-1410K
Wed Mar 21,21:45,GMT,nzd,NZD Gross Domestic Product (QoQ),High,0.3%,0.6%,0.7%
Wed Mar 21,21:45,GMT,nzd,NZD Gross Domestic Product (YoY),High,1.8%,2.2%,1.8%
Wed Mar 21,23:50,GMT,jpy,JPY Merchandise Trade Balance Total (Yen),Medium,¥32.9B,-¥120.0B,-¥1476.9B
Wed Mar 21,23:50,GMT,jpy,JPY Adjusted Merchandise Trade Balance (Yen),Low,-¥313.2B,-¥342.5B,-¥612.8B
Wed Mar 21,23:50,GMT,jpy,JPY Merchandise Trade Exports (YoY),Low,-2.7,-6.5,-9.3
Wed Mar 21,23:50,GMT,jpy,JPY Merchandise Trade Imports (YoY),Low,9.2,8.2,9.9
Thu Mar 22,02:30,GMT,cny,CNY HSBC Flash China Manufacturing PMI,Medium,48.1,,49.6
Thu Mar 22,05:00,GMT,jpy,JPY Supermarket Sales (YoY),Low,0.3%,,-1.2%
Thu Mar 22,07:00,GMT,chf,CHF Trade Balance (Swiss franc),Medium,2.68B,1.80B,1.50B
Thu Mar 22,07:00,GMT,chf,CHF Exports (MoM),Low,9.2%,0.3%,-10.4%
Thu Mar 22,07:00,GMT,chf,CHF Imports (MoM),Low,-12.3%,,5.5%
Thu Mar 22,08:00,GMT,eur,EUR French Purchasing Manager Index Manufacturing,Low,47.6,50.2,50
Thu Mar 22,08:00,GMT,eur,EUR French Purchasing Manager Index Services,Low,50.0,50.3,50
Thu Mar 22,08:30,GMT,eur,EUR German Purchasing Manager Index Manufacturing,Medium,48.1,51,50.2
Thu Mar 22,08:30,GMT,eur,EUR German Purchasing Manager Index Services,Medium,51.8,53.1,52.8
Thu Mar 22,09:00,GMT,eur,EUR Euro-Zone Purchasing Manager Index Composite,Medium,48.7,49.6,49.3
Thu Mar 22,09:00,GMT,eur,EUR Euro-Zone Purchasing Manager Index Manufacturing,Medium,47.7,49.5,49
Thu Mar 22,09:00,GMT,eur,EUR Euro-Zone Purchasing Manager Index Services,Medium,48.7,49.2,48.8
Thu Mar 22,09:30,GMT,gbp,GBP Retail Sales (MoM),Low,-0.8%,-0.5%,0.6%
