currency,strength,sd
AUD,2.555465,0.943558532432626
JPY,0.335363,0.943558532432626
CAD,0.254876,0.943558532432626
CHF,0,0.943558532432626
CNY,0,0.943558532432626
EUR,-0.027535,0.943558532432626
USD,-0.111452,0.943558532432626
GBP,-0.528196,0.943558532432626
