Date,Time,Time Zone,Currency,Description,Importance,Actual,Forecast,Previous
Sun Dec 18,21:00,GMT,nzd,NZD Westpac NZ Consumer Confidence,Medium,101.3,,112.0
Sun Dec 18,21:30,GMT,nzd,NZD Performance Services Index,Low,56.6,,51.0
Mon Dec 19,00:00,GMT,nzd,NZD NBNZ Activity Outlook,Medium,25.7,,28.8
Mon Dec 19,00:00,GMT,nzd,NZD NBNZ Business Confidence,Medium,16.9,,18.3
Mon Dec 19,00:01,GMT,gbp,GBP Rightmove House Prices (MoM),Low,-2.7%,,-3.1%
Mon Dec 19,00:01,GMT,gbp,GBP Rightmove House Prices (YoY),Medium,1.5%,,1.2%
Mon Dec 19,05:30,GMT,jpy,JPY Nationwide Department Store Sales (YoY),Low,-1.9%,,-0.5%
Mon Dec 19,05:30,GMT,jpy,JPY Tokyo Department Store Sales (YoY),Low,-3.0%,,-1.9%
Mon Dec 19,09:00,GMT,eur,EUR Euro-Zone Current Account n.s.a. (euros),Low,-1.7B,,-0.7B
Mon Dec 19,09:00,GMT,eur,EUR Italian Trade Balance (Total) (euros),Low,-1077m,,-1881M
Mon Dec 19,09:00,GMT,eur,EUR Euro-Zone Current Account s.a. (euros),Low,-7.5b,,2.2B
Mon Dec 19,09:00,GMT,eur,EUR Italian Trade Balance Eu (euros),Low,-217m,,-49M
Mon Dec 19,10:00,GMT,eur,EUR Euro-Zone Construction Output s.a. (MoM),Low,-1.4%,,-1.5%
Mon Dec 19,10:00,GMT,eur,EUR Euro-Zone Construction Output w.d.a. (YoY),Low,-2.8%,,0.1%
Mon Dec 19,13:30,GMT,cad,CAD Wholesale Sales (MoM),Low,0.9%,0.1%,0.5%
Mon Dec 19,15:00,GMT,usd,USD NAHB Housing Market Index,Low,21,20,19
Mon Dec 19,17:30,GMT,USD,USD Fed's Lacker, Bank of America's Moynihan to Speak in Charlotte,LOW,,,
Mon Dec 19,23:00,GMT,aud,AUD Conference Board Leading Index,Medium,0.6%,,0.6%
Tue Dec 20,00:01,GMT,gbp,GBP Nationwide Consumer Confidence,Medium,40,36,36
Tue Dec 20,00:30,GMT,aud,AUD Reserve Bank's Board December Minutes,High,,,
Tue Dec 20,04:30,GMT,jpy,JPY All Industry Activity Index (MoM),Medium,0.8%,1.0%,-0.7%
Tue Dec 20,05:00,GMT,jpy,JPY Leading Index,Medium,92.0,,91.5
Tue Dec 20,05:00,GMT,jpy,JPY Coincident Index,Low,91.4,,90.3
Tue Dec 20,07:00,GMT,eur,EUR German GfK Consumer Confidence Survey,Medium,5.6,5.5,5.6
Tue Dec 20,07:00,GMT,eur,EUR German Producer Prices (YoY),High,5.2%,5.2%,5.3%
Tue Dec 20,07:00,GMT,jpy,JPY Convenience Store Sales (YoY),Low,7.5%,,14.1%
Tue Dec 20,07:00,GMT,eur,EUR German Producer Prices (MoM),Medium,0.1%,0.1%,0.2%
Tue Dec 20,07:00,GMT,chf,CHF Trade Balance (Swiss franc),Medium,3.00B,2.00B,2.16B
Tue Dec 20,07:00,GMT,chf,CHF Exports (MoM),Low,-6.8%,,1.3%
Tue Dec 20,07:00,GMT,chf,CHF Imports (MoM),Low,-7.7%,,1.4%
Tue Dec 20,09:00,GMT,eur,EUR German IFO - Business Climate,Medium,107.2,106,106.6
