Date,Time,Time Zone,Currency,Event,Importance,Actual,Forecast,Previous
Sun Jun 15,22:00,GMT,nzd,NZD Westpac Consumer Confidence ,Low,121.2,,121.7
Sun Jun 15,22:30,GMT,nzd,NZD Performance Services Index,Low,54.2,,58.5
Sun Jun 15,22:50,GMT,nzd,NZD REINZ House Price Index (YoY),Low,-14.8%,,-20.2%
Sun Jun 15,22:50,GMT,nzd,NZD REINZ House Price Index (MoM),Low,-1.2%,,0.1%
Sun Jun 15,22:50,GMT,nzd,NZD REINZ House Price Index ,Low,3925.1,,3971.2
Sun Jun 15,23:01,GMT,gbp,GBP Rightmove House Prices (MoM),Low,0.1%,,3.6%
Sun Jun 15,23:01,GMT,gbp,GBP Rightmove House Prices (YoY),Low,7.7%,,8.9%
Mon Jun 16,09:00,GMT,eur,EUR Euro-Zone Consumer Price Index (MoM),High,-0.1%,-0.1%,0.2%
Mon Jun 16,09:00,GMT,eur,EUR Euro-Zone Consumer Price Index (YoY),High,0.5%,0.5%,0.5%
Mon Jun 16,09:00,GMT,eur,EUR Euro-Zone Consumer Price Index - Core (YoY),High,0.7%,0.7%,0.7%
Mon Jun 16,12:30,GMT,cad,CAD International Securities Transactions (Canadian dollar),Low,10.13B,,-1.41B
Mon Jun 16,12:30,GMT,usd,USD Empire Manufacturing,Low,19.2B,15.00,19.01
Mon Jun 16,13:00,GMT,cad,CAD Existing Home Sales (MoM),Low,5.9%,,2.7%
Mon Jun 16,13:00,GMT,usd,USD Net Long-term TIC Flows,Low,-$24.2B,$37.5B,$4.1B
Mon Jun 16,13:00,GMT,usd,USD Total Net TIC Flows,Low,$136.8B,,-$122.3B
Mon Jun 16,13:15,GMT,usd,USD Capacity Utilization,Medium,79.1%,78.9%,78.9%
Mon Jun 16,13:15,GMT,usd,USD Manufacturing (SIC) Production,Medium,0.6%,0.6%,-0.1%
Mon Jun 16,13:15,GMT,usd,USD Industrial Production,Medium,0.6%,0.5%,-0.3%
Mon Jun 16,14:00,GMT,usd,USD NAHB Housing Market Index,Low,49,47,45
Mon Jun 16,23:30,GMT,aud,AUD ANZ Roy Morgan Weekly Consumer Confidence Index,Low,103.2,,102.2
Tue Jun 17,,,usd,USD Federal Reserve FOMC Meeting ,High,,,
Tue Jun 17,01:30,GMT,aud,AUD New Motor Vehicle Sales (MoM),Low,0.3%,,0.1%
Tue Jun 17,01:30,GMT,aud,AUD New Motor Vehicle Sales (YoY),Low,-2.0%,,-1.8%
Tue Jun 17,01:30,GMT,aud,AUD RBA Releases Minutes of June Policy Meeting,High,,,
Tue Jun 17,02:00,GMT,cny,CNY Foreign Direct Investment (YoY),Medium,-6.7%,3.2%,3.4%
Tue Jun 17,04:00,GMT,jpy,JPY Tokyo Condominium Sales (YoY),Low,-13.4%,,-39.6%
Tue Jun 17,05:45,GMT,CHF,CHF SECO June 2014 Economic Forecasts,Medium,,,
Tue Jun 17,06:00,GMT,eur,EUR EU 25 New Car Registrations,Low,4.5%,,4.6%
Tue Jun 17,06:00,GMT,jpy,JPY Machine Tool Orders (YoY),Low,24.1%,,24.1%
Tue Jun 17,07:15,GMT,chf,CHF Producer & Import Prices (YoY),Low,-0.8%,-0.9%,-1.2%
Tue Jun 17,07:15,GMT,chf,CHF Producer & Import Prices (MoM),Low,0.1%,-0.1%,-0.3%
Tue Jun 17,08:30,GMT,gbp,GBP Core Consumer Price Index (YoY),High,1.6%,1.7%,2.0%
Tue Jun 17,08:30,GMT,gbp,GBP Retail Price Index,Medium,255.9,256.2,255.7
Tue Jun 17,08:30,GMT,gbp,GBP Retail Price Index (MoM),Medium,0.1%,0.2%,0.4%
Tue Jun 17,08:30,GMT,gbp,GBP Retail Price Index Ex Mort Int.Payments (YoY),Medium,2.5%,2.6%,2.6%
Tue Jun 17,08:30,GMT,gbp,GBP Producer Price Index Input n.s.a. (MoM),Low,-0.9%,-0.1%,-0.9%
Tue Jun 17,08:30,GMT,gbp,GBP Producer Price Index Output n.s.a. (MoM),Low,-0.1%,0.1%,0.1%
Tue Jun 17,08:30,GMT,gbp,GBP Producer Price Index Output n.s.a. (YoY),Low,0.5%,0.7%,0.6%
