symbol
AGRO
ALUA
APBR
APSA
AUSO
BHIP
BMA
BOLT
BPAT
BRIO
BRIO6
CADO
CAPU
CAPX
CARC
CECO2
CELU
CGPA2
COLO
COME
CRES
CTIO
DGCU2
DYCA
EDN
ERAR
ESME
ESTR
FERR
FIPL
FRAN
GARO
GBAN
GCLA
GGAL
GRIM
INAG
INDU
INTR
INVJ
IRSA
JMIN
LEDE
LONG
METR
MIRG
MOLI
MORI
OEST
PAMP
PATA
PATY
PESA
PETR
POLL
PSUR
REP
RIGO
ROSE
SAMI
SEMI
STD
TECO2
TEF
TGLT
TGNO4
TGSU2
TRAN
TS
YPFD
