Date,Time,Time Zone,Currency,Description,Importance,Actual,Forecast,Previous
Sun Apr 15,12:00,GMT,nzd,NZD REINZ Housing Price Index,Low,3343.5,,3280.5
Sun Apr 15,12:00,GMT,nzd,NZD REINZ Housing Price Index (MoM),Low,1.9%,,0.8%
Sun Apr 15,12:00,GMT,nzd,NZD REINZ House Sales (YoY),Medium,25.3%,,37.0%
Sun Apr 15,22:30,GMT,nzd,NZD Performance Services Index,Low,53.9,,55.8
Sun Apr 15,22:45,GMT,nzd,NZD Food Prices (MoM),Low,-1.0%,,0.6%
Sun Apr 15,23:01,GMT,gbp,GBP Rightmove House Prices (MoM),Low,2.9%,,1.6%
Sun Apr 15,23:01,GMT,gbp,GBP Rightmove House Prices (YoY),Medium,3.4%,,2.2%
Mon Apr 16,,,eur,EUR ECB Calls for Bids in 7-Day Main Refinancing Tender,Medium,,,
Mon Apr 16,05:30,GMT,jpy,JPY Nationwide Department Store Sales (YoY),Low,14.1%,,-0.4%
Mon Apr 16,05:30,GMT,jpy,JPY Tokyo Department Store Sales (YoY),Low,26.7%,,-1.8%
Mon Apr 16,07:15,GMT,chf,CHF Producer & Import Prices (MoM),Low,0.3%,0.5%,0.8%
Mon Apr 16,07:15,GMT,chf,CHF Producer & Import Prices (YoY),Low,-2.0%,-1.8%,-1.9%
Mon Apr 16,08:00,GMT,eur,EUR Italian Trade Balance (Total) ,Low,-1113M,-1337M,-4346M
Mon Apr 16,08:00,GMT,eur,EUR Italian Trade Balance (Eurozone) ,Low,439M,,760M
Mon Apr 16,08:30,GMT,eur,EUR Italian General Government Debt,Low,1928.2B,,1935.8B
Mon Apr 16,09:00,GMT,eur,EUR Euro-Zone Trade Balance s.a. (euros),Low,3.7B,5.5B,5.3B
Mon Apr 16,09:00,GMT,eur,EUR Euro-Zone Trade Balance (euros),Low,2.8B,3.0B,-7.9B
Mon Apr 16,12:30,GMT,cad,CAD International Securities Transactions (Canadian dollar),Low,12.49B,4.00B,-4.28B
Mon Apr 16,12:30,GMT,usd,USD Empire Manufacturing,Low,6.56,18,20.21
Mon Apr 16,12:30,GMT,usd,USD Advance Retail Sales,High,0.8%,0.3%,1.0%
Mon Apr 16,12:30,GMT,usd,USD Retail Sales Less Autos,Medium,0.8%,0.6%,0.9%
Mon Apr 16,12:30,GMT,usd,USD Retail Sales Ex Auto & Gas,Medium,0.7%,0.5%,0.5%
Mon Apr 16,13:00,GMT,usd,USD Total Net TIC Flows,Low,$107.7B,$30.0B,$3.1B
Mon Apr 16,13:00,GMT,usd,USD Net Long-term TIC Flows,Medium,$10.1B,$42.5B,$102.4B
Mon Apr 16,13:30,GMT,eur,EUR ECB Announces Bond Purchase,Medium,,,
Mon Apr 16,14:00,GMT,usd,USD Business Inventories,Medium,0.6%,0.6%,0.8%
Mon Apr 16,14:00,GMT,usd,USD NAHB Housing Market Index,Low,25,28,28
Mon Apr 16,19:30,GMT,usd,USD Fed's Bullard Speaks on Economy, Monetary Policy in St. Louis,Low,,,
