Date,Time,Time Zone,Currency,Description,Importance,Actual,Forecast,Previous
Sun Jan 15,,,nzd,NZD REINZ Housing Price Index (MoM),Low,-0.1%,,1.1%
Sun Jan 15,,,nzd,NZD REINZ Housing Price Index,Low,3301.4,,3304.3
Sun Jan 15,,,nzd,NZD REINZ House Sales (YoY),Medium,20.9%,,16.9%
Sun Jan 15,21:45,GMT,nzd,NZD Food Prices (MoM),Low,0.2%,,0.2%
Sun Jan 15,23:30,GMT,aud,AUD TD Securities Inflation (YoY),Medium,2.4%,,2.1%
Sun Jan 15,23:50,GMT,jpy,JPY Machine Orders (MoM),Medium,14.8%,5.1%,-6.9%
Sun Jan 15,23:50,GMT,jpy,JPY Machine Orders (YoY),Medium,12.5%,3.8%,1.5%
Sun Jan 15,23:50,GMT,jpy,JPY Domestic Corporate Goods Price Index (MoM),Low,0.1%,-0.1%,0.0%
Sun Jan 15,23:50,GMT,jpy,JPY Domestic Corporate Goods Price Index (YoY),Low,1.3%,1.2%,1.6%
Mon Jan 16,00:01,GMT,gbp,GBP Rightmove House Prices (MoM),Low,-0.8%,,-2.7%
Mon Jan 16,00:01,GMT,gbp,GBP Rightmove House Prices (YoY),Medium,0.4%,,1.5%
Mon Jan 16,00:30,GMT,aud,AUD Home Loans,Medium,1.4%,1.0%,0.8%
Mon Jan 16,00:30,GMT,aud,AUD Investment Lending,Low,1.8%,,-5.0%
Mon Jan 16,00:30,GMT,aud,AUD Value of Loans (MoM),Low,2.2%,,-0.5%
Mon Jan 16,05:00,GMT,aud,AUD Owner-Occupied Home Loan Value (MoM),Low,2.2%,,-0.5%
Mon Jan 16,08:15,GMT,chf,CHF Producer & Import Prices (MoM),Low,0.3%,-0.1%,-0.8%
Mon Jan 16,08:15,GMT,chf,CHF Producer & Import Prices (YoY),Low,-2.3%,-2.8%,-2.4%
Mon Jan 16,09:00,GMT,eur,EUR Italian Consumer Price Index (NIC incl. tobacco) (MoM),Low,0.4%,0.4%,0.4%
Mon Jan 16,09:00,GMT,eur,EUR Italian Consumer Price Index - EU Harmonized (MoM),Low,0.3%,0.3%,0.3%
Mon Jan 16,09:00,GMT,eur,EUR Italian Consumer Price Index - EU Harmonized (YoY),Low,3.7%,3.7%,3.7%
