Date,Time,Time Zone,Currency,Description,Importance,Actual,Forecast,Previous
Wed Feb 29,00:30,GMT,aud,AUD Private Sector Credit (YoY),Medium,3.5%,3.6%,3.5%
Wed Feb 29,00:30,GMT,aud,AUD Retail Sales s.a. (MoM),Medium,0.3%,0.3%,-0.1%
Wed Feb 29,02:00,GMT,nzd,NZD Money Supply M3 (YoY),Low,5.4%,,5.9%
Wed Feb 29,04:00,GMT,jpy,JPY Vehicle Production (YoY),Low,18.6%,,13.4%
Wed Feb 29,05:00,GMT,jpy,JPY Construction Orders (YoY),Low,24.6%,,1.5%
Wed Feb 29,05:00,GMT,jpy,JPY Annualized Housing Starts,Medium,0.822M,0.808M,0.783M
Wed Feb 29,05:00,GMT,jpy,JPY Housing Starts (YoY),Medium,-1.1%,-3.3%,-7.3%
Wed Feb 29,07:00,GMT,eur,EUR German Import Price Index (MoM),Low,1.3%,0.8%,0.3%
Wed Feb 29,07:00,GMT,eur,EUR German Import Price Index (YoY),Low,3.7%,3.2%,3.9%
Wed Feb 29,08:00,GMT,chf,CHF KOF Swiss Leading Indicator,Medium,-0.12,-0.10,-0.15
Wed Feb 29,08:55,GMT,eur,EUR German Unemployment Change,High,0K,-5K,-26K
Wed Feb 29,08:55,GMT,eur,EUR German Unemployment Rate s.a.,Medium,6.8%,6.7%,6.8%
Wed Feb 29,09:30,GMT,gbp,GBP Net Consumer Credit,Medium,0.1B,0.2B,0.0B
Wed Feb 29,09:30,GMT,gbp,GBP Net Lending Sec. on Dwellings,Medium,1.6B,1.0B,1.0B
Wed Feb 29,09:30,GMT,gbp,GBP Mortgage Approvals,Medium,58.7K,54.0K,55.0K
Wed Feb 29,09:30,GMT,gbp,GBP M4 Money Supply (MoM),Low,1.6%,,-1.4%
Wed Feb 29,09:30,GMT,gbp,GBP M4 Money Supply (YoY),Low,-1.8%,,-2.5%
Wed Feb 29,09:30,GMT,gbp,GBP M4 Ex IOFCs 3M Annualised,Low,4.2%,,-0.9%
Wed Feb 29,10:00,GMT,eur,EUR Euro-Zone Consumer Price Index - Core (YoY),High,1.5%,1.7%,1.6%
Wed Feb 29,10:00,GMT,eur,EUR Euro-Zone Consumer Price Index (MoM),Medium,-0.8%,-0.8%,0.3%
Wed Feb 29,10:00,GMT,eur,EUR Euro-Zone Consumer Price Index (YoY),High,2.6%,2.7%,2.7%
Wed Feb 29,10:00,GMT,chf,CHF CPI EU Harmonized (MoM) ,Medium,-0.7%,-0.3%,0.3%
Wed Feb 29,10:00,GMT,chf,CHF CPI EU Harmonized (YoY) ,High,-0.9%,-0.7%,-0.4%
Wed Feb 29,10:15,GMT,eur,EUR ECB LTRO 3 Month and 3 Year Allotment Announcements,High,,,
Wed Feb 29,12:00,GMT,usd,USD MBA Mortgage Applications,Low,-0.3%,,-4.5%
Wed Feb 29,13:30,GMT,usd,USD Gross Domestic Product (Annualized),High,3.0%,2.8%,2.8%
Wed Feb 29,13:30,GMT,usd,USD Personal Consumption,Medium,2.1%,1.9%,2.0%
Wed Feb 29,13:30,GMT,usd,USD Gross Domestic Product Price Index,High,0.9%,0.4%,0.4%
Wed Feb 29,13:30,GMT,usd,USD Core Personal Consumption Expenditure (QoQ),High,1.3%,1.1%,1.1%
Wed Feb 29,14:00,GMT,cad,CAD Teranet/National Bank HPI (MoM),Low,-0.2%,-0.2%,-0.2%
Wed Feb 29,14:00,GMT,cad,CAD Teranet/National Bank HPI (YoY),Low,6.8%,,7.1%
Wed Feb 29,14:00,GMT,cad,CAD Teranet/National Bank HP Index,Low,148.87,,149.11
Wed Feb 29,14:30,GMT,usd,USD Fed's Fisher Speaks on economy in Mexico City,Low,,,
Wed Feb 29,14:45,GMT,usd,USD Chicago Purchasing Manager,Low,64.0,61.8,60.2
Wed Feb 29,15:00,GMT,usd,USD Fed's Bernanke Delivers Semi-Annual Monetary Policy Report,Medium,,,
Wed Feb 29,15:00,GMT,usd,USD NAPM-Milwaukee,Low,58.6,58.8,58.4
Wed Feb 29,15:30,GMT,usd,USD DOE U.S. Crude Oil Inventories,Low,4160K,1100K,1633K
Wed Feb 29,15:30,GMT,usd,USD DOE Cushing OK Crude Inventory,Low,1648K,,-315K
Wed Feb 29,15:30,GMT,usd,USD DOE U.S. Distillate Inventory,Low,-2069K,-750K,-208K
Wed Feb 29,15:30,GMT,usd,USD DOE U.S. Gasoline Inventories,Low,-1600K,-425K,-649K
Wed Feb 29,18:00,GMT,usd,USD Fed's Plosser Speaks on Economy in New York,Low,,,
Wed Feb 29,19:00,GMT,USD,USD Fed Releases Beige Book Economic Survey,Medium,,,
Wed Feb 29,21:45,GMT,nzd,NZD Terms of Trade Index (QoQ),Medium,-1.4%,-1.9%,-0.6%
Wed Feb 29,22:30,GMT,aud,AUD AiG Performance of Manufacturing Index,Medium,51.3,,51.6
Wed Feb 29,23:50,GMT,jpy,JPY Loans & Discounts Corp (YoY),Low,0.0%,,0.0%
Wed Feb 29,23:50,GMT,jpy,JPY Capital Spending excl Software,Medium,4.9%,-7.4%,-11.0%
Wed Feb 29,23:50,GMT,jpy,JPY Capital Spending,Medium,7.6%,-6.5%,-9.8%
Thu Mar 01,,,JPY,JPY Official Reserve Assets,LOW,,,$1306.7B
Thu Mar 01,00:30,GMT,aud,AUD Private Capital Expenditure,Low,-0.3%,3.8%,14.6%
Thu Mar 01,01:00,GMT,cny,CNY PMI Manufacturing,High,51.0,50.8,50.5
Thu Mar 01,02:30,GMT,cny,CNY HSBC Manufacturing PMI,Medium,49.6,,48.8
Thu Mar 01,05:00,GMT,jpy,JPY Vehicle Sales (YoY),Low,31.9%,,40.7%
Thu Mar 01,05:30,GMT,aud,AUD RBA Commodity Price Index,Low,98.1,,99.4
Thu Mar 01,05:30,GMT,aud,AUD RBA Commodity Index SDR (YoY),Low,3.5%,,6.0%
Thu Mar 01,06:30,GMT,eur,French ILO Mainland Unemployment Rate,Low,9.4%,9.6%,9.3%
Thu Mar 01,06:30,GMT,eur,French ILO Unemployment Rate,Low,9.8%,,9.7%
Thu Mar 01,06:30,GMT,eur,French ILO Mainland Unemployment Change,Low,50K,,42K
Thu Mar 01,06:45,GMT,chf,CHF Gross Domestic Product (QoQ),Medium,0.1%,-0.1%,0.3%
