Date,Time,Time Zone,Currency,Event,Importance,Actual,Forecast,Previous
Sun Oct 14,,,JPY,"JPY IMF, World Bank Group Annual and Spring Meetings",High,,,
Sun Oct 14,21:30,GMT,nzd,NZD Performance Services Index,Low,49.6,,50.0
Sun Oct 14,23:01,GMT,gbp,GBP Rightmove House Prices (MoM),Low,3.5%,,-0.6%
Sun Oct 14,23:01,GMT,gbp,GBP Rightmove House Prices (YoY),Low,1.5%,,0.7%
Mon Oct 15,00:00,GMT,aud,AUD Owner-Occupied Home Loan Values (MoM),Low,1.3%,,-0.9%
Mon Oct 15,00:30,GMT,aud,AUD New Motor Vehicle Sales (YoY),Low,14.4%,,6.6%
Mon Oct 15,00:30,GMT,aud,AUD Investment Lending,Low,-0.8%,,-1.6%
Mon Oct 15,00:30,GMT,aud,AUD New Motor Vehicle Sales (MoM),Low,4.7%,,4.3%
Mon Oct 15,00:30,GMT,aud,AUD Home Loans,Medium,1.8%,1.5%,-0.7%
Mon Oct 15,01:20,GMT,JPY,JPY BOJ Deputy Governor Yamaguchi Speech,Low,,,
Mon Oct 15,01:30,GMT,cny,CNY Consumer Price Index (YoY),High,1.9%,1.9%,2.0%
Mon Oct 15,01:30,GMT,cny,CNY Producer Price Index (YoY),Medium,-3.6%,-3.5%,-3.5%
Mon Oct 15,04:30,GMT,jpy,JPY Industrial Production (MoM),Low,-1.6%,,-1.3%
Mon Oct 15,04:30,GMT,jpy,JPY Capacity Utilization (MoM),Low,-2.6%,,0.5%
Mon Oct 15,04:30,GMT,jpy,JPY Industrial Production (YoY),Medium,-4.6%,,-4.3%
Mon Oct 15,07:15,GMT,chf,CHF Producer & Import Prices (YoY),Low,0.3%,0.1%,-0.1%
Mon Oct 15,07:15,GMT,chf,CHF Producer & Import Prices (MoM),Low,0.3%,0.2%,0.5%
Mon Oct 15,08:00,GMT,eur,EUR EU's Barroso Speaks at European Parliament,Medium,,,
Mon Oct 15,08:30,GMT,eur,EUR Italian General Government Debt (€),Low,1975.6B,,1977.5B
Mon Oct 15,12:00,GMT,usd,USD Fed's Dudley Speaks at NABE in New York,Low,,,
Mon Oct 15,12:30,GMT,usd,USD Advance Retail Sales,High,1.1%,0.8%,1.2%
Mon Oct 15,12:30,GMT,usd,USD Retail Sales Ex Auto & Gas,Medium,0.9%,0.4%,0.3%
Mon Oct 15,12:30,GMT,usd,USD Empire Manufacturing,Low,-6.16,-4.00,-10.41
Mon Oct 15,12:30,GMT,usd,USD Retail Sales Less Autos,Medium,1.1%,0.7%,1.0%
Mon Oct 15,12:30,GMT,usd,"USD Retail Sales ""Control Group""",Low,0.9%,0.4%,0.1%
Mon Oct 15,13:00,GMT,cad,CAD Existing Home Sales (MoM),Medium,2.5%,-5.0%,-5.8%
Mon Oct 15,14:00,GMT,usd,USD Business Inventories,Medium,0.6%,0.5%,0.8%
Mon Oct 15,14:30,GMT,cad,CAD Business Outlook Future Sales,Medium,0.00,13.25,15
Mon Oct 15,14:30,GMT,cad,CAD Bank of Canada Senior Loan Officer Survey,Medium,-15.8,-12.0,-10.8
Mon Oct 15,16:45,GMT,usd,"USD Fed's Lacker Speaks on U.S. Economy in Roanoke, Virginia",Low,,,
Mon Oct 15,17:10,GMT,usd,Fed's Bullard Speaks on U.S. Economy in St.Louis,Low,,,
Mon Oct 15,21:45,GMT,nzd,NZD Consumer Prices Index (QoQ),Medium,0.3%,0.5%,0.3%
Mon Oct 15,21:45,GMT,nzd,NZD Consumer Prices Index (YoY),High,0.8%,1.0%,1.0%
Tue Oct 16,00:30,GMT,AUD,AUD Reserve Bank Board - October Minutes,High,,,
Tue Oct 16,00:30,GMT,USD,Fed's Williams Speaks on the Economy in San Francisco,Low,,,
Tue Oct 16,04:00,GMT,jpy,JPY Tokyo Condominium Sales (YoY),Low,-9.3%,,17.3%
Tue Oct 16,06:00,GMT,eur,EUR EU 27 New Car Registrations,Low,-10.8%,,-8.9%
Tue Oct 16,08:00,GMT,eur,EUR Italian Trade Balance Eu (€),Low,374M,,2674M
Tue Oct 16,08:00,GMT,eur,EUR Italian Trade Balance (Total) (€),Low,-598M,,4510M
Tue Oct 16,08:30,GMT,eur,EUR Spain to Sell 364-Day and 544-Day Bills,Medium,,,
Tue Oct 16,08:30,GMT,gbp,GBP ONS House Price (YoY),Low,1.8%,1.9%,2.0%
Tue Oct 16,08:30,GMT,gbp,GBP Producer Price Index Output n.s.a. (YoY),Medium,2.5%,2.2%,2.3%
Tue Oct 16,08:30,GMT,gbp,GBP Producer Price Index Output Core n.s.a. (YoY),Medium,1.2%,1.0%,1.2%
Tue Oct 16,08:30,GMT,gbp,GBP Consumer Price Index (YoY),High,2.2%,2.2%,2.5%
