cross1,cross2,rel
CADCHF,GBPNZD,-0.19303482
CADJPY,EURNZD,-0.1855002393
CHFJPY,GBPNZD,-0.1753936781
CADEUR,GBPNZD,-0.1743485041
EURJPY,GBPNZD,-0.1727051705
CADEUR,CHFGBP,-0.1699620447
CADCHF,CHFEUR,-0.1678528812
CHFNZD,EURJPY,-0.1621959839
AUDCAD,CHFNZD,-0.1577919621
CADUSD,NZDUSD,-0.1543068427
AUDCAD,GBPUSD,-0.1414925741
CHFGBP,GBPUSD,-0.1395542959
CADJPY,CHFGBP,-0.1325078032
CADUSD,EURNZD,-0.1219585606
AUDJPY,CHFGBP,-0.117118341
GBPNZD,GBPJPY,-0.1080879095
CHFUSD,JPYNZD,-0.1059732967
AUDCAD,EURGBP,-0.1037635209
EURNZD,GBPJPY,-0.0960430299
AUDGBP,CHFNZD,-0.0944791812
CADGBP,EURNZD,-0.0933145032
AUDEUR,CHFGBP,-0.0927131192
EURGBP,JPYUSD,-0.0882243467
CHFNZD,CHFJPY,-0.0870670865
EURGBP,JPYNZD,-0.0762084095
CHFGBP,EURJPY,-0.050628849
EURGBP,NZDUSD,-0.0415052242
CADGBP,CHFNZD,-0.0260221556
AUDJPY,CHFUSD,-0.0204308912
AUDCAD,CHFUSD,-0.0180504886
AUDUSD,CHFNZD,-0.016039428
CADJPY,CHFUSD,-0.0120832562
EURGBP,GBPJPY,-0.0076150767
AUDUSD,CHFUSD,-0.0071184025
AUDUSD,EURGBP,-0.0061503361
AUDUSD,NZDUSD,8.59E-004
CADUSD,CHFUSD,0.0013707103
AUDNZD,GBPNZD,0.0027987114
AUDNZD,EURGBP,0.0040099746
AUDCHF,CHFEUR,0.0046137302
CHFEUR,EURGBP,0.0046578771
AUDNZD,EURNZD,0.0053385408
EURNZD,GBPUSD,0.0053774611
CHFUSD,JPYUSD,0.0098129097
EURNZD,EURJPY,0.0303148581
CHFEUR,EURNZD,0.0329904805
CHFJPY,CHFGBP,0.0370887251
CHFEUR,GBPNZD,0.0376495336
CHFJPY,EURNZD,0.0378068048
EURUSD,GBPNZD,0.0538825859
CHFUSD,GBPNZD,0.0559619257
CHFGBP,NZDUSD,0.0593873674
CADNZD,EURGBP,0.0743229488
CADUSD,EURGBP,0.0815606615
AUDCAD,CHFGBP,0.0891352438
CHFNZD,GBPUSD,0.1097310542
CADUSD,CHFNZD,0.1135342044
AUDGBP,EURGBP,0.1214569519
AUDJPY,GBPUSD,0.1275056355
EURNZD,JPYUSD,0.1295708086
AUDJPY,EURGBP,0.1337162578
CHFUSD,GBPJPY,0.1386847179
AUDNZD,CHFNZD,0.1519579099
CHFGBP,JPYNZD,0.1520378068
CHFEUR,NZDUSD,0.1537707465
