Date,Time,Time Zone,Currency,Event,Importance,Actual,Forecast,Previous
Sun Nov 17,21:30,GMT,nzd,NZD Performance Services Index,Medium,58.2,,56.4
Sun Nov 17,23:50,GMT,jpy,JPY Housing Loans (YoY),Medium,3.0%,,3.2%
Mon Nov 18,00:01,GMT,gbp,GBP Rightmove House Prices (MoM),Low,-2.4%,,2.8%
Mon Nov 18,00:01,GMT,gbp,GBP Rightmove House Prices (YoY),Low,4.0%,,3.8%
Mon Nov 18,01:30,GMT,CNY,CNY China October Property Prices,Medium,,,
Mon Nov 18,04:00,GMT,jpy,JPY Tokyo Condominium Sales (YoY),Low,21.4%,,77.3%
Mon Nov 18,09:00,GMT,eur,EUR Euro-Zone Current Account s.a. (euros),Low,13.7B,,17.9B
Mon Nov 18,09:00,GMT,eur,EUR Euro-Zone Current Account n.s.a. (euros),Low,14.0B,,12.4B
Mon Nov 18,10:00,GMT,eur,EUR Euro-Zone Trade Balance s.a. (euros),Low,14.3B,13.0B,12.3B
Mon Nov 18,10:00,GMT,eur,EUR Euro-Zone Trade Balance (euros),Low,13.1B,14.5B,6.9B
Mon Nov 18,13:30,GMT,cad,CAD International Securities Transactions (Canadian dollar),Low,8.36B,,2.07B
Mon Nov 18,14:00,GMT,usd,USD Total Net TIC Flows,Low,-$106.8B,,-$13.8B
Mon Nov 18,14:00,GMT,usd,USD Net Long-term TIC Flows,Medium,$25.5B,$20.0B,-$9.8B
Mon Nov 18,15:00,GMT,usd,USD NAHB Housing Market Index,Medium,54,55,54
Mon Nov 18,17:15,GMT,USD,"USD Fed's Dudley to Speak in Queens, New York",Low,,,
Mon Nov 18,18:30,GMT,USD,USD Fed's Plosser Speaks on the Economic Outlook in Philadelphia,Low,,,
Mon Nov 18,20:45,GMT,USD,USD Fed's Dudley to Tour Steinway Factory in Long Island City,Low,,,
Mon Nov 18,23:00,GMT,aud,AUD Conference Board Leading Index,Medium,0.3%,,-0.2%
Tue Nov 19,00:30,GMT,AUD,AUD RBA Policy Meeting - November Minutes,Medium,,,
Tue Nov 19,00:45,GMT,USD,USD Fed's Kocherlakota Speaks on Bank Regulation in Minneapolis,Low,,,
Tue Nov 19,02:00,GMT,nzd,New Zealand 2-Year Inflation Expectation (4Q),Medium,2.34%,,2.36%
Tue Nov 19,02:19,GMT,cny,China Foreign Direct Investment (YoY) (OCT),Medium,1.2%,6.1%,4.9%
Tue Nov 19,05:00,GMT,jpy,JPY Leading Index,Medium,109.2,,109.5
Tue Nov 19,05:00,GMT,jpy,JPY Coincident Index,Medium,108.4,,108.2
Tue Nov 19,05:30,GMT,jpy,JPY Tokyo Department Store Sales (YoY),Low,1.2%,,3.6%
Tue Nov 19,05:30,GMT,jpy,JPY Nationwide Department Store Sales (YoY),Low,-0.6%,,2.8%
Tue Nov 19,07:00,GMT,eur,EUR EU 27 New Car Registrations,Low,4.7%,,5.4%
Tue Nov 19,10:00,GMT,eur,EUR Euro-Zone ZEW Survey (Economic Sentiment),Medium,60.2,,59.1
Tue Nov 19,10:00,GMT,eur,EUR Euro-Zone Construction Output w.d.a. (YoY),Low,-0.2%,,-1.3%
Tue Nov 19,10:00,GMT,EUR,EUR EC OECD November Economic Outlook,Low,,,
Tue Nov 19,10:00,GMT,eur,EUR Euro-Zone Construction Output s.a. (MoM),Low,-1.3%,,0.3%
Tue Nov 19,10:00,GMT,eur,EUR German ZEW Survey (Current Situation),Medium,28.7,31.0,29.7
Tue Nov 19,10:00,GMT,eur,EUR German ZEW Survey (Economic Sentiment),High,54.6,54.0,52.8
Tue Nov 19,13:30,GMT,usd,USD Employment Cost Index,Low,0.4%,0.5%,0.5%
Tue Nov 19,19:15,GMT,USD,USD Fed's Evans Speaks to Illinois Bankers in Chicago,Low,,,
Tue Nov 19,21:45,GMT,nzd,NZD Producer Prices- Outputs (QoQ),Low,2.4%,,1.0%
Tue Nov 19,21:45,GMT,nzd,NZD Producer Prices- Inputs (QoQ),Low,2.2%,,0.6%
Tue Nov 19,23:30,GMT,aud,AUD Westpac Leading Index (MoM),Low,0.1%,,-0.1%
Tue Nov 19,23:50,GMT,jpy,JPY Merchandise Trade Balance Total (Yen),Medium,-¥1090.7B,-¥854.2B,-¥934.3B
Tue Nov 19,23:50,GMT,jpy,JPY Adjusted Merchandise Trade Balance (Yen),Low,-¥1072.5B,-¥875.5B,-¥1128.0B
Tue Nov 19,23:50,GMT,jpy,JPY Merchandise Trade Exports (YoY),Low,18.6,16.2,11.5
Tue Nov 19,23:50,GMT,jpy,JPY Merchandise Trade Imports (YoY),Low,26.1,19.0,16.5
Wed Nov 20,00:00,GMT,aud,AUD DEWR Skilled Vacancies (MoM),Low,-0.1%,,-0.3%
Wed Nov 20,00:00,GMT,USD,USD Fed's Bernanke Speaks to Economists Club in Washington,Low,,,
Wed Nov 20,01:45,GMT,cny,CNY MNI November Business Indicator,Low,53.3,,55.3
Wed Nov 20,02:00,GMT,cny,CNY Conference Board China October Leading Economic Index,Low,273.7,,272.1
Wed Nov 20,04:30,GMT,jpy,JPY All Industry Activity Index (MoM),Medium,0.4%,0.4%,0.3%
