Date,Time,Time Zone,Currency,Event,Importance,Actual,Forecast,Previous
Sun Mar 25,21:45,GMT,nzd,NZD Trade Balance (New Zealand dollars),Medium,161M,153M,-159M
Sun Mar 25,21:45,GMT,nzd,NZD Exports (New Zealand dollars),Low,3.59B,3.93B,3.73B
Sun Mar 25,21:45,GMT,nzd,NZD Imports (New Zealand dollars),Low,3.43B,3.65B,3.73B
Sun Mar 25,21:45,GMT,nzd,NZD Balance (YTD) (New Zealand dollars),Medium,621M,712M,644M
Mon Mar 26,04:40,GMT,EUR,EUR ECB's Coeure Speaks in Tokyo,LOW,,,
Mon Mar 26,08:00,GMT,eur,EUR Italian Consumer Confidence Ind sa ,Low,96.8,93.5,94.4
Mon Mar 26,08:00,GMT,eur,EUR German IFO - Business Climate,Medium,109.8,109.6,109.7
Mon Mar 26,08:00,GMT,eur,EUR German IFO - Current Assessment,Medium,117.4,117.0,117.4
Mon Mar 26,08:00,GMT,eur,EUR German IFO - Expectations,Medium,102.7,102.6,102.4
Mon Mar 26,11:00,GMT,usd,USD Fed's Plosser Speaks on Monetary Policy in Paris,Low,,,
Mon Mar 26,12:00,GMT,usd,USD Fed's Bernanke Speaks to Business Economists,Low,,,
Mon Mar 26,12:30,GMT,usd,USD Chicago Fed Nat Activity Index,Low,-0.09,0.00,0.33
Mon Mar 26,14:00,GMT,usd,USD Pending Home Sales (MoM),Low,-0.5%,1.0%,2.0%
Mon Mar 26,14:00,GMT,usd,USD Pending Home Sales (YoY),Medium,13.9%,9.7%,10.3%
Mon Mar 26,14:30,GMT,usd,USD Dallas Fed Manufacturing Activity,Low,10.8,17.0,17.8
Mon Mar 26,16:00,GMT,eur,EUR French Jobseekers - Net Change ,Low,6.2,12.5,13.4
Mon Mar 26,16:00,GMT,eur,EUR French Total Jobseekers ,Medium,2867.9K,2876.7K,2861.7K
Mon Mar 26,23:50,GMT,jpy,JPY Corporate Service Price (YoY),Low,-0.6%,-0.4%,-0.4%
Tue Mar 27,01:30,GMT,cny,CNY Industrial Profits YTD YoY,Medium,-5.2%,,25.4%
Tue Mar 27,05:00,GMT,jpy,JPY Small Business Confidence,Low,48.7,,45.3
Tue Mar 27,06:00,GMT,eur,EUR German Import Price Index (MoM),Low,1.0%,0.9%,1.3%
Tue Mar 27,06:00,GMT,eur,EUR German Import Price Index (YoY),Low,3.5%,3.5%,3.7%
Tue Mar 27,06:00,GMT,chf,CHF UBS Consumption Indicator,Medium,0.87,,0.93
Tue Mar 27,06:00,GMT,eur,EUR German GfK Consumer Confidence Survey,Medium,5.9,6.0,6.0
Tue Mar 27,06:45,GMT,eur,EUR French Consumer Confidence Indicator (FEB),High,87,82,82
