Date,Time,Time Zone,Currency,Event,Importance,Actual,Forecast,Previous
Sun Apr 7,23:01,GMT,GBP,GBP Lloyds Employment Confidence,Low,-45,,-44
Sun Apr 7,23:30,GMT,AUD,AUD AiG Performance of Construction Index,Medium,39.0,,45.6
Sun Apr 7,23:50,GMT,JPY,JPY Current Account Total (Yen),Low,¥637.4B,¥457.5B,-¥364.8B
Sun Apr 7,23:50,GMT,JPY,JPY Trade Balance - BOP Basis (Yen),Medium,-¥677.0B,-¥660.1B,-¥1479.3B
Sun Apr 7,23:50,GMT,JPY,JPY Current Account Balance (YoY),Low,-47.0%,-59.1%,-19.9%
Sun Apr 7,23:50,GMT,JPY,JPY Adjusted Current Account Total (Yen),Low,-¥0.1B,-¥62.0B,¥364.6B
Mon Apr 8,,,USD,USD International Economic Forum,Low,,,
Mon Apr 8,01:30,GMT,AUD,AUD ANZ Job Advertisements (MoM),Low,-1.5%,,3.0%
Mon Apr 8,04:30,GMT,JPY,JPY Bankruptcies (YoY),Medium,-20.0%,,-11.8%
Mon Apr 8,05:00,GMT,JPY,JPY Eco Watchers Survey: Current,Medium,57.3,,53.2
Mon Apr 8,05:00,GMT,JPY,JPY Eco Watchers Survey: Outlook,Medium,57.5,,57.7
Mon Apr 8,05:30,GMT,AUD,AUD Foreign Reserves (Australian dollar),Low,A$48.7B,,A$43.7B
Mon Apr 8,07:15,GMT,CHF,CHF Industrial Production (YoY),Medium,1.7%,,2.2%
Mon Apr 8,08:30,GMT,EUR,EUR Euro-Zone Sentix Investor Confidence,Medium,-17.3,-12.8,-10.6
Mon Apr 8,10:00,GMT,EUR,EUR German Industrial Production s.a. (MoM),Low,0.5%,0.3%,0.0%
Mon Apr 8,10:00,GMT,EUR,EUR German Industrial Production n.s.a. and w.d.a. (YoY),Medium,-1.8%,-1.0%,-1.3%
Mon Apr 8,12:30,GMT,USD,USD Fed's Pianalto Speaks on the Economy in Florida,Low,,,
Mon Apr 8,14:30,GMT,cad,CAD Bank of Canada Senior Loan Officer Survey,Medium,-5.8,,-3.4
Mon Apr 8,14:30,GMT,cad,CAD Business Outlook Future Sales,Medium,24.00,15.00,16.00
Mon Apr 8,23:01,GMT,gbp,GBP BRC Sales Like-For-Like YoY,Low,1.9%,1.0%,2.7%
Mon Apr 8,23:01,GMT,gbp,GBP RICS House Price Balance,Medium,-1%,-5%,-7%
Mon Apr 8,23:15,GMT,USD,USD Fed's Bernanke Speaks at Atlanta Fed Conference in Georgia,Low,,,
Tue Apr 9,,,eur,EUR Bank of Portugal Releases Data on Banks,Low,,,
Tue Apr 9,00:00,GMT,nzd,NZD QV House Prices (YoY),Low,6.5%,,6.3%
Tue Apr 9,01:30,GMT,aud,AUD NAB Business Conditions,Low,-7,,-3
