Date,Time,Time Zone,Currency,Event,Importance,Actual,Forecast,Previous
Sun Jul 28,05:55,GMT,cny,CNY Leading Index,Medium,99.55,,99.72
Sun Jul 28,23:01,GMT,gbp,GBP Hometrack Housing Survey (MoM),Low,0.3%,,0.4%
Sun Jul 28,23:01,GMT,gbp,GBP Hometrack Housing Survey (YoY),Medium,1.3%,,0.8%
Sun Jul 28,23:50,GMT,jpy,JPY Retail Trade s.a. (MoM),Low,-0.2%,0.8%,1.5%
Sun Jul 28,23:50,GMT,jpy,JPY Large Retailers' Sales,Medium,3.5%,3.6%,-0.4%
Sun Jul 28,23:50,GMT,jpy,JPY Retail Trade (YoY),Medium,1.6%,2.1%,0.8%
Mon Jul 29,03:30,GMT,JPY,JPY BoJ Governor Kuroda Speaks at Research Insitute of Japan,High,,,
Mon Jul 29,08:30,GMT,gbp,GBP Net Consumer Credit,Medium,0.5B,0.7B,0.8B
Mon Jul 29,08:30,GMT,gbp,GBP Net Lending Sec. on Dwellings,Low,1.0B,0.7B,0.5B
Mon Jul 29,08:30,GMT,gbp,GBP Mortgage Approvals,Medium,57.7K,59.7K,58.1K
Mon Jul 29,08:30,GMT,gbp,GBP M4 Money Supply (MoM),Low,0.1%,0.2%,0.0%
Mon Jul 29,08:30,GMT,gbp,GBP M4 Money Supply (YoY),Low,1.5%,,-0.1%
Mon Jul 29,08:30,GMT,gbp,GBP M4 Ex IOFCs 3M Annualised,Low,4.7%,4.4%,4.4%
Mon Jul 29,10:00,GMT,gbp,GBP CBI Reported Sales,Low,17,10,1
Mon Jul 29,14:00,GMT,usd,USD Pending Home Sales (MoM),Low,-0.4%,-1.0%,5.8%
Mon Jul 29,14:00,GMT,usd,USD Pending Home Sales (YoY),Medium,9.1%,8.3%,11.2%
Mon Jul 29,14:30,GMT,usd,USD Dallas Fed Manufacturing Activity,Low,4.4,7.5,6.5
Mon Jul 29,21:00,GMT,USD,USD EIA Gasoline and Diesel Fuel Update,Low,,,
Mon Jul 29,22:45,GMT,nzd,NZD Building Permits (MoM),Low,-4.0%,,1.0%
Mon Jul 29,23:30,GMT,jpy,JPY Household Spending (YoY),Medium,-0.4%,1.4%,-1.6%
Mon Jul 29,23:30,GMT,jpy,JPY Job-To-Applicant Ratio,Low,0.92,0.91,0.90
Mon Jul 29,23:30,GMT,jpy,JPY Jobless Rate,Medium,3.9%,4.0%,4.1%
Mon Jul 29,23:50,GMT,jpy,JPY Industrial Production (YoY),Medium,-4.8%,-2.6%,-1.1%
Mon Jul 29,23:50,GMT,jpy,JPY Industrial Production (MoM),Low,-3.3%,-1.5%,1.9%
Tue Jul 30,01:30,GMT,aud,AUD Building Approvals (MoM),Low,-6.9%,2.0%,-4.3%
Tue Jul 30,01:30,GMT,aud,AUD Building Approvals (YoY),Medium,-13.0%,0.0%,-2.2%
Tue Jul 30,03:05,GMT,aud,RBA Governor Glenn Stevens Speaks in Sydney,Medium,,,
Tue Jul 30,04:00,GMT,jpy,JPY Vehicle Production (YoY),Low,-9.5%,,-6.2%
Tue Jul 30,05:00,GMT,jpy,JPY Small Business Confidence,Medium,49.4,,49.6
Tue Jul 30,06:00,GMT,eur,EUR German GfK Consumer Confidence Survey,Medium,7.0,6.9,6.8
Tue Jul 30,07:00,GMT,eur,EUR Spanish GDP (QoQ),Medium,-0.1%,-0.1%,-0.5%
Tue Jul 30,07:00,GMT,eur,EUR Spanish GDP (YoY),Medium,-1.7%,-1.8%,-2.0%
Tue Jul 30,08:30,GMT,gbp,GBP Lloyds Business Barometer,Low,41,,36
Tue Jul 30,09:00,GMT,eur,EUR Euro-Zone Economic Confidence,Low,92.5,92.5,91.3
Tue Jul 30,09:00,GMT,eur,EUR Euro-Zone Industrial Confidence,Low,-10.6,-10.2,-11.2
Tue Jul 30,09:00,GMT,eur,EUR Euro-Zone Consumer Confidence,Medium,-17.4,-17.4,-17.4
Tue Jul 30,09:00,GMT,eur,EUR Euro-Zone Business Climate Indicator,Low,-0.53,-0.54,-0.67
Tue Jul 30,09:00,GMT,eur,EUR Euro-Zone Services Confidence,Low,-7.8,-8.9,-9.6
Tue Jul 30,12:00,GMT,eur,EUR German Consumer Price Index - EU Harmonised (MoM),Medium,0.5%,0.3%,0.1%
Tue Jul 30,12:00,GMT,eur,EUR German Consumer Price Index (MoM),Medium,0.4%,0.3%,0.1%
Tue Jul 30,12:00,GMT,eur,EUR German Consumer Price Index (YoY),High,1.9%,1.7%,1.8%
Tue Jul 30,12:00,GMT,eur,EUR German Consumer Price Index - EU Harmonised (YoY),High,1.9%,1.8%,1.9%
Tue Jul 30,12:30,GMT,cad,CAD Industrial Product Price (MoM),Low,0.3%,0.2%,0.0%
Tue Jul 30,12:30,GMT,cad,CAD Raw Materials Price Index (MoM),Low,0.3%,0.5%,0.2%
Tue Jul 30,13:00,GMT,usd,USD S&P/CS 20 City s.a. (MoM),Low,1.05%,1.40%,1.73%
Tue Jul 30,13:00,GMT,usd,USD S&P/Case-Shiller Composite-20 (YoY),Low,12.17%,12.40%,12.09%
Tue Jul 30,13:00,GMT,usd,USD S&P/Case-Shiller Home Price Index,Low,156.14,,152.42
Tue Jul 30,14:00,GMT,usd,USD Consumer Confidence,High,80.3,81.3,82.1
Tue Jul 30,16:09,GMT,gbp,GBP GfK Consumer Confidence Survey,Medium,-16,-19,-21
Tue Jul 30,23:01,GMT,gbp,GBP BRC Shop Price Index (YoY),Low,-0.5%,,-0.2%
Tue Jul 30,23:15,GMT,jpy,JPY Nomura/JMMA Manufacturing Purchasing Manager Index,Medium,50.7,,52.3
Tue Jul 30,23:50,GMT,jpy,JPY Loans & Discounts Corp (YoY),Low,1.67%,,2.06%
Wed Jul 31,,,USD,USD Federal Reserve FOMC Meeting,High,,,
