date,Open,High,Low,Close,Volume
2014-10-30 04:00:00,0.83789,0.84569,0.83771,0.84412,28459
2014-10-31 04:00:00,0.84403,0.84811,0.84224,0.84629,35937
2014-11-02 04:00:00,0.84345,0.84458,0.84117,0.8437,12696
2014-11-03 05:00:00,0.8437,0.8447,0.83406,0.84003,31918
2014-11-04 05:00:00,0.83999,0.84226,0.83582,0.83742,25894
2014-11-05 05:00:00,0.83739,0.8381,0.82435,0.82773,42975
2014-11-06 05:00:00,0.82774,0.83433,0.82686,0.83155,40349
2014-11-07 05:00:00,0.83154,0.83736,0.8311,0.83289,35611
2014-11-09 05:00:00,0.83306,0.83668,0.83306,0.83598,9290
2014-11-10 05:00:00,0.83595,0.83679,0.83327,0.83462,23658
2014-11-11 05:00:00,0.83459,0.83961,0.83265,0.83719,27412
2014-11-12 05:00:00,0.83716,0.84355,0.83698,0.84049,28554
2014-11-13 05:00:00,0.84046,0.84479,0.83795,0.83935,20309
2014-11-14 05:00:00,0.83938,0.84069,0.83743,0.83823,22906
2014-11-16 05:00:00,0.84131,0.84163,0.83878,0.84131,8534
2014-11-17 05:00:00,0.84134,0.84168,0.83725,0.83993,17848
2014-11-18 05:00:00,0.83997,0.84086,0.83078,0.83127,21852
2014-11-19 05:00:00,0.83123,0.83219,0.82218,0.82263,27532
2014-11-20 05:00:00,0.82258,0.82779,0.82068,0.82669,30993
2014-11-21 05:00:00,0.82671,0.84392,0.82623,0.83989,25365
2014-11-23 05:00:00,0.84379,0.84456,0.84139,0.8428,3520
2014-11-24 05:00:00,0.84284,0.84319,0.8295,0.83191,19606
2014-11-25 05:00:00,0.83194,0.83304,0.82142,0.82278,22582
2014-11-26 05:00:00,0.82273,0.82669,0.81733,0.82626,24013
2014-11-27 05:00:00,0.82623,0.82746,0.81929,0.81974,15091
2014-11-28 05:00:00,0.81978,0.82454,0.81826,0.81975,13295
2014-11-30 05:00:00,0.8177,0.82003,0.8141,0.81664,6615
2014-12-01 05:00:00,0.81659,0.82265,0.81448,0.82052,26995
2014-12-02 05:00:00,0.82057,0.82436,0.81526,0.81705,20254
