Date,YAHOO.INDEX_SSEC.4
2014-03-31,2033.31
2014-03-28,2041.71
2014-03-27,2046.59
2014-03-26,2063.67
2014-03-25,2067.31
2014-03-24,2066.28
2014-03-21,2047.62
2014-03-20,1993.48
2014-03-19,2021.73
2014-03-18,2025.2
2014-03-17,2023.67
2014-03-14,2004.34
2014-03-13,2019.11
2014-03-12,1997.69
2014-03-11,2001.16
2014-03-10,1999.06
2014-03-07,2057.91
2014-03-06,2059.58
2014-03-05,2053.08
2014-03-04,2071.47
2014-03-03,2075.24
2014-02-28,2056.3
2014-02-27,2047.35
2014-02-26,2041.25
2014-02-25,2034.22
2014-02-24,2076.69
2014-02-21,2113.69
2014-02-20,2138.78
2014-02-19,2142.55
2014-02-18,2119.07
2014-02-17,2135.42
2014-02-14,2115.85
2014-02-13,2098.4
2014-02-12,2109.96
2014-02-11,2103.67
2014-02-10,2086.07
2014-02-07,2044.5
2014-01-30,2033.08
2014-01-29,2049.91
2014-01-28,2038.51
2014-01-27,2033.3
2014-01-24,2054.39
2014-01-23,2042.18
2014-01-22,2051.75
2014-01-21,2008.31
2014-01-20,1991.25
2014-01-17,2004.95
2014-01-16,2023.7
2014-01-15,2023.35
2014-01-14,2026.84
2014-01-13,2009.56
2014-01-10,2013.3
2014-01-09,2027.62
2014-01-08,2044.34
2014-01-07,2047.32
2014-01-06,2045.71
2014-01-03,2083.14
2014-01-02,2109.39
2013-12-31,2115.98
2013-12-30,2097.53
2013-12-27,2101.25
2013-12-26,2073.1
2013-12-25,2106.35
2013-12-24,2092.91
2013-12-23,2089.71
2013-12-20,2084.79
2013-12-19,2127.79
2013-12-18,2148.28
2013-12-17,2151.08
2013-12-16,2160.86
2013-12-13,2196.07
2013-12-12,2202.8
2013-12-11,2204.17
2013-12-10,2237.49
2013-12-09,2238.2
2013-12-06,2237.11
2013-12-05,2247.06
2013-12-04,2251.76
2013-12-03,2222.67
2013-12-02,2207.37
2013-11-29,2220.5
2013-11-28,2219.37
2013-11-27,2201.07
2013-11-26,2183.07
2013-11-25,2186.11
2013-11-22,2196.38
2013-11-21,2205.77
2013-11-20,2206.61
2013-11-19,2193.12
2013-11-18,2197.22
2013-11-15,2135.83
2013-11-14,2100.51
2013-11-13,2087.94
2013-11-12,2126.77
2013-11-11,2109.47
2013-11-08,2106.13
2013-11-07,2129.4
2013-11-06,2139.61
2013-11-05,2157.24
2013-11-04,2149.63
2013-11-01,2149.56
2013-10-31,2141.61
2013-10-30,2160.46
2013-10-29,2128.86
2013-10-28,2133.87
2013-10-25,2132.96
2013-10-24,2164.32
2013-10-23,2183.11
2013-10-22,2210.65
2013-10-21,2229.24
2013-10-18,2193.78
2013-10-17,2188.54
2013-10-16,2193.07
2013-10-15,2233.41
2013-10-14,2237.77
2013-10-11,2228.15
2013-10-10,2190.93
2013-10-09,2211.77
2013-10-08,2198.2
2013-09-30,2174.67
2013-09-27,2160.03
2013-09-26,2155.81
2013-09-25,2198.51
2013-09-24,2207.53
2013-09-23,2221.04
2013-09-18,2191.85
2013-09-17,2185.56
2013-09-16,2231.4
2013-09-13,2236.22
2013-09-12,2255.6
2013-09-11,2241.27
2013-09-10,2237.98
2013-09-09,2212.52
2013-09-06,2139.99
2013-09-05,2122.43
2013-09-04,2127.62
2013-09-03,2123.11
2013-09-02,2098.45
2013-08-30,2098.38
2013-08-29,2097.23
2013-08-28,2101.3
2013-08-27,2103.57
2013-08-26,2096.47
2013-08-23,2057.46
2013-08-22,2067.12
2013-08-21,2072.96
2013-08-20,2072.59
2013-08-19,2085.6
2013-08-16,2068.45
2013-08-15,2081.88
2013-08-14,2100.14
2013-08-13,2106.16
2013-08-12,2101.28
2013-08-09,2052.24
2013-08-08,2044.9
2013-08-07,2046.78
2013-08-06,2060.5
2013-08-05,2050.48
2013-08-02,2029.42
2013-08-01,2029.07
2013-07-31,1993.8
2013-07-30,1990.06
2013-07-29,1976.31
2013-07-26,2010.85
2013-07-25,2021.17
2013-07-24,2033.33
2013-07-23,2043.88
2013-07-22,2004.76
2013-07-19,1992.65
2013-07-18,2023.4
2013-07-17,2044.92
2013-07-16,2065.72
2013-07-15,2059.39
2013-07-12,2039.49
2013-07-11,2072.99
2013-07-10,2008.13
2013-07-09,1965.45
2013-07-08,1958.27
2013-07-05,2007.2
2013-07-04,2006.1
2013-07-03,1994.27
2013-07-02,2006.56
2013-07-01,1995.24
2013-06-28,1979.21
2013-06-27,1950.01
2013-06-26,1951.49
2013-06-25,1959.51
2013-06-24,1963.23
2013-06-21,2073.09
2013-06-20,2084.02
2013-06-19,2143.45
2013-06-18,2159.29
2013-06-17,2156.22
2013-06-14,2162.04
2013-06-13,2148.35
2013-06-07,2210.9
2013-06-06,2242.11
2013-06-05,2270.93
2013-06-04,2272.42
2013-06-03,2299.25
2013-05-31,2300.59
2013-05-30,2317.75
2013-05-29,2324.02
2013-05-28,2321.32
2013-05-27,2293.08
2013-05-24,2288.53
2013-05-23,2275.67
2013-05-22,2302.4
2013-05-21,2305.11
2013-05-20,2299.99
2013-05-17,2282.87
2013-05-16,2251.8
2013-05-15,2224.8
2013-05-14,2217.01
2013-05-13,2241.92
2013-05-10,2246.83
2013-05-09,2232.97
2013-05-08,2246.3
2013-05-07,2235.57
2013-05-06,2231.17
2013-05-03,2205.5
2013-05-02,2174.12
2013-04-26,2177.91
2013-04-25,2199.31
2013-04-24,2218.32
2013-04-23,2184.54
2013-04-22,2242.17
2013-04-19,2244.64
2013-04-18,2197.6
2013-04-17,2193.8
2013-04-16,2194.84
2013-04-15,2181.94
2013-04-12,2206.78
2013-04-11,2219.55
2013-04-10,2226.13
2013-04-09,2225.77
2013-04-08,2211.59
2013-04-03,2225.29
2013-04-02,2227.74
