Date,CURRFX.AUDCHF.1
2014-04-17,0.824974
2014-04-16,0.825891
2014-04-15,0.82464
2014-04-14,0.824247
2014-04-11,0.82694
2014-04-10,0.826374
2014-04-09,0.825489
2014-04-08,0.827023
2014-04-07,0.825587
2014-04-04,0.818971
2014-04-03,0.817656
2014-04-02,0.818399
2014-04-01,0.819442
2014-03-31,0.819595
2014-03-28,0.816696
2014-03-27,0.811391
2014-03-26,0.805849
2014-03-25,0.80337
2014-03-24,0.799885
2014-03-21,0.796928
2014-03-20,0.796053
2014-03-19,0.793539
2014-03-18,0.790193
2014-03-17,0.78888
2014-03-14,0.788393
2014-03-13,0.788206
2014-03-12,0.792682
2014-03-11,0.794227
2014-03-10,0.797827
2014-03-07,0.799063
2014-03-06,0.794024
2014-03-05,0.789018
2014-03-04,0.785624
2014-03-03,0.789612
2014-02-28,0.797125
2014-02-27,0.799953
2014-02-26,0.800167
2014-02-25,0.797841
2014-02-24,0.797433
2014-02-21,0.799215
2014-02-20,0.802524
2014-02-19,0.805296
2014-02-18,0.806115
2014-02-17,0.805391
2014-02-14,0.807551
2014-02-13,0.811082
2014-02-12,0.805585
2014-02-11,0.803264
2014-02-10,0.806043
2014-02-07,0.807414
2014-02-06,0.803503
2014-02-05,0.797813
2014-02-04,0.793682
2014-02-03,0.791077
2014-01-31,0.787192
2014-01-30,0.787944
2014-01-29,0.785364
2014-01-28,0.779361
2014-01-27,0.784554
2014-01-24,0.80044
2014-01-23,0.804916
2014-01-22,0.801967
2014-01-21,0.800187
2014-01-20,0.799704
2014-01-17,0.80366
2014-01-16,0.81007
2014-01-15,0.813121
2014-01-14,0.81395
2014-01-13,0.810751
2014-01-10,0.809869
2014-01-09,0.810905
2014-01-08,0.80988
2014-01-07,0.810282
2014-01-06,0.805255
2014-01-03,0.795963
2014-01-02,0.793571
2014-01-01,0.792313
2013-12-31,0.790255
2013-12-30,0.792816
2013-12-27,0.797939
2013-12-26,0.799231
2013-12-25,0.799049
2013-12-24,0.799726
2013-12-23,0.797093
2013-12-20,0.791573
2013-12-19,0.790312
2013-12-18,0.792816
2013-12-17,0.795581
2013-12-16,0.798049
2013-12-13,0.802884
2013-12-12,0.809163
2013-12-11,0.810936
2013-12-10,0.811378
2013-12-09,0.812428
2013-12-06,0.81579
2013-12-05,0.821127
2013-12-04,0.826765
2013-12-03,0.826982
2013-12-02,0.825641
2013-11-29,0.826013
2013-11-28,0.828258
2013-11-27,0.832812
2013-11-26,0.832821
2013-11-25,0.839523
2013-11-22,0.85276
2013-11-21,0.857096
2013-11-20,0.857908
2013-11-19,0.857751
2013-11-18,0.856123
2013-11-15,0.854005
2013-11-14,0.854927
2013-11-13,0.859631
