Date,CURRFX.GBPCHF.1
2014-04-17,1.47467
2014-04-16,1.47102
2014-04-15,1.46779
2014-04-14,1.46884
2014-04-11,1.47612
2014-04-10,1.47836
2014-04-09,1.47709
2014-04-08,1.47744
2014-04-07,1.47778
2014-04-04,1.47435
2014-04-03,1.47134
2014-04-02,1.47246
2014-04-01,1.4747
2014-03-31,1.47341
2014-03-28,1.46758
2014-03-27,1.46058
2014-03-26,1.45631
2014-03-25,1.45628
2014-03-24,1.45679
2014-03-21,1.45664
2014-03-20,1.45203
2014-03-19,1.45187
2014-03-18,1.45268
2014-03-17,1.45297
2014-03-14,1.45474
2014-03-13,1.45824
2014-03-12,1.46239
2014-03-11,1.46545
2014-03-10,1.47263
2014-03-07,1.48126
2014-03-06,1.47872
2014-03-05,1.47385
2014-03-04,1.4729
2014-03-03,1.47749
2014-02-28,1.48253
2014-02-27,1.48113
2014-02-26,1.47944
2014-02-25,1.47666
2014-02-24,1.4775
2014-02-21,1.48392
2014-02-20,1.48392
2014-02-19,1.48979
2014-02-18,1.49384
2014-02-17,1.49325
2014-02-14,1.48823
2014-02-13,1.47977
2014-02-12,1.47255
2014-02-11,1.47307
2014-02-10,1.47318
2014-02-07,1.47341
2014-02-06,1.47395
2014-02-05,1.47664
2014-02-04,1.48508
2014-02-03,1.48785
2014-01-31,1.48576
2014-01-30,1.4882
2014-01-29,1.48557
2014-01-28,1.47821
2014-01-27,1.48465
2014-01-24,1.50357
2014-01-23,1.50221
2014-01-22,1.49774
2014-01-21,1.49537
2014-01-20,1.49107
2014-01-17,1.48526
2014-01-16,1.4837
2014-01-15,1.48028
2014-01-14,1.48485
2014-01-13,1.49128
2014-01-10,1.49648
2014-01-09,1.49138
2014-01-08,1.48548
2014-01-07,1.4843
2014-01-06,1.48415
2014-01-03,1.47783
2014-01-02,1.47098
2014-01-01,1.46862
2013-12-31,1.46853
2013-12-30,1.46906
2013-12-27,1.46815
2013-12-26,1.46562
2013-12-25,1.46393
2013-12-24,1.46384
2013-12-23,1.4649
2013-12-20,1.45914
2013-12-19,1.44675
2013-12-18,1.44612
2013-12-17,1.44874
2013-12-16,1.45094
2013-12-13,1.45408
2013-12-12,1.45813
2013-12-11,1.46085
2013-12-10,1.45929
2013-12-09,1.46412
2013-12-06,1.47642
2013-12-05,1.48267
2013-12-04,1.48624
2013-12-03,1.48551
2013-12-02,1.48201
2013-11-29,1.47716
2013-11-28,1.47246
2013-11-27,1.47192
2013-11-26,1.47261
2013-11-25,1.47329
2013-11-22,1.47442
2013-11-21,1.47033
2013-11-20,1.47062
2013-11-19,1.47324
2013-11-18,1.47263
2013-11-15,1.4667
2013-11-14,1.46316
2013-11-13,1.46858
2013-11-12,1.47437
2013-11-11,1.47326
2013-11-08,1.46824
2013-11-07,1.46352
2013-11-06,1.45713
2013-11-05,1.45357
2013-11-04,1.45087
2013-11-01,1.44532
2013-10-31,1.44276
2013-10-30,1.44396
2013-10-29,1.44461
2013-10-28,1.44474
2013-10-25,1.44474
2013-10-24,1.45048
2013-10-23,1.4567
2013-10-22,1.45849
2013-10-21,1.45753
2013-10-20,1.45851
2013-10-19,1.45835
2013-10-18,1.45785
2013-10-17,1.45903
2013-10-16,1.45634
2013-10-15,1.45411
2013-10-14,1.45405
2013-10-13,1.4542
2013-10-12,1.45336
2013-10-11,1.45337
2013-10-10,1.45411
2013-10-09,1.45375
2013-10-08,1.45234
2013-10-07,1.45521
2013-10-06,1.45226
2013-10-05,1.45493
2013-10-04,1.46227
2013-10-03,1.46604
2013-10-02,1.46538
2013-10-01,1.46267
2013-09-30,1.46184
2013-09-29,1.46132
2013-09-28,1.4605
2013-09-27,1.46121
2013-09-26,1.46035
2013-09-25,1.45991
2013-09-24,1.4594
2013-09-23,1.46074
2013-09-22,1.45809
2013-09-21,1.46215
2013-09-20,1.46996
2013-09-19,1.47455
2013-09-18,1.47414
2013-09-17,1.47516
2013-09-16,1.47408
2013-09-15,1.47505
2013-09-14,1.47289
2013-09-13,1.47149
2013-09-12,1.47001
2013-09-11,1.46673
2013-09-10,1.4663
2013-09-09,1.4663
2013-09-08,1.46768
2013-09-07,1.46944
2013-09-06,1.46468
2013-09-05,1.45881
2013-09-04,1.45358
2013-09-03,1.44715
2013-09-02,1.44031
2013-09-01,1.442
2013-08-31,1.44078
2013-08-30,1.43379
2013-08-29,1.42881
2013-08-28,1.43332
2013-08-27,1.4362
2013-08-26,1.43765
2013-08-25,1.4366
2013-08-24,1.44012
2013-08-23,1.44132
2013-08-22,1.44115
2013-08-21,1.44458
2013-08-20,1.44799
2013-08-19,1.44907
2013-08-18,1.44794
2013-08-17,1.44942
2013-08-16,1.44956
2013-08-15,1.44285
2013-08-14,1.43494
2013-08-13,1.43134
2013-08-12,1.42932
2013-08-11,1.42974
2013-08-10,1.4294
2013-08-09,1.42686
2013-08-08,1.42382
2013-08-07,1.42369
2013-08-06,1.42298
2013-08-05,1.41752
2013-08-04,1.42017
2013-08-03,1.41605
2013-08-02,1.41199
2013-08-01,1.41681
2013-07-31,1.42578
2013-07-30,1.42849
2013-07-29,1.43062
2013-07-28,1.42881
2013-07-27,1.43122
2013-07-26,1.43524
2013-07-25,1.43781
2013-07-24,1.43826
2013-07-23,1.43695
2013-07-22,1.43582
2013-07-21,1.43657
2013-07-20,1.4359
2013-07-19,1.43175
2013-07-18,1.42706
2013-07-17,1.42922
2013-07-16,1.43116
2013-07-15,1.43171
2013-07-14,1.43182
2013-07-13,1.43499
2013-07-12,1.43853
2013-07-11,1.44389
2013-07-10,1.44064
2013-07-09,1.43691
2013-07-08,1.43834
2013-07-07,1.43597
2013-07-06,1.43993
2013-07-05,1.44411
2013-07-04,1.44267
2013-07-03,1.43928
2013-07-02,1.43848
2013-07-01,1.43951
2013-06-30,1.43826
2013-06-29,1.44118
2013-06-28,1.44422
2013-06-27,1.44515
2013-06-26,1.4422
2013-06-25,1.43994
2013-06-24,1.43971
2013-06-23,1.43959
2013-06-22,1.43781
2013-06-21,1.43843
2013-06-20,1.44075
2013-06-19,1.44658
2013-06-18,1.44938
2013-06-17,1.44546
2013-06-16,1.44703
2013-06-15,1.44621
2013-06-14,1.44499
2013-06-13,1.44806
2013-06-12,1.45132
2013-06-11,1.45578
2013-06-10,1.45465
2013-06-09,1.4537
2013-06-08,1.45033
2013-06-07,1.45193
2013-06-06,1.45193
2013-06-05,1.45327
2013-06-04,1.45419
2013-06-03,1.45247
2013-06-02,1.45217
2013-06-01,1.45341
2013-05-31,1.45666
2013-05-30,1.46175
2013-05-29,1.45954
2013-05-28,1.45494
2013-05-27,1.45831
2013-05-26,1.45578
2013-05-25,1.46097
2013-05-24,1.46721
2013-05-23,1.47115
2013-05-22,1.47278
2013-05-21,1.47415
2013-05-20,1.47399
2013-05-19,1.47508
2013-05-18,1.47337
2013-05-17,1.47189
2013-05-16,1.46893
2013-05-15,1.46557
2013-05-14,1.46958
2013-05-13,1.4647
2013-05-12,1.46948
2013-05-11,1.46383
2013-05-10,1.45571
2013-05-09,1.45595
2013-05-08,1.45783
2013-05-07,1.45734
2013-05-06,1.45281
2013-05-05,1.45517
2013-05-04,1.45051
2013-05-03,1.44553
2013-05-02,1.44602
2013-05-01,1.45226
2013-04-30,1.45787
2013-04-29,1.45709
2013-04-28,1.45882
2013-04-27,1.4567
2013-04-26,1.45
2013-04-25,1.43935
2013-04-24,1.42943
2013-04-23,1.42316
2013-04-22,1.42232
2013-04-21,1.42336
2013-04-20,1.42347
2013-04-19,1.4198
2013-04-18,1.41801
2013-04-17,1.4223
2013-04-16,1.42395
2013-04-15,1.42564
2013-04-14,1.42554
2013-04-13,1.43041
2013-04-12,1.42969
2013-04-11,1.42806
2013-04-10,1.42891
2013-04-09,1.43165
2013-04-08,1.43283
2013-04-07,1.43275
2013-04-06,1.43167
2013-04-05,1.43223
2013-04-04,1.43499
2013-04-03,1.44018
2013-04-02,1.44336
2013-04-01,1.44281
2013-03-31,1.44293
2013-03-30,1.44269
2013-03-29,1.44147
2013-03-28,1.43952
2013-03-27,1.43727
2013-03-26,1.4336
2013-03-25,1.43249
2013-03-24,1.43385
2013-03-23,1.43424
2013-03-22,1.43104
2013-03-21,1.42926
2013-03-20,1.4283
2013-03-19,1.42396
2013-03-18,1.4212
2013-03-17,1.42149
2013-03-16,1.42579
2013-03-15,1.42186
2013-03-14,1.41419
2013-03-13,1.41376
2013-03-12,1.41858
2013-03-11,1.42022
2013-03-10,1.41945
2013-03-09,1.41925
2013-03-08,1.42214
2013-03-07,1.4243
2013-03-06,1.42188
2013-03-05,1.41813
2013-03-04,1.41584
2013-03-03,1.41819
2013-03-02,1.41633
2013-03-01,1.41109
2013-02-28,1.41035
2013-02-27,1.41007
2013-02-26,1.40753
2013-02-25,1.41188
2013-02-24,1.41376
2013-02-23,1.41876
2013-02-22,1.41657
2013-02-21,1.42147
2013-02-20,1.4286
2013-02-19,1.43004
2013-02-18,1.42951
2013-02-17,1.43042
2013-02-16,1.42916
2013-02-15,1.42976
2013-02-14,1.43467
2013-02-13,1.43992
2013-02-12,1.4468
2013-02-11,1.44259
2013-02-10,1.44833
2013-02-09,1.43937
2013-02-08,1.42804
2013-02-07,1.4268
2013-02-06,1.42968
2013-02-05,1.42765
2013-02-04,1.43089
2013-02-03,1.42919
2013-02-02,1.43754
2013-02-01,1.4431
2013-01-31,1.44983
2013-01-30,1.45563
2013-01-29,1.46104
2013-01-28,1.46642
2013-01-27,1.46391
2013-01-26,1.46691
2013-01-25,1.47138
2013-01-24,1.4735
2013-01-23,1.47692
2013-01-22,1.48085
2013-01-21,1.48583
2013-01-20,1.48524
2013-01-19,1.49058
2013-01-18,1.49184
2013-01-17,1.49073
2013-01-16,1.48317
2013-01-15,1.47452
2013-01-14,1.47657
2013-01-13,1.47478
2013-01-12,1.47811
2013-01-11,1.48185
2013-01-10,1.48367
2013-01-09,1.48479
2013-01-08,1.48621
2013-01-07,1.48815
2013-01-06,1.48725
2013-01-05,1.49037
2013-01-04,1.49011
2013-01-03,1.48673
2013-01-02,1.48367
2013-01-01,1.47859
2012-12-31,1.47484
2012-12-30,1.47502
2012-12-29,1.47302
2012-12-28,1.47385
2012-12-27,1.47612
2012-12-26,1.47779
2012-12-25,1.47979
2012-12-24,1.48171
2012-12-23,1.48182
2012-12-22,1.48429
2012-12-21,1.48392
2012-12-20,1.48454
2012-12-19,1.4855
2012-12-18,1.4855
2012-12-17,1.48764
2012-12-16,1.48559
2012-12-15,1.48956
2012-12-14,1.49559
2012-12-13,1.50076
2012-12-12,1.50098
2012-12-11,1.49982
2012-12-10,1.49743
2012-12-09,1.49893
2012-12-08,1.49641
2012-12-07,1.49321
2012-12-06,1.49212
