Date,CURRFX.CHFJPY.1
2014-06-28,113.758
2014-06-27,113.944
2014-06-26,114.02
2014-06-25,113.952
2014-06-24,113.958
2014-06-23,114.053
2014-06-22,114.053
2014-06-21,113.97
2014-06-20,113.831
2014-06-19,113.645
2014-06-18,113.459
2014-06-17,113.359
2014-06-16,113.432
2014-06-15,113.432
2014-06-14,113.405
2014-06-13,113.436
2014-06-12,113.682
2014-06-11,114.165
2014-06-10,114.592
2014-06-09,114.703
2014-06-08,114.703
2014-06-07,114.636
2014-06-06,114.446
2014-06-05,114.311
2014-06-04,113.992
2014-06-03,113.753
2014-06-02,113.569
2014-06-01,113.569
2014-05-31,113.366
2014-05-30,113.367
2014-05-29,113.638
2014-05-28,113.836
2014-05-27,113.834
2014-05-26,113.801
2014-05-25,113.801
2014-05-24,113.719
2014-05-23,113.584
2014-05-22,113.504
2014-05-21,113.659
2014-05-20,113.697
2014-05-19,113.795
2014-05-18,113.795
2014-05-17,114.03
2014-05-16,114.371
2014-05-15,114.812
2014-05-14,115.026
2014-05-13,114.937
2014-05-12,115.017
2014-05-11,115.017
2014-05-10,115.54
2014-05-09,116.142
2014-05-08,116.278
2014-05-07,116.341
2014-05-06,116.335
2014-05-05,116.414
2014-05-04,116.414
2014-05-03,116.361
2014-05-02,116.196
2014-05-01,116.2
2014-04-30,116.323
2014-04-29,116.098
2014-04-28,115.955
2014-04-27,115.955
2014-04-26,115.984
2014-04-25,115.994
2014-04-24,115.982
2014-04-23,116.006
2014-04-22,116.047
2014-04-21,115.961
2014-04-20,115.961
2014-04-19,115.991
2014-04-18,116.032
2014-04-17,115.905
2014-04-16,115.693
2014-04-15,115.859
2014-04-14,115.995
2014-04-13,115.995
2014-04-12,115.911
2014-04-11,115.696
2014-04-10,115.581
2014-04-09,115.799
2014-04-08,115.87
2014-04-07,115.968
2014-04-06,115.968
2014-04-05,116.532
2014-04-04,117.105
2014-04-03,117.196
2014-04-02,116.757
2014-04-01,116.207
2014-03-31,115.76
2014-03-30,115.76
2014-03-29,115.381
2014-03-28,115.413
2014-03-27,115.738
2014-03-26,115.899
2014-03-25,115.845
2014-03-24,115.827
2014-03-23,115.827
2014-03-22,115.894
2014-03-21,116.04
2014-03-20,116.205
2014-03-19,116.316
2014-03-18,116.279
2014-03-17,116.194
2014-03-16,116.194
2014-03-15,116.661
2014-03-14,117.345
2014-03-13,117.39
2014-03-12,117.532
2014-03-11,117.606
