Date,CURRFX.EURNZD.1
2014-04-17,1.60254
2014-04-16,1.59585
2014-04-15,1.59637
2014-04-14,1.59547
2014-04-11,1.59086
2014-04-10,1.59042
2014-04-09,1.59301
2014-04-08,1.59435
2014-04-07,1.59891
2014-04-04,1.608
2014-04-03,1.60055
2014-04-02,1.58974
2014-04-01,1.58863
2014-03-31,1.58943
2014-03-28,1.59745
2014-03-27,1.6096
2014-03-26,1.61565
2014-03-25,1.61664
2014-03-24,1.61664
2014-03-21,1.6173
2014-03-20,1.61803
2014-03-19,1.62309
2014-03-18,1.62713
2014-03-17,1.62837
2014-03-14,1.6309
2014-03-13,1.63689
2014-03-12,1.63694
2014-03-11,1.63983
2014-03-10,1.63561
2014-03-07,1.6311
2014-03-06,1.63639
2014-03-05,1.6427
2014-03-04,1.64636
2014-03-03,1.64393
2014-02-28,1.64355
2014-02-27,1.64927
2014-02-26,1.65188
2014-02-25,1.65748
2014-02-24,1.65875
2014-02-21,1.65691
2014-02-20,1.65244
2014-02-19,1.64381
2014-02-18,1.63772
2014-02-17,1.63737
2014-02-14,1.6363
2014-02-13,1.63775
2014-02-12,1.64553
2014-02-11,1.64639
2014-02-10,1.64397
2014-02-07,1.64485
2014-02-06,1.65172
2014-02-05,1.66258
2014-02-04,1.66607
2014-02-03,1.66713
2014-01-31,1.6607
2014-01-30,1.65234
2014-01-29,1.65694
2014-01-28,1.66262
2014-01-27,1.65547
2014-01-24,1.63601
2014-01-23,1.62935
2014-01-22,1.63316
2014-01-21,1.64075
2014-01-20,1.63826
2014-01-17,1.63378
2014-01-16,1.63115
2014-01-15,1.63343
2014-01-14,1.64158
2014-01-13,1.64631
2014-01-10,1.64462
2014-01-09,1.6436
2014-01-08,1.64522
2014-01-07,1.64364
2014-01-06,1.65464
2014-01-03,1.67327
2014-01-02,1.67494
2014-01-01,1.68057
2013-12-31,1.68663
2013-12-30,1.68298
2013-12-27,1.67379
2013-12-26,1.67063
2013-12-25,1.67009
2013-12-24,1.6682
2013-12-23,1.66849
2013-12-20,1.66872
2013-12-19,1.66652
2013-12-18,1.66454
2013-12-17,1.66373
2013-12-16,1.66363
2013-12-13,1.66558
2013-12-12,1.66266
2013-12-11,1.65689
2013-12-10,1.65549
2013-12-09,1.65685
2013-12-06,1.65892
2013-12-05,1.65508
2013-12-04,1.65421
2013-12-03,1.66388
2013-12-02,1.67167
2013-11-29,1.66531
2013-11-28,1.65651
2013-11-27,1.64879
2013-11-26,1.65136
2013-11-25,1.64621
2013-11-22,1.62921
2013-11-21,1.62256
2013-11-20,1.61895
2013-11-19,1.61628
2013-11-18,1.62131
2013-11-15,1.62872
2013-11-14,1.63104
2013-11-13,1.62616
2013-11-12,1.62049
2013-11-11,1.61721
2013-11-08,1.61135
2013-11-07,1.61703
2013-11-06,1.62821
2013-11-05,1.6309
2013-11-04,1.64031
2013-11-01,1.65811
2013-10-31,1.66526
2013-10-30,1.66477
2013-10-29,1.66432
2013-10-28,1.65924
2013-10-25,1.64176
2013-10-24,1.62872
2013-10-23,1.616
2013-10-22,1.61207
2013-10-21,1.60878
2013-10-18,1.60786
2013-10-17,1.6111
2013-10-16,1.61905
2013-10-15,1.62546
2013-10-14,1.62951
2013-10-11,1.63328
2013-10-10,1.63307
2013-10-09,1.6347
2013-10-08,1.63279
2013-10-07,1.63305
2013-10-04,1.63991
2013-10-03,1.63864
2013-10-02,1.63188
2013-10-01,1.63151
2013-09-30,1.63349
2013-09-27,1.63456
2013-09-26,1.63164
2013-09-25,1.62033
2013-09-24,1.61532
2013-09-23,1.61513
2013-09-20,1.61663
2013-09-19,1.6244
2013-09-18,1.62849
2013-09-17,1.63179
2013-09-16,1.6398
2013-09-13,1.6398
2013-09-12,1.64738
2013-09-11,1.6489
2013-09-10,1.64911
2013-09-09,1.65561
2013-09-06,1.67239
2013-09-05,1.68092
2013-09-04,1.68971
2013-09-03,1.70065
2013-09-02,1.70822
2013-08-30,1.70946
2013-08-29,1.71632
2013-08-28,1.7112
2013-08-27,1.71071
2013-08-26,1.7107
2013-08-23,1.69902
2013-08-22,1.68441
2013-08-21,1.6618
2013-08-20,1.64489
2013-08-19,1.64597
2013-08-16,1.65135
2013-08-15,1.65963
2013-08-14,1.66255
2013-08-13,1.6595
2013-08-12,1.66475
2013-08-09,1.6758
2013-08-08,1.68299
2013-08-07,1.69456
2013-08-06,1.7015
2013-08-05,1.68623
2013-08-02,1.66801
2013-08-01,1.66162
2013-07-31,1.65391
2013-07-30,1.6448
2013-07-29,1.64468
2013-07-26,1.65234
2013-07-25,1.65697
2013-07-24,1.65484
2013-07-23,1.65834
2013-07-22,1.65911
2013-07-19,1.66346
2013-07-18,1.66754
2013-07-17,1.67065
2013-07-16,1.67548
2013-07-15,1.67127
2013-07-12,1.65056
2013-07-11,1.63694
2013-07-10,1.64615
2013-07-09,1.65931
2013-07-08,1.66339
2013-07-05,1.66663
2013-07-04,1.67398
2013-07-03,1.6752
2013-07-02,1.67818
2013-07-01,1.67632
2013-06-28,1.67265
2013-06-27,1.68476
2013-06-26,1.69292
2013-06-25,1.69274
2013-06-24,1.69392
2013-06-21,1.68734
2013-06-20,1.67451
2013-06-19,1.66701
2013-06-18,1.65684
2013-06-17,1.66322
2013-06-14,1.67379
2013-06-13,1.6818
2013-06-12,1.68546
2013-06-11,1.67759
2013-06-10,1.66562
2013-06-07,1.64474
2013-06-06,1.63254
2013-06-05,1.627
2013-06-04,1.63093
2013-06-03,1.62508
2013-05-31,1.60092
2013-05-30,1.59347
2013-05-29,1.59628
2013-05-28,1.59872
2013-05-27,1.5963
2013-05-24,1.59209
2013-05-23,1.58409
2013-05-22,1.57893
2013-05-21,1.58501
2013-05-20,1.58331
2013-05-17,1.57046
2013-05-16,1.57171
2013-05-15,1.5716
2013-05-14,1.56649
2013-05-13,1.56124
2013-05-10,1.55791
2013-05-09,1.55457
2013-05-08,1.5407
2013-05-07,1.53671
2013-05-06,1.5409
2013-05-03,1.54578
2013-05-02,1.53842
2013-05-01,1.53167
2013-04-30,1.53388
2013-04-29,1.53423
2013-04-26,1.53354
2013-04-25,1.54348
2013-04-24,1.55018
2013-04-23,1.55023
2013-04-22,1.54861
2013-04-19,1.54798
2013-04-18,1.54926
2013-04-17,1.54409
2013-04-16,1.53468
2013-04-15,1.52366
2013-04-12,1.52332
2013-04-11,1.53313
2013-04-10,1.53854
2013-04-09,1.54133
2013-04-08,1.537
2013-04-05,1.52728
2013-04-04,1.5244
2013-04-03,1.52912
2013-04-02,1.53174
2013-04-01,1.53051
2013-03-29,1.52988
2013-03-28,1.53364
2013-03-27,1.54403
2013-03-26,1.55292
2013-03-25,1.55579
2013-03-22,1.56238
2013-03-21,1.56838
2013-03-20,1.56839
2013-03-19,1.57308
2013-03-18,1.58127
2013-03-15,1.58049
2013-03-14,1.57762
2013-03-13,1.57989
2013-03-12,1.57868
2013-03-11,1.57868
2013-03-08,1.57111
2013-03-07,1.5698
2013-03-06,1.57645
2013-03-05,1.5804
2013-03-04,1.57958
2013-03-01,1.58328
2013-02-28,1.58145
2013-02-27,1.57469
2013-02-26,1.57554
2013-02-25,1.57817
2013-02-22,1.58851
2013-02-21,1.58877
2013-02-20,1.58063
2013-02-19,1.58063
2013-02-18,1.58053
2013-02-15,1.58773
2013-02-14,1.60105
2013-02-13,1.60328
2013-02-12,1.60228
2013-02-11,1.60534
2013-02-08,1.61174
2013-02-07,1.60578
2013-02-06,1.60516
2013-02-05,1.60931
2013-02-04,1.61593
2013-02-01,1.61995
2013-01-31,1.61601
2013-01-30,1.61164
2013-01-29,1.61219
2013-01-28,1.59986
2013-01-25,1.58395
2013-01-24,1.58355
2013-01-23,1.58859
2013-01-22,1.59199
2013-01-21,1.58884
2013-01-18,1.58478
2013-01-17,1.58452
2013-01-16,1.58945
2013-01-15,1.59296
2013-01-14,1.58057
2013-01-11,1.55848
2013-01-10,1.56223
2013-01-09,1.56795
2013-01-08,1.56969
2013-01-07,1.57353
2013-01-04,1.58113
2013-01-03,1.59106
2013-01-02,1.59947
2013-01-01,1.6067
2012-12-31,1.61341
2012-12-28,1.61293
2012-12-27,1.60687
2012-12-26,1.60396
2012-12-25,1.60344
2012-12-24,1.59633
2012-12-21,1.58367
2012-12-20,1.57465
2012-12-19,1.56191
2012-12-18,1.55747
2012-12-17,1.55292
2012-12-14,1.54925
2012-12-13,1.5498
2012-12-12,1.55
2012-12-11,1.55074
2012-12-10,1.55928
2012-12-07,1.57588
2012-12-06,1.58722
2012-12-05,1.58825
2012-12-04,1.58638
2012-12-03,1.57919
2012-11-30,1.57346
2012-11-29,1.5747
2012-11-28,1.57619
2012-11-27,1.57521
2012-11-26,1.57612
2012-11-23,1.57541
2012-11-22,1.56956
2012-11-21,1.56614
2012-11-20,1.56701
2012-11-19,1.5699
2012-11-16,1.56867
2012-11-15,1.5582
2012-11-14,1.55452
2012-11-13,1.55916
2012-11-12,1.5608
