Date,CURRFX.NZDJPY.1
2014-07-16,89.3735
2014-07-15,89.3625
2014-07-14,89.2939
2014-07-13,89.2939
2014-07-12,89.3421
2014-07-11,89.432
2014-07-10,89.3722
2014-07-09,89.2171
2014-07-08,89.1777
2014-07-07,89.2178
2014-07-06,89.241
2014-07-05,89.29
2014-07-04,89.2352
2014-07-03,89.0286
2014-07-02,88.861
2014-07-01,88.8671
2014-06-30,89.0661
2014-06-29,89.0661
2014-06-28,89.0409
2014-06-27,88.9387
2014-06-26,88.6574
2014-06-25,88.8067
2014-06-24,88.8673
2014-06-23,88.7921
2014-06-22,88.7921
2014-06-21,88.7985
2014-06-20,88.7506
2014-06-19,88.5225
2014-06-18,88.3777
2014-06-17,88.4086
2014-06-16,88.3903
2014-06-15,88.3903
2014-06-14,88.3064
2014-06-13,87.9472
2014-06-12,87.2514
2014-06-11,87.1408
2014-06-10,87.1784
2014-06-09,87.1319
2014-06-08,87.1319
2014-06-07,86.9341
2014-06-06,86.5775
2014-06-05,86.4678
2014-06-04,86.5168
2014-06-03,86.4613
2014-06-02,86.3967
2014-06-01,86.3967
2014-05-31,86.3082
2014-05-30,86.4366
2014-05-29,86.9346
2014-05-28,87.1474
2014-05-27,87.1049
2014-05-26,87.1391
2014-05-25,87.1391
2014-05-24,87.1057
2014-05-23,86.9413
2014-05-22,86.8645
2014-05-21,87.3029
2014-05-20,87.5738
2014-05-19,87.6279
2014-05-18,87.6279
2014-05-17,87.8593
2014-05-16,88.1761
2014-05-15,88.2765
2014-05-14,88.1557
2014-05-13,87.858
2014-05-12,87.7379
2014-05-11,87.7379
2014-05-10,87.8996
2014-05-09,88.1419
2014-05-08,88.5242
2014-05-07,88.7277
2014-05-06,88.4897
2014-05-05,88.525
2014-05-04,88.525
2014-05-03,88.3367
2014-05-02,88.0072
2014-05-01,87.7054
2014-04-30,87.5623
2014-04-29,87.5858
2014-04-28,87.7739
2014-04-27,87.7739
2014-04-26,87.7739
2014-04-25,87.9947
2014-04-24,88.0728
2014-04-23,88.0487
2014-04-22,87.9091
2014-04-21,87.8821
2014-04-20,87.8821
2014-04-19,87.9046
2014-04-18,87.9524
2014-04-17,88.0116
2014-04-16,88.134
2014-04-15,88.214
2014-04-14,88.2229
2014-04-13,88.2229
2014-04-12,88.2891
2014-04-11,88.5918
2014-04-10,88.5953
2014-04-09,88.7021
2014-04-08,88.791
2014-04-07,88.8523
2014-04-06,88.8523
2014-04-05,88.813
2014-04-04,88.9062
2014-04-03,89.2845
2014-04-02,89.5057
2014-04-01,89.1851
2014-03-31,88.9705
2014-03-30,88.9705
2014-03-29,88.635
2014-03-28,88.1438
2014-03-27,87.7667
2014-03-26,87.4564
2014-03-25,87.3508
2014-03-24,87.3185
2014-03-23,87.3185
2014-03-22,87.3793
2014-03-21,87.4028
2014-03-20,87.3845
2014-03-19,87.1204
2014-03-18,86.7769
2014-03-17,86.6174
2014-03-16,86.6174
2014-03-15,87.0994
2014-03-14,87.4558
2014-03-13,87.244
2014-03-12,87.4548
2014-03-11,87.358
2014-03-10,87.4135
2014-03-09,87.4135
2014-03-08,87.1809
2014-03-07,86.4829
2014-03-06,85.7077
2014-03-05,85.1228
2014-03-04,85.0228
2014-03-03,85.4357
2014-03-02,85.4357
2014-03-01,85.4617
2014-02-28,85.2183
2014-02-27,85.2014
2014-02-26,85.1669
2014-02-25,84.931
2014-02-24,84.9241
2014-02-23,84.9241
2014-02-22,84.8341
2014-02-21,84.6881
2014-02-20,85.0488
2014-02-19,85.2142
2014-02-18,85.1564
2014-02-17,85.161
2014-02-16,85.161
2014-02-15,85.1483
2014-02-14,85.2146
2014-02-13,85.2661
2014-02-12,84.8694
2014-02-11,84.7355
2014-02-10,84.6701
2014-02-09,84.6701
2014-02-08,84.0799
2014-02-07,83.5403
2014-02-06,82.9401
2014-02-05,82.4893
2014-02-04,82.5509
2014-02-03,82.7683
2014-02-02,82.7683
2014-02-01,83.4429
2014-01-31,84.1957
2014-01-30,85.001
2014-01-29,84.7051
2014-01-28,84.281
2014-01-27,84.1136
2014-01-26,84.4642
2014-01-25,85.5662
2014-01-24,86.5715
2014-01-23,86.8306
2014-01-22,86.5293
2014-01-21,86.0197
2014-01-20,86.2746
2014-01-19,86.2746
2014-01-18,86.7056
2014-01-17,87.0997
2014-01-16,87.0369
2014-01-15,86.6174
2014-01-14,86.3605
2014-01-13,86.4961
2014-01-12,86.4609
2014-01-11,86.4721
2014-01-10,86.6693
2014-01-09,86.6952
2014-01-08,86.5625
2014-01-07,86.5625
2014-01-06,86.5531
2014-01-05,86.5531
2014-01-04,86.2176
2014-01-03,86.4158
2014-01-02,86.5825
2014-01-01,86.1797
2013-12-31,85.8346
2013-12-30,85.7039
2013-12-29,85.7039
2013-12-28,85.6268
2013-12-27,85.4515
2013-12-26,85.3752
2013-12-25,85.3423
2013-12-24,85.3264
2013-12-23,85.3237
2013-12-22,85.3732
2013-12-21,85.3745
2013-12-20,85.1507
2013-12-19,85.0323
2013-12-18,85.1056
2013-12-17,85.2171
2013-12-16,85.3077
2013-12-15,85.3077
2013-12-14,85.1436
2013-12-13,84.9464
2013-12-12,85.1066
2013-12-11,85.4812
2013-12-10,85.3345
2013-12-09,84.8019
2013-12-08,84.8019
2013-12-07,83.9338
2013-12-06,83.8223
2013-12-05,84.1453
2013-12-04,84.2705
2013-12-03,83.7132
2013-12-02,83.1788
2013-12-01,83.1788
2013-11-30,83.1959
2013-11-29,83.2099
2013-11-28,83.2001
2013-11-27,83.3514
2013-11-26,83.2289
2013-11-25,82.9375
2013-11-24,82.9375
2013-11-23,82.8664
2013-11-22,83.0193
2013-11-21,83.3063
2013-11-20,83.4343
2013-11-19,83.6376
2013-11-18,83.4125
2013-11-17,83.4125
2013-11-16,82.9419
2013-11-15,82.306
2013-11-14,81.9137
2013-11-13,81.8899
2013-11-12,81.7992
2013-11-11,81.7412
2013-11-10,81.7412
2013-11-09,82.0284
2013-11-08,82.5363
2013-11-07,82.2561
2013-11-06,81.6734
2013-11-05,81.6492
2013-11-04,81.4272
2013-11-03,81.4272
2013-11-02,81.2316
2013-11-01,81.2227
2013-10-31,81.0242
2013-10-30,80.9005
2013-10-29,80.8907
2013-10-28,80.7192
2013-10-27,80.7192
2013-10-26,81.1278
2013-10-25,81.813
2013-10-24,82.5448
2013-10-23,83.2019
2013-10-22,83.1044
2013-10-21,83.0534
2013-10-20,83.0534
2013-10-19,83.069
2013-10-18,83.0487
2013-10-17,82.7233
2013-10-16,82.3487
2013-10-15,82.0736
2013-10-14,81.9677
2013-10-13,81.9677
2013-10-12,81.4559
2013-10-11,80.8479
2013-10-10,80.6209
2013-10-09,80.5218
2013-10-08,80.7496
2013-10-07,80.9464
2013-10-06,80.9464
2013-10-05,80.8293
2013-10-04,80.7944
2013-10-03,80.8207
2013-10-02,81.2537
2013-10-01,81.2141
2013-09-30,81.4409
2013-09-29,81.4409
2013-09-28,81.6517
2013-09-27,81.5437
2013-09-26,81.6178
2013-09-25,82.4102
2013-09-24,82.9628
2013-09-23,83.1896
2013-09-22,83.1896
2013-09-21,83.1481
2013-09-20,82.4023
2013-09-19,81.4782
2013-09-18,81.2324
2013-09-17,80.9578
2013-09-16,80.8564
2013-09-15,80.8564
2013-09-14,80.956
2013-09-13,80.897
2013-09-12,80.6695
2013-09-11,80.1734
2013-09-10,79.5484
2013-09-09,79.2249
2013-09-08,79.2249
2013-09-07,78.9941
2013-09-06,78.6171
2013-09-05,78.059
2013-09-04,77.4992
2013-09-03,76.6486
2013-09-02,75.9848
2013-09-01,75.9848
2013-08-31,76.2854
2013-08-30,76.1497
2013-08-29,75.9796
2013-08-28,76.6823
2013-08-27,77.1555
2013-08-26,77.1168
2013-08-25,77.1168
2013-08-24,77.1763
2013-08-23,77.0986
2013-08-22,77.4537
2013-08-21,78.411
2013-08-20,79.1532
2013-08-19,78.9521
2013-08-18,78.9521
2013-08-17,78.8278
2013-08-16,78.7581
2013-08-15,78.3441
2013-08-14,77.794
2013-08-13,77.4195
2013-08-12,77.3447
2013-08-11,77.3447
2013-08-10,77.2115
2013-08-09,76.9191
2013-08-08,76.9634
2013-08-07,76.989
2013-08-06,77.0491
2013-08-05,77.7896
2013-08-04,77.7896
2013-08-03,78.2373
2013-08-02,78.2286
2013-08-01,78.2851
2013-07-31,78.6259
2013-07-30,79.1335
2013-07-29,79.5411
2013-07-28,79.5411
2013-07-27,79.8471
2013-07-26,79.9094
2013-07-25,79.588
2013-07-24,79.4776
2013-07-23,79.488
2013-07-22,79.6798
2013-07-21,79.6798
2013-07-20,79.3145
2013-07-19,78.7653
2013-07-18,78.3189
2013-07-17,77.9903
2013-07-16,77.5418
2013-07-15,77.3945
2013-07-14,77.3945
2013-07-13,77.7688
2013-07-12,78.3276
2013-07-11,78.9404
2013-07-10,78.897
2013-07-09,78.2747
2013-07-08,78.0894
2013-07-07,78.0894
2013-07-06,78.1249
2013-07-05,77.8444
2013-07-04,77.7323
2013-07-03,77.6601
2013-07-02,77.1418
2013-07-01,76.8072
2013-06-30,76.8072
2013-06-29,76.7852
2013-06-28,76.3013
2013-06-27,75.7842
2013-06-26,75.7127
2013-06-25,75.8994
2013-06-24,75.8249
2013-06-23,75.8249
2013-06-22,75.8486
2013-06-21,76.0962
2013-06-20,76.1235
2013-06-19,76.0839
2013-06-18,76.0872
2013-06-17,76.0786
2013-06-16,76.0786
2013-06-15,76.2059
2013-06-14,75.9104
2013-06-13,76.5092
2013-06-12,76.9758
2013-06-11,77.3088
2013-06-10,76.9563
2013-06-09,76.9563
2013-06-08,77.5832
2013-06-07,78.9921
2013-06-06,79.9337
2013-06-05,80.2545
2013-06-04,79.9927
2013-06-03,80.1683
2013-06-02,80.1683
2013-06-01,81.188
2013-05-31,81.9379
2013-05-30,82.3799
2013-05-29,82.2076
2013-05-28,81.8118
2013-05-27,82.0853
2013-05-26,82.0853
2013-05-25,82.3536
2013-05-24,82.9667
2013-05-23,83.6655
2013-05-22,83.6143
2013-05-21,83.3543
2013-05-20,83.2056
2013-05-19,83.2056
2013-05-18,83.3965
2013-05-17,83.9464
2013-05-16,84.0061
2013-05-15,84.0519
2013-05-14,84.2944
2013-05-13,84.4012
2013-05-12,84.4012
2013-05-11,84.1524
2013-05-10,83.4822
2013-05-09,83.4831
2013-05-08,84.2817
2013-05-07,84.5706
2013-05-06,84.2426
2013-05-05,84.2426
2013-05-04,83.4862
2013-05-03,82.9524
2013-05-02,83.3705
2013-05-01,83.5869
2013-04-30,83.3588
2013-04-29,83.4167
2013-04-28,83.4167
2013-04-27,84.1625
2013-04-26,84.3982
2013-04-25,83.7131
2013-04-24,83.4714
2013-04-23,83.8678
2013-04-22,83.6777
2013-04-21,83.6777
2013-04-20,83.2286
2013-04-19,82.8685
2013-04-18,82.7881
2013-04-17,82.8016
2013-04-16,83.6942
2013-04-15,84.8651
2013-04-14,84.8651
2013-04-13,85.5879
2013-04-12,85.5076
2013-04-11,84.6435
2013-04-10,83.8757
2013-04-09,82.8668
2013-04-08,81.9137
2013-04-07,81.9137
2013-04-06,80.6862
2013-04-05,79.1932
2013-04-04,78.4909
2013-04-03,78.3682
2013-04-02,78.5959
2013-04-01,78.8307
2013-03-31,78.8307
2013-03-30,78.7787
2013-03-29,78.9273
2013-03-28,79.0171
2013-03-27,78.8908
2013-03-26,78.9775
2013-03-25,78.9205
2013-03-24,78.9205
2013-03-23,79.0139
2013-03-22,78.93
2013-03-21,78.5225
2013-03-20,78.4712
2013-03-19,78.439
2013-03-18,78.8584
2013-03-17,78.8584
2013-03-16,78.8421
2013-03-15,78.8562
2013-03-14,79.2177
2013-03-13,79.2744
2013-03-12,79.0034
2013-03-11,78.9262
2013-03-10,78.886
2013-03-09,78.5531
2013-03-08,77.9256
2013-03-07,77.546
2013-03-06,77.1196
2013-03-05,76.9932
2013-03-04,77.006
2013-03-03,77.006
2013-03-02,76.6507
2013-03-01,76.2793
2013-02-28,75.9718
2013-02-27,77.2019
2013-02-26,78.482
2013-02-25,78.2025
2013-02-24,78.2025
2013-02-23,78.0011
2013-02-22,78.126
2013-02-21,78.7842
2013-02-20,79.2087
2013-02-19,79.2124
2013-02-18,78.9762
2013-02-17,78.9762
2013-02-16,78.9881
2013-02-15,78.8757
2013-02-14,78.5752
2013-02-13,78.2571
2013-02-12,77.5389
2013-02-11,77.5332
2013-02-10,77.5332
2013-02-09,77.8982
2013-02-08,78.4822
2013-02-07,78.7016
2013-02-06,78.2959
