Date,CURRFX.EURJPY.1
2014-01-27,140.628
2014-01-24,141.602
2014-01-23,141.471
2014-01-22,141.329
2014-01-21,141.123
2014-01-20,141.679
2014-01-17,142.318
2014-01-16,141.982
2014-01-15,141.484
2014-01-14,141.759
2014-01-13,142.448
2014-01-10,142.546
2014-01-09,142.488
2014-01-08,142.237
2014-01-07,142.272
2014-01-06,143.102
2014-01-03,144.587
2014-01-02,145.016
2014-01-01,144.828
2013-12-31,144.745
2013-12-30,144.074
2013-12-27,143.03
2013-12-26,142.628
2013-12-25,142.529
2013-12-24,142.341
2013-12-23,142.314
2013-12-20,142.101
2013-12-19,141.704
2013-12-18,141.66
2013-12-17,141.784
2013-12-16,141.791
2013-12-13,141.478
2013-12-12,141.494
2013-12-11,141.63
2013-12-10,141.265
2013-12-09,140.262
2013-12-06,139.057
2013-12-05,139.265
2013-12-04,139.405
2013-12-03,139.292
2013-12-02,139.072
2013-11-29,138.563
2013-11-28,137.835
2013-11-27,137.431
2013-11-26,137.443
2013-11-25,136.532
2013-11-22,135.281
2013-11-21,135.161
2013-11-20,135.083
2013-11-19,135.183
2013-11-18,134.867
2013-11-15,134.05
2013-11-14,133.604
2013-11-13,133.177
2013-11-12,132.564
2013-11-11,132.612
2013-11-08,132.983
2013-11-07,133.036
2013-11-06,132.97
2013-11-05,133.158
2013-11-04,133.621
2013-11-01,134.687
2013-10-31,134.912
2013-10-30,134.683
2013-10-29,134.629
2013-10-28,134.391
2013-10-25,134.328
2013-10-24,134.481
2013-10-23,134.469
2013-10-22,133.979
2013-10-21,133.709
2013-10-18,133.511
2013-10-17,133.275
2013-10-16,133.319
2013-10-15,133.415
2013-10-14,133.035
2013-10-11,132.04
2013-10-10,131.658
2013-10-09,131.633
2013-10-08,131.85
2013-10-07,132.328
2013-10-04,132.481
2013-10-03,132.418
2013-10-02,132.611
2013-10-01,132.513
2013-09-30,133.052
2013-09-27,133.29
2013-09-26,133.171
2013-09-25,133.491
2013-09-24,134.0
2013-09-23,134.098
2013-09-20,133.19
2013-09-19,132.349
2013-09-18,132.279
2013-09-17,132.102
2013-09-16,132.191
2013-09-13,132.623
2013-09-12,132.88
2013-09-11,132.156
2013-09-10,131.202
2013-09-09,131.005
2013-09-06,131.448
2013-09-05,131.217
2013-09-04,130.951
2013-09-03,130.344
2013-09-02,129.959
2013-08-30,130.179
2013-08-29,130.374
2013-08-28,131.176
2013-08-27,131.993
2013-08-26,131.798
2013-08-23,130.981
2013-08-22,130.497
2013-08-21,130.296
2013-08-20,130.21
2013-08-19,130.065
2013-08-16,130.065
2013-08-15,130.047
2013-08-14,129.361
2013-08-13,128.475
2013-08-12,128.526
2013-08-09,128.894
2013-08-08,129.516
2013-08-07,130.47
2013-08-06,131.058
2013-08-05,131.153
2013-08-02,130.479
2013-08-01,130.059
2013-07-31,130.046
2013-07-30,130.154
2013-07-29,131.056
2013-07-26,132.029
2013-07-25,131.87
2013-07-24,131.518
2013-07-23,131.797
2013-07-22,131.863
2013-07-19,130.988
2013-07-18,130.586
2013-07-17,130.304
2013-07-16,129.917
2013-07-15,129.607
2013-07-12,129.248
2013-07-11,129.215
2013-07-10,129.852
2013-07-09,129.875
2013-07-08,129.727
2013-07-05,129.724
2013-07-04,130.122
2013-07-03,130.116
2013-07-02,129.449
2013-07-01,128.518
2013-06-28,127.641
2013-06-27,127.676
2013-06-26,128.178
2013-06-25,128.472
2013-06-24,128.611
2013-06-21,128.438
2013-06-20,127.459
2013-06-19,126.883
2013-06-18,126.071
2013-06-17,125.863
2013-06-14,127.026
2013-06-13,128.671
2013-06-12,129.765
2013-06-11,129.72
2013-06-10,129.239
2013-06-07,129.954
2013-06-06,130.477
2013-06-05,130.562
2013-06-04,130.472
2013-06-03,130.823
2013-05-31,131.168
2013-05-30,131.273
2013-05-29,131.213
2013-05-28,130.802
2013-05-27,131.229
2013-05-24,132.062
2013-05-23,132.531
2013-05-22,132.044
2013-05-21,132.123
2013-05-20,132.22
2013-05-17,131.835
2013-05-16,132.033
2013-05-15,132.092
2013-05-14,132.044
2013-05-13,131.278
2013-05-10,130.036
2013-05-09,129.758
2013-05-08,129.823
2013-05-07,129.965
2013-05-06,129.225
2013-05-03,128.23
2013-05-02,128.25
2013-05-01,128.016
2013-04-30,127.848
2013-04-29,128.421
2013-04-26,129.423
2013-04-25,129.224
2013-04-24,129.432
2013-04-23,130.009
2013-04-22,129.211
2013-04-19,128.279
2013-04-18,128.284
2013-04-17,127.86
2013-04-16,128.455
2013-04-15,129.56
2013-04-12,130.232
2013-04-11,129.771
2013-04-10,129.021
2013-04-09,127.736
2013-04-08,124.847
2013-04-05,120.959
2013-04-04,119.654
2013-04-03,119.832
2013-04-02,120.379
2013-04-01,120.678
2013-03-29,120.745
2013-03-28,121.185
2013-03-27,121.813
2013-03-26,122.662
2013-03-25,123.004
2013-03-22,123.322
2013-03-21,123.149
2013-03-20,123.061
2013-03-19,123.428
2013-03-18,124.591
2013-03-15,124.649
2013-03-14,124.966
2013-03-13,125.25
2013-03-12,124.971
2013-03-11,124.073
2013-03-08,122.411
2013-03-07,121.709
2013-03-06,121.577
2013-03-05,121.687
2013-03-04,121.605
2013-03-01,120.78
2013-02-28,120.186
2013-02-27,121.661
2013-02-26,123.642
2013-02-25,123.313
2013-02-22,124.084
2013-02-21,125.156
2013-02-20,125.188
2013-02-19,125.207
2013-02-18,124.937
2013-02-15,125.188
2013-02-14,125.804
2013-02-13,125.479
2013-02-12,124.234
2013-02-11,124.706
2013-02-08,126.501
2013-02-07,126.363
2013-02-06,125.685
2013-02-05,126.239
2013-02-04,125.539
2013-02-01,123.37
2013-01-31,122.714
2013-01-30,122.096
2013-01-29,122.294
2013-01-28,121.152
2013-01-25,118.652
2013-01-24,118.19
2013-01-23,118.957
2013-01-22,119.646
2013-01-21,119.439
2013-01-18,118.18
2013-01-17,117.899
2013-01-16,119.075
2013-01-15,119.33
2013-01-14,117.743
2013-01-11,115.109
2013-01-10,114.452
2013-01-09,114.673
2013-01-08,114.974
2013-01-07,114.913
2013-01-04,114.701
2013-01-03,114.883
2013-01-02,114.112
2013-01-01,113.679
2012-12-31,113.564
2012-12-28,113.113
2012-12-27,112.068
2012-12-26,111.685
2012-12-25,111.342
2012-12-24,111.207
2012-12-21,111.561
