Date,CURRFX.USDCHF.1
2014-04-16,0.87961
2014-04-15,0.877311
2014-04-14,0.876837
2014-04-11,0.879956
2014-04-10,0.884095
2014-04-09,0.887412
2014-04-08,0.891017
2014-04-07,0.890751
2014-04-04,0.886963
2014-04-03,0.884092
2014-04-02,0.884273
2014-04-01,0.886029
2014-03-31,0.886423
2014-03-28,0.885211
2014-03-27,0.883677
2014-03-26,0.882649
2014-03-25,0.883174
2014-03-24,0.882836
2014-03-21,0.879714
2014-03-20,0.874422
2014-03-19,0.873542
2014-03-18,0.873025
2014-03-17,0.872779
2014-03-14,0.874409
2014-03-13,0.877296
2014-03-12,0.878206
2014-03-11,0.877736
2014-03-10,0.880744
2014-03-07,0.886408
2014-03-06,0.886427
2014-03-05,0.883068
2014-03-04,0.880461
2014-03-03,0.883847
2014-02-28,0.889487
2014-02-27,0.888344
2014-02-26,0.887878
2014-02-25,0.887927
2014-02-24,0.88831
2014-02-21,0.888654
2014-02-20,0.888853
2014-02-19,0.890986
2014-02-18,0.89199
2014-02-17,0.893978
2014-02-14,0.897526
2014-02-13,0.898296
2014-02-12,0.896767
2014-02-11,0.897837
2014-02-10,0.899837
2014-02-07,0.903194
2014-02-06,0.903655
2014-02-05,0.903946
2014-02-04,0.905521
2014-02-03,0.903598
2014-01-31,0.898462
2014-01-30,0.897821
2014-01-29,0.896915
2014-01-28,0.89511
2014-01-27,0.898849
2014-01-24,0.907745
2014-01-23,0.911085
2014-01-22,0.911272
2014-01-21,0.910354
2014-01-20,0.909151
2014-01-17,0.907177
2014-01-16,0.904497
2014-01-15,0.901369
2014-01-14,0.902297
2014-01-13,0.905381
2014-01-10,0.910049
2014-01-09,0.908593
2014-01-08,0.905856
2014-01-07,0.905053
2014-01-06,0.902015
2014-01-03,0.893179
2014-01-02,0.888941
2014-01-01,0.889671
2013-12-31,0.890716
2013-12-30,0.893192
2013-12-27,0.896082
2013-12-26,0.895586
2013-12-25,0.895171
2013-12-24,0.89565
2013-12-23,0.896037
2013-12-20,0.892306
2013-12-19,0.886707
2013-12-18,0.887304
2013-12-17,0.888511
2013-12-16,0.888765
2013-12-13,0.887412
2013-12-12,0.887803
2013-12-11,0.890068
2013-12-10,0.891861
2013-12-09,0.895019
2013-12-06,0.902091
2013-12-05,0.905244
2013-12-04,0.906913
2013-12-03,0.906716
2013-12-02,0.906315
2013-11-29,0.907864
2013-11-28,0.907864
2013-11-27,0.908658
2013-11-26,0.908658
2013-11-25,0.910402
2013-11-22,0.914567
2013-11-21,0.911977
2013-11-20,0.912795
2013-11-19,0.914094
2013-11-18,0.915256
2013-11-15,0.916237
2013-11-14,0.918078
2013-11-13,0.920017
2013-11-12,0.921156
2013-11-11,0.918666
2013-11-08,0.913332
2013-11-07,0.911781
2013-11-06,0.911585
2013-11-05,0.91205
2013-11-04,0.908527
2013-11-01,0.901108
2013-10-31,0.898124
2013-10-30,0.895797
2013-10-29,0.893404
2013-10-28,0.89231
2013-10-25,0.892596
2013-10-24,0.896294
2013-10-23,0.901238
2013-10-22,0.902381
