Date,BCB.UDJIAD1.1
2014-04-02,16573.0
2014-04-01,16532.61
2014-03-31,16457.66
2014-03-28,16323.06
2014-03-27,16264.23
2014-03-26,16268.99
2014-03-25,16367.88
2014-03-24,16276.69
2014-03-21,16302.77
2014-03-20,16331.05
2014-03-19,16222.17
2014-03-18,16336.19
2014-03-17,16247.22
2014-03-14,16065.67
2014-03-13,16108.89
2014-03-12,16340.08
2014-03-11,16351.25
2014-03-10,16418.68
2014-03-07,16452.72
2014-03-06,16421.89
2014-03-05,16360.18
2014-03-04,16395.88
2014-03-03,16168.03
2014-02-28,16321.71
2014-02-27,16272.65
2014-02-26,16198.41
2014-02-25,16179.66
2014-02-24,16207.14
2014-02-21,16103.3
2014-02-20,16133.23
2014-02-19,16040.56
2014-02-18,16130.4
2014-02-14,16154.39
2014-02-13,16027.59
2014-02-12,15963.94
2014-02-11,15994.77
2014-02-10,15801.79
2014-02-07,15794.08
2014-02-06,15628.53
2014-02-05,15440.23
2014-02-04,15445.24
2014-02-03,15372.8
2014-01-31,15698.85
2014-01-30,15848.61
2014-01-29,15738.79
2014-01-28,15928.56
2014-01-27,15837.88
2014-01-24,15879.11
2014-01-23,16197.35
2014-01-22,16373.34
2014-01-21,16414.44
2014-01-17,16458.56
2014-01-16,16417.01
2014-01-15,16481.94
2014-01-14,16373.86
2014-01-13,16257.94
2014-01-10,16437.05
2014-01-09,16444.76
2014-01-08,16462.74
2014-01-07,16530.94
2014-01-06,16425.1
2014-01-03,16469.99
2014-01-02,16441.35
2013-12-31,16576.66
2013-12-30,16504.29
2013-12-27,16478.41
2013-12-26,16479.88
2013-12-24,16357.55
2013-12-23,16294.61
2013-12-20,16221.14
2013-12-19,16179.08
2013-12-18,16167.97
2013-12-17,15875.26
2013-12-16,15884.57
2013-12-13,15755.36
2013-12-12,15739.43
2013-12-11,15843.53
2013-12-10,15973.13
2013-12-09,16025.53
2013-12-06,16020.2
2013-12-05,15821.51
2013-12-04,15889.77
2013-12-03,15914.62
2013-12-02,16008.77
2013-11-29,16086.41
2013-11-27,16097.33
2013-11-26,16072.8
2013-11-25,16072.54
2013-11-22,16064.77
2013-11-21,16009.99
2013-11-20,15900.82
2013-11-19,15967.03
2013-11-18,15976.02
2013-11-15,15961.7
2013-11-14,15876.22
2013-11-13,15821.63
2013-11-12,15750.67
2013-11-11,15783.1
2013-11-08,15761.78
2013-11-07,15593.98
2013-11-06,15746.88
2013-11-05,15618.22
2013-11-04,15639.12
2013-11-01,15615.55
2013-10-31,15545.75
2013-10-30,15618.76
2013-10-29,15680.35
2013-10-28,15568.93
2013-10-25,15570.28
2013-10-24,15509.21
2013-10-23,15413.33
2013-10-22,15467.66
2013-10-21,15392.2
2013-10-18,15399.65
2013-10-17,15371.65
2013-10-16,15373.83
2013-10-15,15168.01
2013-10-14,15301.26
2013-10-11,15237.11
2013-10-10,15126.07
2013-10-09,14802.98
2013-10-08,14776.53
2013-10-07,14936.24
2013-10-04,15072.58
2013-10-03,14996.48
2013-10-02,15133.14
2013-10-01,15191.7
2013-09-30,15129.67
2013-09-27,15258.24
2013-09-26,15328.3
2013-09-25,15273.26
2013-09-24,15334.59
2013-09-23,15401.38
2013-09-20,15451.09
2013-09-19,15636.55
2013-09-18,15676.94
2013-09-17,15529.73
2013-09-16,15494.78
2013-09-13,15376.06
2013-09-12,15300.64
2013-09-11,15326.6
2013-09-10,15191.06
2013-09-09,15063.12
2013-09-06,14922.5
2013-09-05,14937.48
2013-09-04,14930.87
2013-09-03,14833.96
2013-08-30,14810.31
2013-08-29,14840.95
2013-08-28,14824.51
2013-08-27,14776.13
2013-08-26,14946.46
2013-08-23,15010.51
2013-08-22,14963.74
2013-08-21,14897.55
2013-08-20,15002.99
2013-08-19,15010.74
2013-08-16,15081.47
2013-08-15,15112.19
2013-08-14,15337.66
2013-08-13,15451.01
2013-08-12,15419.68
2013-08-09,15425.51
2013-08-08,15498.32
2013-08-07,15470.67
2013-08-06,15518.74
2013-08-05,15612.13
2013-08-02,15658.36
2013-08-01,15628.02
2013-07-31,15499.54
2013-07-30,15520.59
2013-07-29,15521.97
2013-07-26,15558.83
2013-07-25,15555.61
2013-07-24,15542.24
2013-07-23,15567.74
2013-07-22,15545.55
2013-07-19,15543.74
2013-07-18,15548.54
2013-07-17,15470.52
2013-07-16,15451.85
2013-07-15,15484.26
2013-07-12,15464.3
2013-07-11,15460.92
2013-07-10,15291.66
2013-07-09,15300.34
2013-07-08,15224.69
2013-07-05,15135.84
2013-07-03,14988.55
