Date,CURRFX.USDJPY.1
2014-01-27,103.009
2014-01-24,104.213
2014-01-23,104.391
2014-01-22,104.329
2014-01-21,104.194
2014-01-20,104.431
2014-01-17,104.509
2014-01-16,104.043
2014-01-15,103.503
2014-01-14,103.733
2014-01-13,104.439
2014-01-10,104.859
2014-01-09,104.685
2014-01-08,104.445
2014-01-07,104.624
2014-01-06,104.981
2014-01-03,105.211
2014-01-02,105.181
2014-01-01,105.112
2013-12-31,105.205
2013-12-30,104.992
2013-12-27,104.519
2013-12-26,104.248
2013-12-25,104.167
2013-12-24,104.043
2013-12-23,104.087
2013-12-20,103.674
2013-12-19,102.965
2013-12-18,102.941
2013-12-17,103.095
2013-12-16,103.091
2013-12-13,102.731
2013-12-12,102.809
2013-12-11,103.023
2013-12-10,103.023
2013-12-09,102.595
2013-12-06,102.228
2013-12-05,102.606
2013-12-04,102.763
2013-12-03,102.592
2013-12-02,102.346
2013-11-29,102.016
2013-11-28,101.612
2013-11-27,101.528
2013-11-26,101.519
2013-11-25,101.045
2013-11-22,100.438
2013-11-21,99.9883
2013-11-20,99.9895
2013-11-19,100.13
2013-11-18,100.014
2013-11-15,99.637
2013-11-14,99.513
2013-11-13,99.3958
2013-11-12,99.0932
2013-11-11,98.8983
2013-11-08,98.6183
2013-11-07,98.5414
2013-11-06,98.5329
2013-11-05,98.6761
2013-11-04,98.5469
2013-11-01,98.3148
2013-10-31,98.0755
2013-10-30,97.7272
2013-10-29,97.5436
2013-10-28,97.3914
2013-10-25,97.4283
2013-10-24,97.8227
2013-10-23,98.177
2013-10-22,97.9403
2013-10-21,97.9048
2013-10-18,98.354
2013-10-17,98.5228
2013-10-16,98.4335
2013-10-15,98.4043
2013-10-14,98.3059
2013-10-11,97.6024
2013-10-10,97.1508
2013-10-09,96.98
2013-10-08,97.1942
2013-10-07,97.4809
2013-10-04,97.5395
2013-10-03,97.7735
2013-10-02,98.0336
2013-10-01,98.0504
2013-09-30,98.4468
2013-09-27,98.7182
2013-09-26,98.6986
2013-09-25,98.8861
2013-09-24,99.1212
2013-09-23,99.1339
2013-09-20,98.8539
2013-09-19,99.0384
2013-09-18,99.0806
2013-09-17,99.0648
2013-09-16,99.4109
2013-09-13,99.7574
2013-09-12,100.141
2013-09-11,99.8531
2013-09-10,99.4244
2013-09-09,99.3894
2013-09-06,99.7828
2013-09-05,99.5714
2013-09-04,99.3097
2013-09-03,98.6725
2013-09-02,98.118
2013-08-30,97.7871
2013-08-29,97.5462
2013-08-28,98.0995
2013-08-27,98.6547
2013-08-26,98.5876
2013-08-23,98.0314
2013-08-22,97.461
2013-08-21,97.5043
2013-08-20,97.6531
2013-08-19,97.653
2013-08-16,97.9766
2013-08-15,98.0191
2013-08-14,97.2633
2013-08-13,96.4143
2013-08-12,96.2787
2013-08-09,96.6514
2013-08-08,97.4181
2013-08-07,98.2754
2013-08-06,98.7631
2013-08-05,98.8408
2013-08-02,98.4096
2013-08-01,98.0393
2013-07-31,98.0301
2013-07-30,98.0563
2013-07-29,98.8789
2013-07-26,99.9013
2013-07-25,99.8323
2013-07-24,99.73
2013-07-23,100.166
2013-07-22,100.432
2013-07-19,99.89
2013-07-18,99.5072
2013-07-17,99.5994
2013-07-16,99.4793
2013-07-15,99.1623
2013-07-12,99.6207
2013-07-11,100.745
2013-07-10,101.115
2013-07-09,101.171
2013-07-08,100.682
2013-07-05,100.001
2013-07-04,100.106
2013-07-03,99.8188
2013-07-02,99.3844
2013-07-01,98.7381
2013-06-28,97.9212
2013-06-27,97.6739
2013-06-26,97.7685
2013-06-25,97.9848
2013-06-24,97.6921
2013-06-21,96.6547
2013-06-20,95.2655
2013-06-19,94.9454
2013-06-18,94.4745
2013-06-17,94.3262
2013-06-14,95.3449
2013-06-13,96.7402
2013-06-12,97.9129
2013-06-11,98.1412
2013-06-10,97.9746
2013-06-07,99.071
2013-06-06,99.7837
2013-06-05,100.016
2013-06-04,100.249
2013-06-03,100.683
2013-05-31,101.264
2013-05-30,101.77
2013-05-29,101.571
2013-05-28,101.126
2013-05-27,101.635
2013-05-24,102.454
2013-05-23,102.739
2013-05-22,102.564
2013-05-21,102.836
2013-05-20,102.852
2013-05-17,102.293
2013-05-16,102.124
2013-05-15,101.775
2013-05-14,101.728
2013-05-13,100.72
2013-05-10,99.0624
2013-05-09,98.9906
2013-05-08,99.1698
2013-05-07,99.1508
2013-05-06,98.4669
2013-05-03,97.4669
2013-05-02,97.4832
2013-05-01,97.7486
2013-04-30,97.9181
2013-04-29,98.4994
2013-04-26,99.3813
2013-04-25,99.3183
2013-04-24,99.2809
2013-04-23,99.5968
2013-04-22,99.0275
2013-04-19,98.0722
2013-04-18,97.7711
2013-04-17,97.6519
2013-04-16,98.123
2013-04-15,98.8767
2013-04-12,99.5331
2013-04-11,99.2745
2013-04-10,98.98
2013-04-09,98.2692
2013-04-08,96.5309
2013-04-05,94.2025
2013-04-04,93.2564
2013-04-03,93.393
2013-04-02,93.922
2013-04-01,94.1986
2013-03-29,94.3012
2013-03-28,94.4263
2013-03-27,94.3937
2013-03-26,94.5444
2013-03-25,94.8818
2013-03-22,95.4606
2013-03-21,95.3385
2013-03-20,95.1638
2013-03-19,95.0537
2013-03-18,95.6041
2013-03-15,96.0359
2013-03-14,96.0379
2013-03-13,96.1981
2013-03-12,96.0871
2013-03-11,95.3359
2013-03-08,93.9525
2013-03-07,93.3783
2013-03-06,93.342
2013-03-05,93.509
2013-03-04,93.1076
2013-03-01,92.1489
2013-02-28,91.9006
2013-02-27,92.697
2013-02-26,93.6636
2013-02-25,93.3761
2013-02-22,93.3988
2013-02-21,93.5734
2013-02-20,93.7478
2013-02-19,93.7848
2013-02-18,93.4332
2013-02-15,93.3307
2013-02-14,93.5787
2013-02-13,93.603
2013-02-12,92.8689
2013-02-11,92.9783
2013-02-08,93.5866
2013-02-07,93.3213
2013-02-06,92.7524
2013-02-05,92.7523
2013-02-04,92.1642
2013-02-01,91.0527
2013-01-31,90.9037
2013-01-30,90.74
2013-01-29,90.3154
2013-01-28,90.3154
2013-01-25,89.0631
2013-01-24,88.7284
2013-01-23,89.3109
2013-01-22,89.8466
2013-01-21,89.6892
2013-01-18,88.758
2013-01-17,88.5641
2013-01-16,89.1271
2013-01-15,89.3228
2013-01-14,88.7667
2013-01-11,87.8899
2013-01-10,87.4808
2013-01-09,87.616
2013-01-08,87.9971
2013-01-07,87.7564
2013-01-04,87.0914
2013-01-03,86.8726
2013-01-02,86.4583
2013-01-01,86.0622
2012-12-31,85.8588
2012-12-28,85.5279
2012-12-27,84.9289
2012-12-26,84.6734
2012-12-25,84.4035
2012-12-24,84.2252
2012-12-21,84.2576
2012-12-20,84.2115
2012-12-19,83.9476
2012-12-18,83.772
2012-12-17,83.5124
2012-12-14,83.2175
2012-12-13,82.6514
2012-12-12,82.3986
2012-12-11,82.4188
2012-12-10,82.4618
2012-12-07,82.3187
2012-12-06,82.1104
2012-12-05,82.1218
2012-12-04,82.364
2012-12-03,82.3437
2012-11-30,82.0257
2012-11-29,81.9911
2012-11-28,82.161
2012-11-27,82.2812
2012-11-26,82.4475
2012-11-23,82.3709
2012-11-22,81.8414
2012-11-21,81.3684
2012-11-20,81.2786
2012-11-19,81.1238
2012-11-16,80.465
2012-11-15,79.6913
2012-11-14,79.4357
2012-11-13,79.4706
2012-11-12,79.6216
2012-11-09,79.9345
2012-11-08,80.1466
2012-11-07,80.2598
2012-11-06,80.3795
2012-11-05,80.2909
2012-11-02,79.9064
2012-11-01,79.6961
2012-10-31,79.6597
2012-10-30,79.6745
2012-10-29,79.8047
2012-10-26,79.9935
2012-10-25,79.8358
2012-10-24,79.7715
2012-10-23,79.5146
2012-10-22,79.2597
2012-10-19,79.0339
2012-10-18,78.8076
2012-10-17,78.7574
2012-10-16,78.5442
2012-10-15,78.3551
2012-10-12,78.2346
2012-10-11,78.2743
2012-10-10,78.3396
2012-10-09,78.5087
2012-10-08,78.6171
2012-10-05,78.4405
2012-10-04,78.2322
2012-10-03,78.0367
2012-10-02,77.9549
2012-10-01,77.8357
2012-09-28,77.6993
2012-09-27,77.7766
2012-09-26,77.8945
2012-09-25,78.0705
2012-09-24,78.2082
2012-09-21,78.4467
2012-09-20,78.6976
2012-09-19,78.5896
2012-09-18,78.4407
2012-09-17,78.1058
2012-09-14,77.7235
2012-09-13,77.9244
2012-09-12,78.1238
2012-09-11,78.2493
2012-09-10,78.3655
2012-09-07,78.5265
2012-09-06,78.3986
2012-09-05,78.3507
2012-09-04,78.3288
2012-09-03,78.4716
2012-08-31,78.6264
2012-08-30,78.6055
2012-08-29,78.632
2012-08-28,78.7014
2012-08-27,78.6242
