Date,CURRFX.AUDUSD.1
2014-04-17,0.937049
2014-04-16,0.93893
2014-04-15,0.939901
2014-04-14,0.940167
2014-04-11,0.939702
2014-04-10,0.934888
2014-04-09,0.930163
2014-04-08,0.928218
2014-04-07,0.927007
2014-04-04,0.923407
2014-04-03,0.924792
2014-04-02,0.925383
2014-04-01,0.924778
2014-03-31,0.924583
2014-03-28,0.922541
2014-03-27,0.918078
2014-03-26,0.913048
2014-03-25,0.909568
2014-03-24,0.906152
2014-03-21,0.905567
2014-03-20,0.910399
2014-03-19,0.908443
2014-03-18,0.90507
2014-03-17,0.903772
2014-03-14,0.901639
2014-03-13,0.89847
2014-03-12,0.902651
2014-03-11,0.90486
2014-03-10,0.905864
2014-03-07,0.901272
2014-03-06,0.895927
2014-03-05,0.893353
2014-03-04,0.892299
2014-03-03,0.893349
2014-02-28,0.896063
2014-02-27,0.900394
2014-02-26,0.90139
2014-02-25,0.898541
2014-02-24,0.899305
2014-02-21,0.899305
2014-02-20,0.902771
2014-02-19,0.903919
2014-02-18,0.903825
2014-02-17,0.901048
2014-02-14,0.899794
2014-02-13,0.903004
2014-02-12,0.898397
2014-02-11,0.894681
2014-02-10,0.895822
2014-02-07,0.893835
2014-02-06,0.88921
2014-02-05,0.882715
2014-02-04,0.876533
2014-02-03,0.875421
2014-01-31,0.876221
2014-01-30,0.877664
2014-01-29,0.875445
2014-01-28,0.870832
2014-01-27,0.872422
2014-01-24,0.881951
2014-01-23,0.883517
2014-01-22,0.880071
2014-01-21,0.878973
2014-01-20,0.879631
2014-01-17,0.885712
2014-01-16,0.895875
2014-01-15,0.902214
2014-01-14,0.902137
2014-01-13,0.895381
2014-01-10,0.889947
2014-01-09,0.892484
2014-01-08,0.894094
2014-01-07,0.895271
2014-01-06,0.892994
2014-01-03,0.891141
2014-01-02,0.892727
2014-01-01,0.890715
2013-12-31,0.887212
2013-12-30,0.887781
2013-12-27,0.890589
2013-12-26,0.892419
2013-12-25,0.892561
2013-12-24,0.892907
2013-12-23,0.889672
2013-12-20,0.887005
2013-12-19,0.891173
2013-12-18,0.893532
2013-12-17,0.895523
2013-12-16,0.897962
2013-12-13,0.904758
2013-12-12,0.911501
2013-12-11,0.911125
2013-12-10,0.909757
2013-12-09,0.907833
2013-12-06,0.90432
2013-12-05,0.907137
2013-12-04,0.911668
2013-12-03,0.912198
2013-12-02,0.911015
2013-11-29,0.910974
2013-11-28,0.912387
2013-11-27,0.91545
2013-11-26,0.916524
2013-11-25,0.921794
2013-11-22,0.932616
2013-11-21,0.939818
2013-11-20,0.939826
2013-11-19,0.938383
