Date,CURRFX.NZDCAD.1
2014-07-19,0.932932
2014-07-18,0.935413
2014-07-17,0.939909
2014-07-16,0.944569
2014-07-15,0.945612
2014-07-14,0.94384
2014-07-13,0.94384
2014-07-12,0.940172
2014-07-11,0.939382
2014-07-10,0.938324
2014-07-09,0.935266
2014-07-08,0.931485
2014-07-07,0.931026
2014-07-06,0.930686
2014-07-05,0.931563
2014-07-04,0.933273
2014-07-03,0.933537
2014-07-02,0.934502
2014-07-01,0.935145
2014-06-30,0.936807
2014-06-29,0.936807
2014-06-28,0.937559
2014-06-27,0.93676
2014-06-26,0.934872
2014-06-25,0.934872
2014-06-24,0.936217
2014-06-23,0.937358
2014-06-22,0.937358
2014-06-21,0.941305
2014-06-20,0.943353
2014-06-19,0.941677
2014-06-18,0.941017
2014-06-17,0.941694
2014-06-16,0.941055
2014-06-15,0.941055
2014-06-14,0.940689
2014-06-13,0.936961
2014-06-12,0.92983
2014-06-11,0.928448
2014-06-10,0.929261
2014-06-09,0.929484
2014-06-08,0.929484
2014-06-07,0.927394
2014-06-06,0.922981
2014-06-05,0.920798
2014-06-04,0.921237
2014-06-03,0.920956
2014-06-02,0.921105
2014-06-01,0.921105
2014-05-31,0.920647
2014-05-30,0.922504
2014-05-29,0.926077
2014-05-28,0.92808
2014-05-27,0.928395
2014-05-26,0.929797
2014-05-25,0.929797
2014-05-24,0.932691
2014-05-23,0.934621
2014-05-22,0.934998
2014-05-21,0.936778
2014-05-20,0.937878
2014-05-19,0.937999
2014-05-18,0.937999
2014-05-17,0.940334
2014-05-16,0.942411
2014-05-15,0.942606
2014-05-14,0.940715
2014-05-13,0.939174
2014-05-12,0.937983
2014-05-11,0.937983
2014-05-10,0.938427
2014-05-09,0.942922
2014-05-08,0.949062
2014-05-07,0.952659
2014-05-06,0.950808
2014-05-05,0.949628
2014-05-04,0.949628
2014-05-03,0.946837
2014-05-02,0.943434
2014-05-01,0.939071
2014-04-30,0.940493
2014-04-29,0.945187
2014-04-28,0.946432
2014-04-27,0.946432
2014-04-26,0.946382
2014-04-25,0.947786
2014-04-24,0.947507
2014-04-23,0.945866
2014-04-22,0.945276
2014-04-21,0.945682
2014-04-20,0.945682
2014-04-19,0.945829
2014-04-18,0.947005
2014-04-17,0.947727
2014-04-16,0.950854
2014-04-15,0.952535
2014-04-14,0.952167
2014-04-13,0.952167
2014-04-12,0.949278
2014-04-11,0.948865
2014-04-10,0.947583
2014-04-09,0.945848
2014-04-08,0.944378
2014-04-07,0.94397
2014-04-06,0.94397
2014-04-05,0.942576
2014-04-04,0.943942
2014-04-03,0.951175
2014-04-02,0.957629
2014-04-01,0.957597
2014-03-31,0.957734
2014-03-30,0.957734
2014-03-29,0.957416
2014-03-28,0.957817
2014-03-27,0.957817
2014-03-26,0.95764
2014-03-25,0.958161
2014-03-24,0.95856
2014-03-23,0.95856
2014-03-22,0.959589
2014-03-21,0.960256
2014-03-20,0.95661
2014-03-19,0.949344
2014-03-18,0.947805
2014-03-17,0.947583
2014-03-16,0.947583
2014-03-15,0.947445
2014-03-14,0.945782
2014-03-13,0.941839
2014-03-12,0.941349
2014-03-11,0.939502
2014-03-10,0.937116
2014-03-09,0.937116
2014-03-08,0.933231
2014-03-07,0.930923
2014-03-06,0.930117
2014-03-05,0.927901
2014-03-04,0.926889
2014-03-03,0.929657
2014-03-02,0.929657
2014-03-01,0.931294
2014-02-28,0.926748
2014-02-27,0.923008
2014-02-26,0.921922
2014-02-25,0.920607
2014-02-24,0.920136
2014-02-23,0.921401
2014-02-22,0.921022
2014-02-21,0.915406
2014-02-20,0.912401
2014-02-19,0.914822
2014-02-18,0.918013
2014-02-17,0.918538
2014-02-16,0.91783
2014-02-15,0.916275
2014-02-14,0.915987
2014-02-13,0.917237
2014-02-12,0.91652
2014-02-11,0.913916
2014-02-10,0.913975
2014-02-09,0.913975
2014-02-08,0.91146
2014-02-07,0.91146
2014-02-06,0.90729
2014-02-05,0.901431
2014-02-04,0.899778
2014-02-03,0.902945
2014-02-02,0.902945
2014-02-01,0.90968
2014-01-31,0.916646
2014-01-30,0.920957
2014-01-29,0.916214
2014-01-28,0.911178
2014-01-27,0.913063
2014-01-26,0.913063
2014-01-25,0.919673
2014-01-24,0.920285
2014-01-23,0.913857
2014-01-22,0.909302
2014-01-21,0.904536
2014-01-20,0.906013
2014-01-19,0.906013
2014-01-18,0.908659
2014-01-17,0.912199
2014-01-16,0.914853
2014-01-15,0.912026
2014-01-14,0.906861
2014-01-13,0.901687
2014-01-12,0.901687
2014-01-11,0.896324
2014-01-10,0.894922
2014-01-09,0.891445
2014-01-08,0.883699
2014-01-07,0.880021
2014-01-06,0.879938
2014-01-05,0.879309
2014-01-04,0.875921
2014-01-03,0.873393
2014-01-02,0.875283
2014-01-01,0.874177
2013-12-31,0.872986
2013-12-30,0.872538
2013-12-29,0.871957
2013-12-28,0.869985
2013-12-27,0.868932
2013-12-26,0.869521
2013-12-25,0.870235
2013-12-24,0.871792
2013-12-23,0.872912
2013-12-22,0.872912
2013-12-21,0.875222
2013-12-20,0.876673
2013-12-19,0.87638
2013-12-18,0.87542
2013-12-17,0.875078
2013-12-16,0.875165
2013-12-15,0.875425
2013-12-14,0.876313
2013-12-13,0.876724
2013-12-12,0.878616
2013-12-11,0.882137
2013-12-10,0.881863
2013-12-09,0.879209
2013-12-08,0.879209
2013-12-07,0.875608
2013-12-06,0.874611
2013-12-05,0.874148
2013-12-04,0.872719
2013-12-03,0.866982
2013-12-02,0.861937
2013-12-01,0.861541
2013-11-30,0.861369
2013-11-29,0.862889
2013-11-28,0.864287
2013-11-27,0.865764
2013-11-26,0.864283
2013-11-25,0.862215
2013-11-24,0.862215
2013-11-23,0.862881
2013-11-22,0.865664
2013-11-21,0.870911
2013-11-20,0.871068
2013-11-19,0.871437
2013-11-18,0.869853
2013-11-17,0.869853
2013-11-16,0.868029
2013-11-15,0.865783
2013-11-14,0.863064
2013-11-13,0.863807
2013-11-12,0.864869
2013-11-11,0.866305
2013-11-10,0.866305
2013-11-09,0.87037
2013-11-08,0.873005
2013-11-07,0.871655
2013-11-06,0.864574
2013-11-05,0.862073
2013-11-04,0.861312
2013-11-03,0.861312
2013-11-02,0.862353
2013-11-01,0.864282
2013-10-31,0.863943
2013-10-30,0.864883
2013-10-29,0.86613
2013-10-28,0.865917
2013-10-27,0.865917
2013-10-26,0.868797
2013-10-25,0.870992
2013-10-24,0.871044
2013-10-23,0.872636
2013-10-22,0.873409
2013-10-21,0.873889
2013-10-20,0.873889
2013-10-19,0.872657
2013-10-18,0.872061
2013-10-17,0.870012
2013-10-16,0.866356
2013-10-15,0.86361
2013-10-14,0.862671
2013-10-13,0.862671
2013-10-12,0.862387
2013-10-11,0.860465
2013-10-10,0.859897
2013-10-09,0.857048
2013-10-08,0.856273
2013-10-07,0.856793
2013-10-06,0.856793
2013-10-05,0.855785
2013-10-04,0.855785
2013-10-03,0.853835
2013-10-02,0.854813
2013-10-01,0.853492
2013-09-30,0.853386
2013-09-29,0.853386
2013-09-28,0.853776
2013-09-27,0.851784
2013-09-26,0.851799
2013-09-25,0.857428
2013-09-24,0.861884
2013-09-23,0.86202
2013-09-22,0.86202
2013-09-21,0.860193
2013-09-20,0.853892
2013-09-19,0.847352
2013-09-18,0.845402
2013-09-17,0.843545
2013-09-16,0.841234
2013-09-15,0.841234
2013-09-14,0.840231
2013-09-13,0.837478
2013-09-12,0.833658
2013-09-11,0.832654
2013-09-10,0.831813
2013-09-09,0.831864
2013-09-08,0.831864
2013-09-07,0.82958
2013-09-06,0.827397
2013-09-05,0.825273
2013-09-04,0.822634
2013-09-03,0.818638
2013-09-02,0.815499
2013-09-01,0.815499
2013-08-31,0.817875
2013-08-30,0.817687
2013-08-29,0.817697
2013-08-28,0.821496
2013-08-27,0.821687
2013-08-26,0.820601
2013-08-25,0.820601
2013-08-24,0.822909
2013-08-23,0.823738
2013-08-22,0.827107
2013-08-21,0.83282
2013-08-20,0.837762
2013-08-19,0.836522
2013-08-18,0.836522
2013-08-17,0.833713
2013-08-16,0.83053
2013-08-15,0.826228
2013-08-14,0.824847
2013-08-13,0.826574
2013-08-12,0.82689
2013-08-11,0.82689
2013-08-10,0.827883
2013-08-09,0.827756
2013-08-08,0.820914
2013-08-07,0.812929
2013-08-06,0.810397
2013-08-05,0.815035
2013-08-04,0.815035
2013-08-03,0.816625
2013-08-02,0.818899
2013-08-01,0.821688
2013-07-31,0.82441
2013-07-30,0.829372
2013-07-29,0.830774
2013-07-28,0.830774
2013-07-27,0.828579
2013-07-26,0.82369
2013-07-25,0.821616
2013-07-24,0.823159
2013-07-23,0.821848
2013-07-22,0.822259
2013-07-21,0.822259
2013-07-20,0.821912
2013-07-19,0.82038
2013-07-18,0.818781
2013-07-17,0.815196
2013-07-16,0.810732
2013-07-15,0.81054
2013-07-14,0.81054
2013-07-13,0.814463
2013-07-12,0.820952
2013-07-11,0.824952
2013-07-10,0.823634
2013-07-09,0.817983
2013-07-08,0.817682
2013-07-07,0.817682
2013-07-06,0.820809
2013-07-05,0.819243
2013-07-04,0.817874
2013-07-03,0.818638
2013-07-02,0.816119
2013-07-01,0.814919
2013-06-30,0.814919
2013-06-29,0.81614
2013-06-28,0.815895
2013-06-27,0.814291
2013-06-26,0.813338
2013-06-25,0.812247
2013-06-24,0.80959
2013-06-23,0.80959
2013-06-22,0.807353
2013-06-21,0.810333
2013-06-20,0.81582
2013-06-19,0.816194
2013-06-18,0.818861
2013-06-17,0.819544
2013-06-16,0.819544
2013-06-15,0.817963
2013-06-14,0.811534
2013-06-13,0.806361
2013-06-12,0.801974
2013-06-11,0.803434
2013-06-10,0.808105
2013-06-09,0.808105
2013-06-08,0.817134
2013-06-07,0.824028
2013-06-06,0.827935
2013-06-05,0.828482
2013-06-04,0.826238
2013-06-03,0.82554
2013-06-02,0.82554
2013-06-01,0.831709
2013-05-31,0.838086
2013-05-30,0.84001
2013-05-29,0.837103
2013-05-28,0.835249
2013-05-27,0.835711
2013-05-26,0.835711
2013-05-25,0.836177
2013-05-24,0.836794
2013-05-23,0.837871
2013-05-22,0.83729
2013-05-21,0.833338
2013-05-20,0.829524
2013-05-19,0.829524
2013-05-18,0.831705
2013-05-17,0.835232
2013-05-16,0.836181
2013-05-15,0.835886
2013-05-14,0.837613
2013-05-13,0.839907
2013-05-12,0.839907
2013-05-11,0.8436
2013-05-10,0.845696
2013-05-09,0.847366
2013-05-08,0.855678
2013-05-07,0.859686
2013-05-06,0.860388
2013-05-05,0.860388
2013-05-04,0.858851
2013-05-03,0.857608
2013-05-02,0.862214
2013-05-01,0.865307
2013-04-30,0.864466
2013-04-29,0.863941
2013-04-28,0.863941
2013-04-27,0.868678
2013-04-26,0.869623
2013-04-25,0.865313
2013-04-24,0.863089
2013-04-23,0.864218
2013-04-22,0.864755
2013-04-21,0.864755
2013-04-20,0.865454
2013-04-19,0.866231
