Date,CURRFX.EURCAD.1
2014-04-17,1.51861
2014-04-16,1.51737
2014-04-15,1.52044
2014-04-14,1.51956
2014-04-11,1.50949
2014-04-10,1.50695
2014-04-09,1.50685
2014-04-08,1.50578
2014-04-07,1.50933
2014-04-04,1.51776
2014-04-03,1.52142
2014-04-02,1.52238
2014-04-01,1.52292
2014-03-31,1.52292
2014-03-28,1.53072
2014-03-27,1.54171
2014-03-26,1.54705
2014-03-25,1.54816
2014-03-24,1.54996
2014-03-21,1.55276
2014-03-20,1.54846
2014-03-19,1.54209
2014-03-18,1.54209
2014-03-17,1.54365
2014-03-14,1.54236
2014-03-13,1.54162
2014-03-12,1.5409
2014-03-11,1.54054
2014-03-10,1.53094
2014-03-07,1.51847
2014-03-06,1.52204
2014-03-05,1.52424
2014-03-04,1.52592
2014-03-03,1.52585
2014-02-28,1.52314
2014-02-27,1.52217
2014-02-26,1.52278
2014-02-25,1.52577
2014-02-24,1.52453
2014-02-21,1.5164
2014-02-20,1.50747
2014-02-19,1.50378
2014-02-18,1.50345
2014-02-17,1.5022
2014-02-14,1.49879
2014-02-13,1.50235
2014-02-12,1.50817
2014-02-11,1.50457
2014-02-10,1.50251
2014-02-07,1.4991
2014-02-06,1.49834
2014-02-05,1.49858
2014-02-04,1.49901
2014-02-03,1.50823
2014-01-31,1.52211
2014-01-30,1.52179
2014-01-29,1.51788
2014-01-28,1.51492
2014-01-27,1.51578
2014-01-24,1.50545
2014-01-23,1.48887
2014-01-22,1.48527
2014-01-21,1.48407
2014-01-20,1.48588
2014-01-17,1.49027
2014-01-16,1.49218
2014-01-15,1.48974
2014-01-14,1.48894
2014-01-13,1.48359
2014-01-10,1.47179
2014-01-09,1.46495
2014-01-08,1.45352
2014-01-07,1.44644
2014-01-06,1.45065
2014-01-03,1.46138
2014-01-02,1.46598
2014-01-01,1.46914
2013-12-31,1.47229
2013-12-30,1.46628
2013-12-27,1.45448
2013-12-26,1.4527
2013-12-25,1.45339
2013-12-24,1.45425
2013-12-23,1.45803
2013-12-20,1.46294
2013-12-19,1.4604
2013-12-18,1.45713
2013-12-17,1.45583
2013-12-16,1.45684
2013-12-13,1.46018
2013-12-12,1.46067
2013-12-11,1.46151
2013-12-10,1.45983
2013-12-09,1.45596
2013-12-06,1.45082
2013-12-05,1.44662
2013-12-04,1.44355
2013-12-03,1.44258
2013-12-02,1.44116
2013-11-29,1.43694
2013-11-28,1.4318
2013-11-27,1.42736
2013-11-26,1.42696
2013-11-25,1.41957
2013-11-22,1.41038
2013-11-21,1.41302
2013-11-20,1.41024
2013-11-19,1.40848
2013-11-18,1.40947
2013-11-15,1.40987
2013-11-14,1.40776
2013-11-13,1.40451
2013-11-12,1.40151
2013-11-11,1.40242
2013-11-08,1.40679
2013-11-07,1.40932
2013-11-06,1.40755
2013-11-05,1.40589
2013-11-04,1.41485
2013-11-01,1.43304
2013-10-31,1.43854
2013-10-30,1.43963
2013-10-29,1.44159
2013-10-28,1.43919
2013-10-25,1.43008
2013-10-24,1.41838
2013-10-23,1.41012
2013-10-22,1.40796
2013-10-21,1.40591
2013-10-18,1.40207
2013-10-17,1.40155
2013-10-16,1.40269
2013-10-15,1.40374
2013-10-14,1.40312
2013-10-11,1.40406
2013-10-10,1.40406
2013-10-09,1.40111
2013-10-08,1.398
2013-10-07,1.39923
2013-10-04,1.4033
2013-10-03,1.39897
2013-10-02,1.39484
2013-10-01,1.39253
2013-09-30,1.39339
2013-09-27,1.39227
2013-09-26,1.38984
2013-09-25,1.3892
2013-09-24,1.39204
