Date,CURRFX.EURCHF.1
2014-02-28,1.21847
2014-02-27,1.21968
2014-02-26,1.21996
2014-02-25,1.21982
2014-02-24,1.21985
2014-02-21,1.22054
2014-02-20,1.22169
2014-02-19,1.22219
2014-02-18,1.22207
2014-02-17,1.22235
2014-02-14,1.22337
2014-02-13,1.22444
2014-02-12,1.22396
2014-02-11,1.22404
2014-02-10,1.22387
2014-02-07,1.22268
2014-02-06,1.22159
2014-02-05,1.22118
2014-02-04,1.2219
2014-02-03,1.22276
2014-01-31,1.22446
2014-01-30,1.22651
2014-01-29,1.22605
2014-01-28,1.22445
2014-01-27,1.22691
2014-01-24,1.23354
2014-01-23,1.23471
2014-01-22,1.23435
2014-01-21,1.2331
2014-01-20,1.23367
2014-01-17,1.23538
2014-01-16,1.23405
2014-01-15,1.23209
2014-01-14,1.23307
2014-01-13,1.2348
2014-01-10,1.23709
2014-01-09,1.23666
2014-01-08,1.23367
2014-01-07,1.23077
2014-01-06,1.2296
2014-01-03,1.2276
2014-01-02,1.22556
2014-01-01,1.22573
2013-12-31,1.22573
2013-12-30,1.22589
2013-12-27,1.22612
2013-12-26,1.22528
2013-12-25,1.22496
2013-12-24,1.22536
2013-12-23,1.22496
2013-12-20,1.22279
2013-12-19,1.22032
2013-12-18,1.22091
2013-12-17,1.22175
2013-12-16,1.22226
2013-12-13,1.22228
2013-12-12,1.22196
2013-12-11,1.22291
2013-12-10,1.223
2013-12-09,1.22394
2013-12-06,1.22706
2013-12-05,1.22894
2013-12-04,1.23034
2013-12-03,1.2313
2013-12-02,1.23178
2013-11-29,1.23184
2013-11-28,1.23159
2013-11-27,1.23151
2013-11-26,1.23024
2013-11-25,1.23024
2013-11-22,1.23205
2013-11-21,1.23276
2013-11-20,1.23322
2013-11-19,1.23399
2013-11-18,1.23396
2013-11-15,1.2326
2013-11-14,1.23249
2013-11-13,1.23268
2013-11-12,1.2322
2013-11-11,1.23166
2013-11-08,1.23097
2013-11-07,1.23097
2013-11-06,1.23027
2013-11-05,1.23082
2013-11-04,1.23176
2013-11-01,1.23441
2013-10-31,1.23556
2013-10-30,1.23467
2013-10-29,1.23317
2013-10-28,1.23141
2013-10-25,1.23062
2013-10-24,1.23244
2013-10-23,1.23435
2013-10-22,1.23449
2013-10-21,1.23434
2013-10-18,1.23473
2013-10-17,1.23522
2013-10-16,1.23462
2013-10-15,1.23425
2013-10-14,1.23381
2013-10-11,1.23086
2013-10-10,1.22873
2013-10-09,1.22743
2013-10-08,1.22821
2013-10-07,1.22832
2013-10-04,1.22568
2013-10-03,1.2249
2013-10-02,1.22387
2013-10-01,1.22358
2013-09-30,1.22683
2013-09-27,1.22961
2013-09-26,1.22987
2013-09-25,1.23023
2013-09-24,1.23144
2013-09-23,1.23221
2013-09-20,1.2345
2013-09-19,1.23653
2013-09-18,1.23667
2013-09-17,1.23618
2013-09-16,1.23663
2013-09-13,1.23843
2013-09-12,1.23891
2013-09-11,1.23711
2013-09-10,1.2366
2013-09-09,1.2366
2013-09-06,1.23647
2013-09-05,1.23395
2013-09-04,1.2326
2013-09-03,1.23106
2013-09-02,1.23007
2013-08-30,1.23023
2013-08-29,1.22968
2013-08-28,1.23213
2013-08-27,1.23376
2013-08-26,1.23328
2013-08-23,1.23257
2013-08-22,1.23152
2013-08-21,1.23314
2013-08-20,1.23652
2013-08-19,1.23652
2013-08-16,1.23934
2013-08-15,1.23744
2013-08-14,1.23337
2013-08-13,1.2311
2013-08-12,1.23038
2013-08-09,1.23029
2013-08-08,1.23084
2013-08-07,1.23191
2013-08-06,1.23381
2013-08-05,1.23389
2013-08-02,1.23306
2013-08-01,1.23305
2013-07-31,1.23381
2013-07-30,1.23323
2013-07-29,1.23427
2013-07-26,1.23676
2013-07-25,1.23677
2013-07-24,1.23603
2013-07-23,1.23621
2013-07-22,1.23666
2013-07-19,1.23625
2013-07-18,1.23658
2013-07-17,1.23772
2013-07-16,1.23772
2013-07-15,1.23824
2013-07-12,1.24156
2013-07-11,1.24321
2013-07-10,1.24143
2013-07-09,1.23819
2013-07-08,1.23537
2013-07-05,1.23294
2013-07-04,1.23342
2013-07-03,1.23431
2013-07-02,1.23141
2013-07-01,1.22939
2013-06-28,1.22847
2013-06-27,1.22633
2013-06-26,1.22592
2013-06-25,1.22576
2013-06-24,1.22807
2013-06-21,1.2315
2013-06-20,1.23243
2013-06-19,1.23218
2013-06-18,1.23101
2013-06-17,1.22886
2013-06-14,1.22888
2013-06-13,1.23188
2013-06-12,1.23565
2013-06-11,1.23758
2013-06-10,1.23584
2013-06-07,1.23505
2013-06-06,1.23833
2013-06-05,1.24082
2013-06-04,1.24233
2013-06-03,1.24288
2013-05-31,1.24728
2013-05-30,1.24846
2013-05-29,1.24846
2013-05-28,1.24428
2013-05-27,1.24701
2013-05-24,1.25412
2013-05-23,1.25302
2013-05-22,1.24711
2013-05-21,1.24667
2013-05-20,1.24642
2013-05-17,1.24487
2013-05-16,1.24592
2013-05-15,1.24278
2013-05-14,1.24291
2013-05-13,1.23887
2013-05-10,1.23139
2013-05-09,1.23049
2013-05-08,1.22856
2013-05-07,1.22721
2013-05-06,1.2249
2013-05-03,1.22271
2013-05-02,1.2245
2013-05-01,1.22663
2013-04-30,1.22842
2013-04-29,1.22997
2013-04-26,1.23165
2013-04-25,1.22747
2013-04-24,1.22129
2013-04-23,1.21918
2013-04-22,1.21779
2013-04-19,1.21572
2013-04-18,1.21544
2013-04-17,1.21564
2013-04-16,1.21601
2013-04-15,1.21723
2013-04-12,1.21918
2013-04-11,1.21914
2013-04-10,1.21753
2013-04-09,1.21492
2013-04-08,1.21465
2013-04-05,1.21545
2013-04-04,1.21601
2013-04-03,1.21641
2013-04-02,1.21688
2013-04-01,1.21755
2013-03-29,1.21856
2013-03-28,1.21934
2013-03-27,1.22093
2013-03-26,1.22196
2013-03-25,1.22201
2013-03-22,1.22174
2013-03-21,1.22208
2013-03-20,1.22273
2013-03-19,1.22345
2013-03-18,1.2298
2013-03-15,1.23372
2013-03-14,1.23393
2013-03-13,1.23542
2013-03-12,1.23672
2013-03-11,1.23555
2013-03-08,1.23172
2013-03-07,1.22861
2013-03-06,1.22651
2013-03-05,1.22657
2013-03-04,1.22539
2013-03-01,1.22043
2013-02-28,1.21811
2013-02-27,1.22112
2013-02-26,1.22706
2013-02-25,1.22785
2013-02-22,1.23192
2013-02-21,1.2341
2013-02-20,1.23317
2013-02-19,1.23236
2013-02-18,1.23186
2013-02-15,1.2331
2013-02-14,1.23411
2013-02-13,1.23131
2013-02-12,1.22769
2013-02-11,1.22768
2013-02-08,1.23136
2013-02-07,1.2318
2013-02-06,1.23194
2013-02-05,1.23683
2013-02-04,1.23744
2013-02-01,1.23754
2013-01-31,1.24265
2013-01-30,1.24543
2013-01-29,1.24752
2013-01-28,1.24425
2013-01-25,1.23899
2013-01-24,1.23851
2013-01-23,1.24103
2013-01-22,1.24325
2013-01-21,1.24349
2013-01-18,1.24034
2013-01-17,1.2369
2013-01-16,1.23141
2013-01-15,1.22238
2013-01-14,1.21539
2013-01-11,1.20938
2013-01-10,1.20883
2013-01-09,1.20883
2013-01-08,1.20863
2013-01-07,1.20889
2013-01-04,1.20918
2013-01-03,1.20811
2013-01-02,1.20737
2013-01-01,1.20737
2012-12-31,1.20784
2012-12-28,1.20808
2012-12-27,1.20746
2012-12-26,1.20751
2012-12-25,1.20763
