Date,CURRFX.GBPUSD.1
2014-04-16,1.67243
2014-04-15,1.67288
2014-04-14,1.6752
2014-04-11,1.67741
2014-04-10,1.67241
2014-04-09,1.6642
2014-04-08,1.65828
2014-04-07,1.65908
2014-04-04,1.66222
2014-04-03,1.6641
2014-04-02,1.66499
2014-04-01,1.66451
2014-03-31,1.66237
2014-03-28,1.65778
2014-03-27,1.65297
2014-03-26,1.64995
2014-03-25,1.65031
2014-03-24,1.65031
2014-03-21,1.65538
2014-03-20,1.66056
2014-03-19,1.66205
2014-03-18,1.66411
2014-03-17,1.66502
2014-03-14,1.66384
2014-03-13,1.66219
2014-03-12,1.66513
2014-03-11,1.66986
2014-03-10,1.67194
2014-03-07,1.67107
2014-03-06,1.66831
2014-03-05,1.66906
2014-03-04,1.67306
2014-03-03,1.67128
2014-02-28,1.66668
2014-02-27,1.66725
2014-02-26,1.66634
2014-02-25,1.66309
2014-02-24,1.66343
2014-02-21,1.66744
2014-02-20,1.66953
2014-02-19,1.6723
2014-02-18,1.67483
2014-02-17,1.67003
2014-02-14,1.65831
2014-02-13,1.64739
2014-02-12,1.6422
2014-02-11,1.64083
2014-02-10,1.63736
2014-02-07,1.63102
2014-02-06,1.63102
2014-02-05,1.63349
2014-02-04,1.64028
2014-02-03,1.6469
2014-01-31,1.65375
2014-01-30,1.65765
2014-01-29,1.6566
2014-01-28,1.65144
2014-01-27,1.65254
2014-01-24,1.65613
2014-01-23,1.64906
2014-01-22,1.64345
2014-01-21,1.64249
2014-01-20,1.63955
2014-01-17,1.63709
2014-01-16,1.64058
2014-01-15,1.64243
2014-01-14,1.64583
2014-01-13,1.6474
2014-01-10,1.64438
2014-01-09,1.64149
2014-01-08,1.6398
2014-01-07,1.64005
2014-01-06,1.64584
2014-01-03,1.65426
2014-01-02,1.65482
2014-01-01,1.65089
2013-12-31,1.64876
2013-12-30,1.6448
2013-12-27,1.6384
2013-12-26,1.63641
2013-12-25,1.63527
2013-12-24,1.63431
2013-12-23,1.63482
2013-12-20,1.63572
2013-12-19,1.63151
2013-12-18,1.6298
2013-12-17,1.63059
2013-12-16,1.63268
2013-12-13,1.63851
2013-12-12,1.64234
2013-12-11,1.64126
2013-12-10,1.63625
2013-12-09,1.63546
2013-12-06,1.63658
2013-12-05,1.63798
2013-12-04,1.63874
2013-12-03,1.63827
2013-12-02,1.63499
2013-11-29,1.62914
2013-11-28,1.62182
2013-11-27,1.61802
2013-11-26,1.62076
2013-11-25,1.61844
2013-11-22,1.612
2013-11-21,1.61221
2013-11-20,1.61096
2013-11-19,1.61167
2013-11-18,1.60908
2013-11-15,1.60085
2013-11-14,1.59394
2013-11-13,1.59635
2013-11-12,1.60069
2013-11-11,1.60386
2013-11-08,1.60754
2013-11-07,1.60518
2013-11-06,1.59826
2013-11-05,1.59378
2013-11-04,1.59652
2013-11-01,1.60403
2013-10-31,1.60647
2013-10-30,1.61184
2013-10-29,1.61702
2013-10-28,1.61733
2013-10-25,1.61855
2013-10-24,1.61804
2013-10-23,1.61619
2013-10-22,1.61622
2013-10-21,1.61263
2013-10-18,1.60256
2013-10-17,1.59778
2013-10-16,1.59768
2013-10-15,1.59735
2013-10-14,1.59534
2013-10-11,1.5972
2013-10-10,1.60381
2013-10-09,1.6076
2013-10-08,1.60403
2013-10-07,1.60794
2013-10-04,1.62036
2013-10-03,1.62073
2013-10-02,1.61956
2013-10-01,1.61545
2013-09-30,1.61074
2013-09-27,1.60441
2013-09-26,1.60212
2013-09-25,1.60208
2013-09-24,1.6023
2013-09-23,1.60397
2013-09-20,1.60445
2013-09-19,1.59352
2013-09-18,1.59154
2013-09-17,1.5913
2013-09-16,1.58519
2013-09-13,1.57972
2013-09-12,1.57444
2013-09-11,1.56938
2013-09-10,1.56548
2013-09-09,1.56251
2013-09-06,1.56038
2013-09-05,1.55783
2013-09-04,1.55534
2013-09-03,1.55335
2013-09-02,1.55079
2013-08-30,1.55166
2013-08-29,1.55291
2013-08-28,1.55566
2013-08-27,1.55717
2013-08-26,1.55785
2013-08-23,1.56252
2013-08-22,1.56687
2013-08-21,1.5653
2013-08-20,1.56359
2013-08-19,1.56008
2013-08-16,1.55268
2013-08-15,1.54691
2013-08-14,1.54685
2013-08-13,1.54914
2013-08-12,1.55052
2013-08-09,1.54727
2013-08-08,1.53819
2013-08-07,1.53422
2013-08-06,1.53069
2013-08-05,1.52452
2013-08-02,1.51831
2013-08-01,1.52448
2013-07-31,1.53299
2013-07-30,1.53775
2013-07-29,1.53628
2013-07-26,1.53378
2013-07-25,1.53562
2013-07-24,1.53432
2013-07-23,1.52957
2013-07-22,1.52409
2013-07-19,1.51899
2013-07-18,1.5145
2013-07-17,1.51026
2013-07-16,1.50999
2013-07-15,1.51116
2013-07-12,1.50341
2013-07-11,1.48982
2013-07-10,1.49032
2013-07-09,1.48986
2013-07-08,1.49929
2013-07-05,1.51952
2013-07-04,1.52038
2013-07-03,1.5202
2013-07-02,1.52164
2013-07-01,1.52432
2013-06-28,1.53255
2013-06-27,1.54006
2013-06-26,1.54203
2013-06-25,1.54035
2013-06-24,1.54365
2013-06-21,1.55262
2013-06-20,1.56407
2013-06-19,1.56837
2013-06-18,1.57108
2013-06-17,1.56973
2013-06-14,1.5673
2013-06-13,1.5632
2013-06-12,1.55656
2013-06-11,1.55468
2013-06-10,1.55225
2013-06-07,1.54215
2013-06-06,1.53327
2013-06-05,1.52884
2013-06-04,1.52374
2013-06-03,1.51866
2013-05-31,1.51319
2013-05-30,1.50761
2013-05-29,1.51001
2013-05-28,1.5123
2013-05-27,1.51023
2013-05-24,1.5082
2013-05-23,1.51449
2013-05-22,1.52025
2013-05-21,1.5192
2013-05-20,1.51967
2013-05-17,1.52371
2013-05-16,1.52438
2013-05-15,1.53061
2013-05-14,1.53492
2013-05-13,1.54275
2013-05-10,1.55188
2013-05-09,1.55118
2013-05-08,1.5536
2013-05-07,1.5566
2013-05-06,1.55653
2013-05-03,1.55525
2013-05-02,1.5535
2013-05-01,1.55061
2013-04-30,1.54957
2013-04-29,1.54368
2013-04-26,1.53277
2013-04-25,1.52567
2013-04-24,1.52541
2013-04-23,1.52384
2013-04-22,1.52435
2013-04-19,1.52752
2013-04-18,1.53048
2013-04-17,1.53171
2013-04-16,1.53309
2013-04-15,1.535
2013-04-12,1.53457
2013-04-11,1.53115
2013-04-10,1.52977
2013-04-09,1.53174
2013-04-08,1.52583
2013-04-05,1.51299
2013-04-04,1.51396
2013-04-03,1.51929
2013-04-02,1.52034
2013-04-01,1.51813
2013-03-29,1.51475
2013-03-28,1.5151
2013-03-27,1.51874
2013-03-26,1.52215
2013-03-25,1.51963
2013-03-22,1.51298
2013-03-21,1.51081
2013-03-20,1.51064
2013-03-19,1.51114
2013-03-18,1.50658
2013-03-15,1.49578
2013-03-14,1.49161
2013-03-13,1.49001
2013-03-12,1.49184
2013-03-11,1.49595
2013-03-08,1.5046
2013-03-07,1.51107
2013-03-06,1.51005
2013-03-05,1.5045
2013-03-04,1.50865
2013-03-01,1.51571
2013-02-28,1.51414
2013-02-27,1.51543
2013-02-26,1.51436
2013-02-25,1.51864
2013-02-22,1.52834
2013-02-21,1.54017
2013-02-20,1.54698
2013-02-19,1.54945
2013-02-18,1.55169
2013-02-15,1.55563
2013-02-14,1.56266
2013-02-13,1.56779
2013-02-12,1.57619
2013-02-11,1.5757
2013-02-08,1.56726
2013-02-07,1.56855
2013-02-06,1.57254
2013-02-05,1.571
2013-02-04,1.57408
2013-02-01,1.57997
2013-01-31,1.57511
2013-01-30,1.57265
2013-01-29,1.57601
2013-01-28,1.58061
2013-01-25,1.58271
2013-01-24,1.58448
2013-01-23,1.58523
2013-01-22,1.58637
2013-01-21,1.59198
2013-01-18,1.60133
2013-01-17,1.60479
2013-01-16,1.60858
2013-01-15,1.61167
2013-01-14,1.61039
2013-01-11,1.6049
2013-01-10,1.60578
2013-01-09,1.60774
2013-01-08,1.60659
2013-01-07,1.61193
2013-01-04,1.62342
2013-01-03,1.62704
2013-01-02,1.62221
2013-01-01,1.61775
2012-12-31,1.61524
2012-12-28,1.61357
2012-12-27,1.61327
2012-12-26,1.61431
2012-12-25,1.61645
2012-12-24,1.62043
2012-12-21,1.62653
2012-12-20,1.625
2012-12-19,1.62084
2012-12-18,1.61824
2012-12-17,1.61568
2012-12-14,1.61288
2012-12-13,1.61126
2012-12-12,1.60736
2012-12-11,1.60455
2012-12-10,1.60605
2012-12-07,1.60933
2012-12-06,1.60864
2012-12-05,1.60864
2012-12-04,1.60401
2012-12-03,1.60162
2012-11-30,1.60161
2012-11-29,1.60148
2012-11-28,1.6027
2012-11-27,1.60241
2012-11-26,1.6
2012-11-23,1.59415
2012-11-22,1.59201
2012-11-21,1.59108
2012-11-20,1.58954
2012-11-19,1.58685
2012-11-16,1.58582
2012-11-15,1.58738
2012-11-14,1.58823
2012-11-13,1.58932
2012-11-12,1.59253
2012-11-09,1.59839
2012-11-08,1.59913
2012-11-07,1.59889
2012-11-06,1.60074
2012-11-05,1.60652
2012-11-02,1.61234
2012-11-01,1.60834
2012-10-31,1.60578
2012-10-30,1.60767
2012-10-29,1.60976
2012-10-26,1.60526
2012-10-25,1.59866
2012-10-24,1.59996
2012-10-23,1.60157
2012-10-22,1.60515
2012-10-19,1.61337
2012-10-18,1.61245
2012-10-17,1.60804
2012-10-16,1.60634
2012-10-15,1.60542
2012-10-12,1.60153
2012-10-11,1.6009
2012-10-10,1.60394
2012-10-09,1.60957
2012-10-08,1.61318
2012-10-05,1.61182
2012-10-04,1.61218
2012-10-03,1.61425
2012-10-02,1.61483
2012-10-01,1.61788
2012-09-28,1.61906
2012-09-27,1.61951
2012-09-26,1.62229
2012-09-25,1.62196
2012-09-24,1.62189
2012-09-21,1.6214
2012-09-20,1.62375
2012-09-19,1.62397
2012-09-18,1.6227
2012-09-17,1.61787
2012-09-14,1.61071
2012-09-13,1.60675
2012-09-12,1.60162
2012-09-11,1.60036
2012-09-10,1.59752
2012-09-07,1.59018
2012-09-06,1.58831
2012-09-05,1.58823
2012-09-04,1.58731
2012-09-03,1.585
2012-08-31,1.58238
2012-08-30,1.58134
2012-08-29,1.57991
2012-08-28,1.58081
2012-08-27,1.58392
2012-08-24,1.58483
2012-08-23,1.57799
