Date,CURRFX.EURUSD.1
2014-02-28,1.36972
2014-02-27,1.37305
2014-02-26,1.37412
2014-02-25,1.37388
2014-02-24,1.37342
2014-02-21,1.37367
2014-02-20,1.37452
2014-02-19,1.37188
2014-02-18,1.37009
2014-02-17,1.36731
2014-02-14,1.36294
2014-02-13,1.36323
2014-02-12,1.36491
2014-02-11,1.36331
2014-02-10,1.36039
2014-02-07,1.3538
2014-02-06,1.35184
2014-02-05,1.351
2014-02-04,1.34942
2014-02-03,1.353
2014-01-31,1.36286
2014-01-30,1.36612
2014-01-29,1.36705
2014-01-28,1.36786
2014-01-27,1.36503
2014-01-24,1.35884
2014-01-23,1.35521
2014-01-22,1.35446
2014-01-21,1.35446
2014-01-20,1.35662
2014-01-17,1.36172
2014-01-16,1.36441
2014-01-15,1.36693
2014-01-14,1.3667
2014-01-13,1.36373
2014-01-10,1.35943
2014-01-09,1.36127
2014-01-08,1.36183
2014-01-07,1.3599
2014-01-06,1.36346
2014-01-03,1.37434
2014-01-02,1.37876
2014-01-01,1.37791
2013-12-31,1.37606
2013-12-30,1.37271
2013-12-27,1.36839
2013-12-26,1.3684
2013-12-25,1.3684
2013-12-24,1.3682
2013-12-23,1.36729
2013-12-20,1.37055
2013-12-19,1.37609
2013-12-18,1.37609
2013-12-17,1.37527
2013-12-16,1.37547
2013-12-13,1.37732
2013-12-12,1.37642
2013-12-11,1.37393
2013-12-10,1.37126
2013-12-09,1.36737
2013-12-06,1.36024
2013-12-05,1.3575
2013-12-04,1.3566
2013-12-03,1.3579
2013-12-02,1.35908
2013-11-29,1.35861
2013-11-28,1.35656
2013-11-27,1.35374
2013-11-26,1.35405
2013-11-25,1.35141
2013-11-22,1.34713
2013-11-21,1.3517
2013-11-20,1.351
2013-11-19,1.35004
2013-11-18,1.34835
2013-11-15,1.34529
2013-11-14,1.34259
2013-11-13,1.33985
2013-11-12,1.33771
2013-11-11,1.34105
2013-11-08,1.34857
2013-11-07,1.35003
2013-11-06,1.34957
2013-11-05,1.34954
2013-11-04,1.35533
2013-11-01,1.37009
2013-10-31,1.37571
2013-10-30,1.37815
2013-10-29,1.38017
2013-10-28,1.37999
2013-10-25,1.37874
2013-10-24,1.37506
2013-10-23,1.36967
2013-10-22,1.36798
2013-10-21,1.36561
2013-10-18,1.35727
2013-10-17,1.35272
2013-10-16,1.35433
2013-10-15,1.35573
2013-10-14,1.35342
2013-10-11,1.35261
2013-10-10,1.35529
2013-10-09,1.35735
2013-10-08,1.35661
2013-10-07,1.35758
2013-10-04,1.35822
2013-10-03,1.35413
2013-10-02,1.35262
2013-10-01,1.35145
2013-09-30,1.35159
2013-09-27,1.35011
2013-09-26,1.34926
2013-09-25,1.34986
2013-09-24,1.35192
2013-09-23,1.35279
2013-09-20,1.34749
2013-09-19,1.33634
2013-09-18,1.33513
2013-09-17,1.33339
2013-09-16,1.32992
2013-09-13,1.32952
2013-09-12,1.32691
2013-09-11,1.32368
2013-09-10,1.3195
2013-09-09,1.31773
2013-09-06,1.31743
2013-09-05,1.31788
2013-09-04,1.31876
2013-09-03,1.32112
2013-09-02,1.3244
2013-08-30,1.33139
2013-08-29,1.3366
2013-08-28,1.33732
2013-08-27,1.33792
2013-08-26,1.3369
2013-08-23,1.3364
2013-08-22,1.33891
2013-08-21,1.33635
2013-08-20,1.33337
2013-08-19,1.33109
2013-08-16,1.32752
2013-08-15,1.3268
2013-08-14,1.32939
2013-08-13,1.33227
2013-08-12,1.33477
2013-08-09,1.33385
2013-08-08,1.32969
2013-08-07,1.32746
2013-08-06,1.32734
2013-08-05,1.32701
2013-08-02,1.3259
2013-08-01,1.3266
2013-07-31,1.32673
2013-07-30,1.32759
2013-07-29,1.32549
2013-07-26,1.32164
2013-07-25,1.32091
2013-07-24,1.3187
2013-07-23,1.31596
2013-07-22,1.31284
2013-07-19,1.31173
2013-07-18,1.31232
2013-07-17,1.30824
2013-07-16,1.30591
2013-07-15,1.30684
2013-07-12,1.29806
2013-07-11,1.28269
2013-07-10,1.28381
2013-07-09,1.28381
2013-07-08,1.28842
2013-07-05,1.29736
2013-07-04,1.29983
2013-07-03,1.30354
2013-07-02,1.30257
2013-07-01,1.30164
2013-06-28,1.30342
2013-06-27,1.30707
2013-06-26,1.3109
2013-06-25,1.3111
2013-06-24,1.31658
2013-06-21,1.32916
2013-06-20,1.33798
2013-06-19,1.33615
2013-06-18,1.33421
2013-06-17,1.3344
2013-06-14,1.33297
2013-06-13,1.32966
2013-06-12,1.32511
2013-06-11,1.32164
2013-06-10,1.31893
2013-06-07,1.31197
2013-06-06,1.30778
2013-06-05,1.3055
2013-06-04,1.30156
2013-06-03,1.29944
2013-05-31,1.29534
2013-05-30,1.2899
2013-05-29,1.2915
2013-05-28,1.29333
2013-05-27,1.29119
2013-05-24,1.28916
2013-05-23,1.28994
2013-05-22,1.28744
2013-05-21,1.28487
2013-05-20,1.28543
2013-05-17,1.28877
2013-05-16,1.2928
2013-05-15,1.29795
2013-05-14,1.29808
2013-05-13,1.30419
2013-05-10,1.31279
2013-05-09,1.31087
2013-05-08,1.30924
2013-05-07,1.31073
2013-05-06,1.31238
2013-05-03,1.31559
2013-05-02,1.3158
2013-05-01,1.30968
2013-04-30,1.30577
2013-04-29,1.30321
2013-04-26,1.30226
2013-04-25,1.30099
2013-04-24,1.30342
2013-04-23,1.30539
2013-04-22,1.30516
2013-04-19,1.30813
2013-04-18,1.31174
2013-04-17,1.30914
2013-04-16,1.30909
2013-04-15,1.31033
2013-04-12,1.30864
2013-04-11,1.30705
2013-04-10,1.3033
2013-04-09,1.29984
2013-04-08,1.29401
2013-04-05,1.28386
2013-04-04,1.28312
2013-04-03,1.28329
2013-04-02,1.28171
2013-04-01,1.28116
2013-03-29,1.28052
2013-03-28,1.28335
2013-03-27,1.29027
2013-03-26,1.29731
2013-03-25,1.29639
2013-03-22,1.29176
2013-03-21,1.2917
2013-03-20,1.29316
2013-03-19,1.29829
2013-03-18,1.30336
2013-03-15,1.29792
2013-03-14,1.30137
2013-03-13,1.30203
2013-03-12,1.30063
2013-03-11,1.30141
2013-03-08,1.30317
2013-03-07,1.30356
2013-03-06,1.30247
2013-03-05,1.30133
2013-03-04,1.30574
2013-03-01,1.31075
2013-02-28,1.30781
2013-02-27,1.31192
2013-02-26,1.32019
2013-02-25,1.3206
2013-02-22,1.32929
2013-02-21,1.33748
2013-02-20,1.33532
2013-02-19,1.33525
2013-02-18,1.33714
2013-02-15,1.34162
2013-02-14,1.34422
2013-02-13,1.34041
2013-02-12,1.33773
2013-02-11,1.34165
2013-02-08,1.35167
2013-02-07,1.35406
2013-02-06,1.35509
2013-02-05,1.36114
2013-02-04,1.36125
2013-02-01,1.35508
2013-01-31,1.34987
2013-01-30,1.34556
2013-01-29,1.34565
2013-01-28,1.34143
2013-01-25,1.33268
2013-01-24,1.33192
2013-01-23,1.33204
2013-01-22,1.33176
2013-01-21,1.33226
2013-01-18,1.33135
2013-01-17,1.33142
2013-01-16,1.33582
2013-01-15,1.33591
2013-01-14,1.32537
2013-01-11,1.30997
2013-01-10,1.30828
2013-01-09,1.30893
2013-01-08,1.30657
2013-01-07,1.30925
2013-01-04,1.31698
2013-01-03,1.32214
2013-01-02,1.31995
2013-01-01,1.32091
2012-12-31,1.32269
2012-12-28,1.32266
2012-12-27,1.31948
2012-12-26,1.31898
2012-12-25,1.31911
2012-12-24,1.32043
2012-12-21,1.32407
2012-12-20,1.32275
2012-12-19,1.31763
2012-12-18,1.31628
2012-12-17,1.31279
2012-12-14,1.30554
2012-12-13,1.30041
2012-12-12,1.29484
2012-12-11,1.29192
2012-12-10,1.29675
2012-12-07,1.30589
2012-12-06,1.30848
2012-12-05,1.30583
2012-12-04,1.30156
2012-12-03,1.29791
2012-11-30,1.2952
2012-11-29,1.29404
2012-11-28,1.29643
2012-11-27,1.29682
