Date,CURRFX.GBPCAD.1
2014-04-16,1.83612
2014-04-15,1.83603
2014-04-14,1.83403
2014-04-11,1.82912
2014-04-10,1.82744
2014-04-09,1.82417
2014-04-08,1.82084
2014-04-07,1.82449
2014-04-04,1.83306
2014-04-03,1.83633
2014-04-02,1.83953
2014-04-01,1.83978
2014-03-31,1.83992
2014-03-28,1.84104
2014-03-27,1.8451
2014-03-26,1.84821
2014-03-25,1.85062
2014-03-24,1.85403
2014-03-21,1.85675
2014-03-20,1.8478
2014-03-19,1.84029
2014-03-18,1.84501
2014-03-17,1.84722
2014-03-14,1.84613
2014-03-13,1.84753
2014-03-12,1.8499
2014-03-11,1.85346
2014-03-10,1.84932
2014-03-07,1.84489
2014-03-06,1.84852
2014-03-05,1.84986
2014-03-04,1.8523
2014-03-03,1.85389
2014-02-28,1.85342
2014-02-27,1.84851
2014-02-26,1.84669
2014-02-25,1.84695
2014-02-24,1.84668
2014-02-21,1.8415
2014-02-20,1.83115
2014-02-19,1.83304
2014-02-18,1.8379
2014-02-17,1.83511
2014-02-14,1.82314
2014-02-13,1.81544
2014-02-12,1.81454
2014-02-11,1.81074
2014-02-10,1.80869
2014-02-07,1.80633
2014-02-06,1.80776
2014-02-05,1.81161
2014-02-04,1.82241
2014-02-03,1.83628
2014-01-31,1.84689
2014-01-30,1.84665
2014-01-29,1.83941
2014-01-28,1.82898
2014-01-27,1.83477
2014-01-24,1.83533
2014-01-23,1.81135
2014-01-22,1.8021
2014-01-21,1.79972
2014-01-20,1.79572
2014-01-17,1.79183
2014-01-16,1.79435
2014-01-15,1.79001
2014-01-14,1.79315
2014-01-13,1.7912
2014-01-10,1.77998
2014-01-09,1.7664
2014-01-08,1.75055
2014-01-07,1.74432
2014-01-06,1.75068
2014-01-03,1.75925
2014-01-02,1.75971
2014-01-01,1.75997
2013-12-31,1.76414
2013-12-30,1.75657
2013-12-27,1.74138
2013-12-26,1.73752
2013-12-25,1.73704
2013-12-24,1.73725
2013-12-23,1.74322
2013-12-20,1.74645
2013-12-19,1.73156
2013-12-18,1.72588
2013-12-17,1.726
2013-12-16,1.72934
2013-12-13,1.73718
2013-12-12,1.74281
2013-12-11,1.74595
2013-12-10,1.74201
2013-12-09,1.7417
2013-12-06,1.74551
2013-12-05,1.74557
2013-12-04,1.74381
2013-12-03,1.74036
2013-12-02,1.73404
2013-11-29,1.72305
2013-11-28,1.71148
2013-11-27,1.70613
2013-11-26,1.70803
2013-11-25,1.69926
2013-11-22,1.68791
2013-11-21,1.68529
2013-11-20,1.68168
2013-11-19,1.68147
2013-11-18,1.68206
2013-11-15,1.67772
2013-11-14,1.67132
2013-11-13,1.67318
2013-11-12,1.67683
2013-11-11,1.6773
2013-11-08,1.67705
2013-11-07,1.67586
2013-11-06,1.66704
2013-11-05,1.66035
2013-11-04,1.66624
2013-11-01,1.67792
2013-10-31,1.67983
2013-10-30,1.68365
2013-10-29,1.68894
2013-10-28,1.68666
2013-10-25,1.67897
2013-10-24,1.66928
2013-10-23,1.66411
2013-10-22,1.66345
2013-10-21,1.6601
2013-10-18,1.65549
2013-10-17,1.65544
2013-10-16,1.6545
2013-10-15,1.65387
2013-10-14,1.65401
2013-10-11,1.65937
2013-10-10,1.66163
2013-10-09,1.65933
2013-10-08,1.65307
2013-10-07,1.65734
2013-10-04,1.67417
2013-10-03,1.6744
2013-10-02,1.66997
2013-10-01,1.66462
2013-09-30,1.66075
2013-09-27,1.65441
2013-09-26,1.65022
2013-09-25,1.64874
2013-09-24,1.64997
2013-09-23,1.64786
2013-09-20,1.64413
2013-09-19,1.64149
2013-09-18,1.64116
2013-09-17,1.64274
2013-09-16,1.63912
2013-09-13,1.63147
2013-09-12,1.62937
2013-09-11,1.62762
2013-09-10,1.62745
2013-09-09,1.63132
2013-09-06,1.63879
2013-09-05,1.63964
2013-09-04,1.63918
2013-09-03,1.63656
2013-09-02,1.63223
2013-08-30,1.62893
2013-08-29,1.63041
2013-08-28,1.63521
