Date,CURRFX.EURAUD.1
2014-04-16,1.47198
2014-04-15,1.47396
2014-04-14,1.47617
2014-04-11,1.47315
2014-04-10,1.47537
2014-04-09,1.47836
2014-04-08,1.47738
2014-04-07,1.4807
2014-04-04,1.49047
2014-04-03,1.49079
2014-04-02,1.48909
2014-04-01,1.48808
2014-03-31,1.48806
2014-03-28,1.49403
2014-03-27,1.50406
2014-03-26,1.51287
2014-03-25,1.51657
2014-03-24,1.52254
2014-03-21,1.52845
2014-03-20,1.52849
2014-03-19,1.53212
2014-03-18,1.5371
2014-03-17,1.53943
2014-03-14,1.54169
2014-03-13,1.54359
2014-03-12,1.53672
2014-03-11,1.53376
2014-03-10,1.52735
2014-03-07,1.52619
2014-03-06,1.53342
2014-03-05,1.53945
2014-03-04,1.54472
2014-03-03,1.54029
2014-02-28,1.52855
2014-02-27,1.52479
2014-02-26,1.52452
2014-02-25,1.52904
2014-02-24,1.52992
2014-02-21,1.52718
2014-02-20,1.52245
2014-02-19,1.51769
2014-02-18,1.51588
2014-02-17,1.51756
2014-02-14,1.51517
2014-02-13,1.50971
2014-02-12,1.51952
2014-02-11,1.52385
2014-02-10,1.51868
2014-02-07,1.5145
2014-02-06,1.52051
2014-02-05,1.53062
2014-02-04,1.53966
2014-02-03,1.54607
2014-01-31,1.55555
2014-01-30,1.55662
2014-01-29,1.56126
2014-01-28,1.57095
2014-01-27,1.56519
2014-01-24,1.54138
2014-01-23,1.53392
2014-01-22,1.53905
2014-01-21,1.54086
2014-01-20,1.54254
2014-01-17,1.5372
2014-01-16,1.52321
2014-01-15,1.51511
2014-01-14,1.51466
2014-01-13,1.52303
2014-01-10,1.52769
2014-01-09,1.52518
2014-01-08,1.52337
2014-01-07,1.51902
2014-01-06,1.52682
2014-01-03,1.54234
2014-01-02,1.54454
2014-01-01,1.54718
2013-12-31,1.55098
2013-12-30,1.54614
2013-12-27,1.53683
2013-12-26,1.53323
2013-12-25,1.53305
2013-12-24,1.53231
2013-12-23,1.53721
2013-12-20,1.54493
2013-12-19,1.54427
2013-12-18,1.54
2013-12-17,1.53581
2013-12-16,1.53189
2013-12-13,1.5228
2013-12-12,1.51007
2013-12-11,1.50805
2013-12-10,1.50712
2013-12-09,1.50618
2013-12-06,1.50427
2013-12-05,1.49625
2013-12-04,1.48809
2013-12-03,1.48868
2013-12-02,1.49193
2013-11-29,1.48694
2013-11-28,1.48694
2013-11-27,1.47874
2013-11-26,1.47782
2013-11-25,1.46702
2013-11-22,1.44466
2013-11-21,1.43837
2013-11-20,1.43757
2013-11-19,1.43874
2013-11-18,1.4415
2013-11-15,1.4433
2013-11-14,1.44158
2013-11-13,1.43429
2013-11-12,1.42668
2013-11-11,1.42318
2013-11-08,1.42023
2013-11-07,1.4197
2013-11-06,1.42147
2013-11-05,1.42515
2013-11-04,1.43379
2013-11-01,1.44429
2013-10-31,1.44867
2013-10-30,1.44468
2013-10-29,1.43923
2013-10-28,1.43755
2013-10-25,1.43082
2013-10-24,1.42264
2013-10-23,1.41629
2013-10-22,1.41484
2013-10-21,1.41609
2013-10-18,1.41886
2013-10-17,1.41961
2013-10-16,1.42559
2013-10-15,1.432
2013-10-14,1.4311
2013-10-11,1.43302
2013-10-10,1.43559
2013-10-09,1.4386
2013-10-08,1.43898
2013-10-07,1.44183
2013-10-04,1.44785
2013-10-03,1.44501
2013-10-02,1.44599
2013-10-01,1.45032
2013-09-30,1.44773
2013-09-27,1.44096
2013-09-26,1.43796
2013-09-25,1.43455
2013-09-24,1.43632
2013-09-23,1.43464
2013-09-20,1.42689
2013-09-19,1.42841
2013-09-18,1.43015
2013-09-17,1.43293
2013-09-16,1.437
2013-09-13,1.43196
2013-09-12,1.42799
2013-09-11,1.43122
2013-09-10,1.43414
2013-09-09,1.43677
2013-09-06,1.44145
2013-09-05,1.44979
2013-09-04,1.46432
2013-09-03,1.47718
2013-09-02,1.4853
2013-08-30,1.48889
2013-08-29,1.49307
2013-08-28,1.48658
2013-08-27,1.4817
2013-08-26,1.48276
2013-08-23,1.4834
2013-08-22,1.47954
2013-08-21,1.46639
2013-08-20,1.45292
2013-08-19,1.45183
2013-08-16,1.45367
2013-08-15,1.4556
2013-08-14,1.45457
2013-08-13,1.45068
2013-08-12,1.45879
2013-08-09,1.47726
2013-08-08,1.48291
2013-08-07,1.48511
2013-08-06,1.4913
2013-08-05,1.48741
2013-08-02,1.47711
2013-08-01,1.46618
2013-07-31,1.44928
2013-07-30,1.43568
2013-07-29,1.43641
2013-07-26,1.43717
2013-07-25,1.42949
2013-07-24,1.42603
2013-07-23,1.42961
2013-07-22,1.43102
2013-07-19,1.426
2013-07-18,1.42444
2013-07-17,1.43015
2013-07-16,1.43949
2013-07-15,1.43401
2013-07-12,1.41097
2013-07-11,1.3995
2013-07-10,1.40705
2013-07-09,1.41436
2013-07-08,1.41749
2013-07-05,1.42334
2013-07-04,1.42372
2013-07-03,1.41892
2013-07-02,1.42057
2013-07-01,1.41534
2013-06-28,1.40303
2013-06-27,1.40996
2013-06-26,1.41836
2013-06-25,1.42181
2013-06-24,1.42734
2013-06-21,1.42661
2013-06-20,1.41064
2013-06-19,1.40141
2013-06-18,1.39239
2013-06-17,1.3968
2013-06-14,1.40125
2013-06-13,1.40618
2013-06-12,1.40727
2013-06-11,1.39707
2013-06-10,1.3879
2013-06-07,1.37457
2013-06-06,1.35872
2013-06-05,1.34868
2013-06-04,1.35161
2013-06-03,1.35333
2013-05-31,1.34479
2013-05-30,1.34144
2013-05-29,1.33936
2013-05-28,1.34119
2013-05-27,1.3362
2013-05-24,1.32732
2013-05-23,1.32008
2013-05-22,1.31484
2013-05-21,1.31637
2013-05-20,1.31476
