Date,CURRFX.AUDJPY.1
2014-04-11,95.6645
2014-04-10,95.5037
2014-04-09,95.5936
2014-04-08,95.8104
2014-04-07,95.949
2014-04-04,95.906
2014-04-03,95.8315
2014-04-02,95.5571
2014-04-01,95.2054
2014-03-31,94.799
2014-03-28,94.2602
2014-03-27,93.8923
2014-03-26,93.3838
2014-03-25,93.0545
2014-03-24,92.687
2014-03-21,92.4698
2014-03-20,92.4906
2014-03-19,92.2869
2014-03-18,91.8671
2014-03-17,91.9563
2014-03-14,92.5231
2014-03-13,92.5366
2014-03-12,93.1536
2014-03-11,93.3923
2014-03-10,93.3454
2014-03-07,92.4262
2014-03-06,91.4727
2014-03-05,90.8284
2014-03-04,90.5974
2014-03-03,91.0426
2014-02-28,91.6125
2014-02-27,92.1589
2014-02-26,92.289
2014-02-25,92.0476
2014-02-24,91.8602
2014-02-21,91.8697
2014-02-20,92.3162
2014-02-19,92.3037
2014-02-18,92.0057
2014-02-17,91.8525
2014-02-14,92.0259
2014-02-13,92.4924
2014-02-12,91.9032
2014-02-11,91.5239
2014-02-10,91.4335
2014-02-07,90.7318
2014-02-06,90.1083
2014-02-05,89.5862
2014-02-04,89.3226
2014-02-03,89.4268
2014-01-31,89.8914
2014-01-30,90.2328
2014-01-29,89.9042
2014-01-28,89.2098
2014-01-27,89.9531
2014-01-24,91.877
2014-01-23,92.2343
2014-01-22,91.8134
2014-01-21,91.5841
2014-01-20,91.852
2014-01-17,92.5813
2014-01-16,93.2064
2014-01-15,93.3849
2014-01-14,93.5742
2014-01-13,93.5081
2014-01-10,93.3038
2014-01-09,93.4295
2014-01-08,93.369
2014-01-07,93.6591
2014-01-06,93.7283
2014-01-03,93.7294
2014-01-02,93.8648
2014-01-01,93.5905
2013-12-31,93.2977
2013-12-30,93.1847
2013-12-27,93.0882
2013-12-26,93.0359
2013-12-25,92.9701
2013-12-24,92.8913
2013-12-23,92.5944
2013-12-20,91.9804
2013-12-19,91.7619
2013-12-18,91.988
2013-12-17,92.3142
2013-12-16,92.5458
2013-12-13,92.903
2013-12-12,93.7129
2013-12-11,93.9156
2013-12-10,93.7265
2013-12-09,93.1064
2013-12-06,92.4451
2013-12-05,93.0881
2013-12-04,93.6802
2013-12-03,93.569
2013-12-02,93.2124
2013-11-29,92.9284
2013-11-28,92.707
2013-11-27,92.9375
2013-11-26,93.0037
2013-11-25,93.0999
2013-11-22,93.6256
2013-11-21,93.9645
2013-11-20,93.9651
2013-11-19,93.9549
2013-11-18,93.5679
2013-11-15,92.8775
2013-11-14,92.689
2013-11-13,92.8508
2013-11-12,92.9057
2013-11-11,93.1697
2013-11-08,93.642
2013-11-07,93.7014
2013-11-06,93.5499
2013-11-05,93.4487
2013-11-04,93.1853
2013-11-01,93.2594
2013-10-31,93.1315
2013-10-30,93.2286
2013-10-29,93.5405
2013-10-28,93.4969
2013-10-25,93.8947
2013-10-24,94.5268
2013-10-23,94.9382
2013-10-22,94.7006
2013-10-21,94.4417
2013-10-18,94.0888
2013-10-17,93.8768
2013-10-16,93.5355
2013-10-15,93.1529
2013-10-14,92.9653
2013-10-11,92.1371
2013-10-10,91.7114
2013-10-09,91.5016
2013-10-08,91.6428
2013-10-07,91.7977
2013-10-04,91.5026
2013-10-03,91.6323
2013-10-02,91.7141
2013-10-01,91.3718
2013-09-30,91.9238
2013-09-27,92.4931
2013-09-26,92.6149
2013-09-25,93.0518
2013-09-24,93.4468
2013-09-23,93.4468
2013-09-20,93.3488
2013-09-19,92.6679
2013-09-18,92.4987
2013-09-17,92.1973
2013-09-16,92.0071
2013-09-13,92.6239
2013-09-12,93.0589
2013-09-11,92.3589
2013-09-10,91.4776
2013-09-09,91.176
2013-09-06,91.2029
2013-09-05,90.5198
2013-09-04,89.4424
2013-09-03,88.2373
2013-09-02,87.4841
2013-08-30,87.4341
2013-08-29,87.3312
2013-08-28,88.2313
2013-08-27,89.0806
2013-08-26,88.8872
2013-08-23,88.2983
2013-08-22,88.1823
2013-08-21,88.9136
2013-08-20,89.6153
2013-08-19,89.5375
2013-08-16,89.3517
2013-08-15,89.3517
2013-08-14,88.9314
2013-08-13,88.5789
2013-08-12,88.1513
2013-08-09,87.2606
2013-08-08,87.3351
2013-08-07,87.8406
2013-08-06,87.8937
2013-08-05,88.1821
2013-08-02,88.3412
2013-08-01,88.6991
2013-07-31,89.7134
2013-07-30,90.6575
2013-07-29,91.2312
2013-07-26,91.875
2013-07-25,92.2493
2013-07-24,92.2301
2013-07-23,92.1944
2013-07-22,92.1414
2013-07-19,91.868
2013-07-18,91.6881
2013-07-17,91.1251
2013-07-16,90.2498
2013-07-15,90.3478
2013-07-12,91.614
2013-07-11,92.332
2013-07-10,92.2877
2013-07-09,91.8237
2013-07-08,91.5174
2013-07-05,91.1521
2013-07-04,91.4126
2013-07-03,91.6927
2013-07-02,91.1061
2013-07-01,90.8024
2013-06-28,90.9724
2013-06-27,90.5395
2013-06-26,90.3704
2013-06-25,90.3654
2013-06-24,90.1137
2013-06-21,90.0457
2013-06-20,90.3597
2013-06-19,90.4998
2013-06-18,90.5527
2013-06-17,90.1265
2013-06-14,90.6785
2013-06-13,91.5157
2013-06-12,92.1898
2013-06-11,92.8403
2013-06-10,93.1059
2013-06-07,94.5145
2013-06-06,96.0326
2013-06-05,96.8092
2013-06-04,96.5485
2013-06-03,96.6536
2013-05-31,97.5401
2013-05-30,97.8616
2013-05-29,97.961
2013-05-28,97.5038
2013-05-27,98.2309
2013-05-24,99.49
2013-05-23,100.401
2013-05-22,100.429
2013-05-21,100.374
2013-05-20,100.58
2013-05-17,100.924
2013-05-16,101.176
2013-05-15,101.324
2013-05-14,101.67
2013-05-13,101.56
2013-05-10,100.966
2013-05-09,100.866
2013-05-08,101.367
2013-05-07,101.976
2013-05-06,101.381
2013-05-03,100.201
2013-05-02,100.806
2013-05-01,101.091
2013-04-30,100.903
2013-04-29,101.307
2013-04-26,102.247
2013-04-25,101.894
2013-04-24,101.853
2013-04-23,102.322
2013-04-22,101.836
2013-04-19,101.22
2013-04-18,101.197
2013-04-17,101.39
2013-04-16,102.61
2013-04-15,103.988
2013-04-12,104.859
2013-04-11,104.163
2013-04-10,103.225
2013-04-09,102.062
2013-04-08,100.437
2013-04-05,98.4262
2013-04-04,97.5551
2013-04-03,97.469
2013-04-02,97.805
2013-04-01,98.1672
2013-03-29,98.4124
2013-03-28,98.7872
2013-03-27,98.794
2013-03-26,98.8277
2013-03-25,98.9328
2013-03-22,99.2226
2013-03-21,98.9493
2013-03-20,98.7546
2013-03-19,98.7255
2013-03-18,99.3149
2013-03-15,99.3145
2013-03-14,98.9701
2013-03-13,98.8217
2013-03-12,98.3496
2013-03-11,97.6611
2013-03-08,96.403
2013-03-07,95.7318
2013-03-06,95.216
2013-03-05,95.1531
2013-03-04,95.1797
2013-03-01,94.3252
2013-02-28,94.0033
2013-02-27,95.201
2013-02-26,96.4895
2013-02-25,96.1259
2013-02-22,95.9902
2013-02-21,96.6535
2013-02-20,96.7424
2013-02-19,96.5856
2013-02-18,96.45
2013-02-15,96.5679
2013-02-14,96.4943
2013-02-13,96.1871
2013-02-12,95.6673
2013-02-11,95.9044
2013-02-08,96.5923
2013-02-07,96.7168
2013-02-06,96.6113
2013-02-05,96.6321
2013-02-04,95.9797
2013-02-01,94.9536
2013-01-31,94.9475
2013-01-30,94.6598
2013-01-29,94.6432
2013-01-28,94.3786
2013-01-25,93.6775
2013-01-24,93.61
2013-01-23,94.0895
2013-01-22,94.4556
2013-01-21,94.3174
2013-01-18,93.5738
2013-01-17,93.4974
2013-01-16,94.0556
2013-01-15,94.2253
2013-01-14,93.6243
2013-01-11,92.647
2013-01-10,91.8621
2013-01-09,91.9059
2013-01-08,92.2639
2013-01-07,92.049
2013-01-04,91.3287
2013-01-03,90.6319
2013-01-02,89.7416
2013-01-01,89.2945
